"2026-02-03T12:47:56.550","Mod 5_day_Check","Symbol","Cmp","%ch5","Lch5","Sl","Target","5d_high","R_vol","Forward pe","Pe","Rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Low","%ch sl","%ch sl atr","Atr%","%ch_3low","Column26"
"2026-02-03T12:47:56.550","RS","APEX","346.95","18.17","277.76","496.03","352.30","3.06","22.83","40.39","69.32","64.26","fmcg","aquaculture","20.41","3.99","0.405","0.517","0.170","0.286","22.66","5.76","282.85"
"2026-02-03T12:47:56.550","RS","PFOCUS","253.25","7.43","214.33","331.74","253.58","0.672","69.57","-50.81","63.68","70.25","realty","miscellaneous","20.78","2.36","0.453","1.40","0.399","1.23","19.12","6.47","212.60"
"2026-02-03T12:47:56.550","RS","JKTYRE","543.45","3.61","502.53","628.38","545","0.984","16.81","26.86","65.71","78.64","auto","tyres","22.63","0.296","0.532","0.371","0.451","0.325","9.90","3.00","494.50"
"2026-02-03T12:47:56.550","RS","MIRCELECTR","32.88","4.98","30.46","37.71","32.88","0.548","-137","-40.15","59.99","63.39","consumer discretionary","electronics - consumer","22.23","-3.32","0.763","1.15","0.834","1.05","14.56","2.40","28.70"
"2026-02-03T12:47:56.550","RS","KMEW","1845.50","4.60","1650.77","2274.56","1865.30","0.370","44.49","38.64","55.56","64.74","transportation","miscellaneous","20.29","1.69","1.00","1.25","0.904","1.15","12.52","2.54","1640.10"
"2026-02-03T12:47:56.550","About to","Symbol","Cmp","%ch","%ch7","Lch7","Low","Sl","Target","R_vol","Forward pe","Pe","Rsi","W rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc"
"2026-02-03T12:47:56.550","About to","PFC","391.45","1.50","12.64","-0.586","386.85","369.07","410.52","0.902","5.62","5.14","46.68","53.08","financials","finance - term-lending institutions","22.07","1.62","-0.204","-0.145","-0.210","-0.129","1.19"
"2026-02-03T12:47:56.550","About to","ONWARDTEC","338.50","4.39","17.80","-2.31","320","310.66","344.63","1.71","18.81","16.25","52.04","59.61","i.t","computers - software - medium / small","31.29","1.36","-0.177","0.140","-0.170","0.182","5.78"
"2026-02-03T12:47:56.550","About to","PETRONET","293.70","1.21","7.07","-1.91","287.60","279.09","306.87","0.938","13.25","11.86","46.79","56.71","energy","miscellaneous","18.78","0.851","-0.151","-0.150","-0.182","-0.158","2.12"
"2026-02-03T12:47:56.550","About to","RAMCOCEM","1135.30","2.06","9.18","-2.44","1120.10","1068.54","1178.20","0.590","86.80","71.08","46.76","62.22","building materials","cement - south india","18.15","1.42","-0.151","0.025","-0.160","0.054","1.36"
"2026-02-03T12:47:56.550","About to","MODEFENCE","88.05","2.40","16.36","-1.82","86.50","83.86","89.19","1.42","NaN","0","39.47","53.01","indices","indices","15.01","-0.544","-0.135","-0.054","-0.142","-0.035","1.79"
"2026-02-03T12:47:56.550","About to","GROWWDEFNC","79.82","2.05","12.93","-1.55","79.21","76.51","80.79","1.15","NaN","0","40.49","52.27","indices","indices","17.48","-0.898","-0.134","-0.054","-0.143","-0.037","0.770"
"2026-02-03T12:47:56.550","About to","VENTIVE","768.55","1.52","9.74","-2.81","751","727.48","801.40","1.84","80.06","71.96","43.52","55.31","services","hotels","14.12","-2.23","-0.124","-0.086","-0.141","-0.066","2.34"
"2026-02-03T12:47:56.550","About to","J&KBANK","102.94","1.03","2.31","-5.27","102.35","102.35","101.21","0.431","4.87","5.24","54.08","49.53","bank","banks - private sector","18.55","-3.70","-0.123","-0.008","-0.123","0.022","0.577"
"2026-02-03T12:47:56.550","About to","ASTRAL","1500.10","2.21","9.11","-0.629","1483.80","1407.00","1558.50","0.476","74.71","77.41","43.29","54.68","plastic products","plastics products","14.69","1.48","-0.115","0.008","-0.122","0.031","1.10"
"2026-02-03T12:47:56.550","About to","ARMANFIN","1592.20","1.12","3.93","-7.64","1568.60","1534.36","1634.95","0.505","52.24","-1499.62","57.95","52.18","financials","finance & investments","15.44","-2.96","-0.107","0.009","-0.131","0.022","1.50"
"2026-02-03T12:47:56.550","About to","OIL","481.15","-0.445","19.92","-0.539","476.60","469.69","503.71","0.501","13.70","13.16","55.63","61.33","energy","oil drilling / allied services","18.72","2.91","-0.077","0.005","-0.107","0.009","0.955"
"2026-02-03T12:47:56.550","About to","SUNDARMFIN","5298.50","-1.12","8.36","-2.22","5249","5015.94","5872.34","0.624","26.97","28.70","46.55","61.19","financials","finance & investments","24.36","-1.77","-0.075","-0.067","-0.097","-0.059","0.943"
"2026-02-03T12:47:56.550","About to","ULTRACEMCO","12726","1.52","4.71","-1.44","12661","12454.93","12655.10","0.713","54.24","48.10","62.24","64.57","building materials","cement - north india","16.14","-1.92","-0.070","0.024","-0.081","0.025","0.513"
"2026-02-03T12:47:56.550","About to","NTPC","357.85","2.14","8.69","0.104","353.80","344.06","359.79","0.555","15.81","14.05","49.76","60.17","power & utilities","power generation and supply","25.95","-1.66","-0.069","-0.039","-0.076","-0.021","1.14"
"2026-02-03T12:47:56.550","About to","CPSEETF","97.63","1.81","8.37","-0.521","96.58","94.04","98.67","0.725","NaN","0","48.96","61.42","indices","indices","36.33","-0.853","-0.069","-0.010","-0.080","0.005","1.09"
"2026-02-03T12:47:56.550","About to","SATIN","156.48","1.60","9.12","-1.40","154","152.48","156.31","0.627","5.98","8.82","63.29","56.26","financials","finance & investments","19.43","0.087","-0.066","-0.151","-0.123","-0.161","1.61"
"2026-02-03T12:47:56.550","About to","GRASIM","2817.30","1.54","4.79","-1.67","2811.90","2747.39","2815.41","1.18","86.31","43.64","45.00","53.10","textiles","textiles - manmade","22.08","-1.30","-0.062","-0.026","-0.068","-0.014","0.192"
"2026-02-03T12:47:56.550","About to","ONGC","254.05","0.039","13.16","0.171","249.35","253.76","254.23","0.998","7.40","8.74","56.87","55.29","energy","oil drilling / allied services","26.37","-1.58","-0.059","-0.036","-0.089","-0.040","1.88"
"2026-02-03T12:47:56.550","About to","AUTOAXLES","1952","0.910","3.85","-5.38","1934.30","1876.36","2021.46","0.598","20.51","18.60","56.65","59.70","auto","auto ancillaries","28.68","-2.46","-0.058","0.092","-0.046","0.097","0.915"
"2026-02-03T12:47:56.550","About to","CANTABIL","300.05","3.09","10.35","-2.69","293.55","281.11","305.96","1.16","92.61","31.10","50.43","63.77","textiles","textiles - products","36.44","0.445","-0.050","0.109","-0.037","0.140","2.21"
"2026-02-03T12:47:56.550","About to","NSLNISP","43.14","2.11","10.76","-0.985","42.26","40.12","45.44","0.740","-27.65","-9.37","38.92","52.68","metals & mining","steel - large","17.43","0.333","-0.048","0.008","-0.058","0.031","2.08"
"2026-02-03T12:47:56.550","About to","KROSS","202.68","1.47","6.86","-3.87","198.85","189.22","215.54","0.133","23.35","25.81","49.99","56.37","auto","auto ancillaries","27.74","0.088","-0.045","0.131","-0.028","0.182","1.93"
"2026-02-03T12:47:56.550","About to","BEL","439.20","0.023","12.41","-1.61","435.25","423.57","462.39","1.01","50.83","53.81","52.11","62.72","aerospace & defence","electronics - components","17.92","-0.148","-0.043","0.153","-0.042","0.173","0.907"
"2026-02-03T12:47:56.550","About to","FUSION","183.03","1.82","6.55","-2.63","178.79","176.38","184.83","0.668","-27.08","-1.88","60.46","56.24","financials","finance & investments","18.11","-0.151","-0.043","-0.077","-0.092","-0.078","2.37"
