Timestamp,Symbol,From52wh,3drange,5d,Sector,Industry,Freefloat
2026-02-05T21:23:45.881,UEL,0.216,18.20,27.32,power & utilities,power generation and supply,525.41
2026-02-05T21:23:45.881,COASTCORP,0.283,10.22,20.59,fmcg,aquaculture,204.75
2026-02-05T21:23:45.881,SBC,1.30,7.19,26.53,textiles,textiles - products,716.61
2026-02-05T21:23:45.881,BAJAJCON,1.70,8.35,20.50,fmcg,personal care - indian,2943.34
2026-02-05T21:23:45.881,INDSWFTLAB,2.13,15.56,17.48,healthcare,pharmaceuticals - indian - bulk drugs & formln,603.09
2026-02-05T21:23:45.881,SHARDACROP,3.15,10.14,22.83,chemicals,pesticides / agrochemicals - indian,2641.27
2026-02-05T21:23:45.881,JKTYRE,3.50,5.29,11.55,auto,tyres,7460.47
2026-02-05T21:23:45.881,CANFINHOME,3.51,4.30,10.09,financials,finance - housing,8738.80
2026-02-05T21:23:45.881,MINDACORP,3.98,6.78,12.01,auto,auto ancillaries,5003.84
2026-02-05T21:23:45.881,GNA,4.07,10.30,26.00,auto,auto ancillaries,549.88
2026-02-05T21:23:45.881,SJS,4.40,7.39,12.58,auto,plastics products,4499.45
2026-02-05T21:23:45.881,CRAFTSMAN,4.67,9.22,16.10,auto,auto ancillaries,9589.36
2026-02-05T21:23:45.881,PFOCUS,4.68,17.93,29.26,realty,miscellaneous,8140.59
2026-02-05T21:23:45.881,TDPOWERSYS,4.75,6.68,22.20,industrials,electric equipment,9248.56
2026-02-05T21:23:45.881,MTARTECH,4.80,12.38,25.11,aerospace & defence,engineering,7009.82
2026-02-05T21:23:45.881,3MINDIA,4.97,4.22,7.25,miscellaneous,diversified - large,9983.67
2026-02-05T21:23:45.881,ANURAS,5.00,7.27,8.59,chemicals,chemicals,6085.81
2026-02-05T21:23:45.881,LGBBROSLTD,5.09,10.66,18.77,auto,bearings,3896.48
2026-02-05T21:23:45.881,SEAMECLTD,5.19,10.42,10.42,miscellaneous,miscellaneous,871.36
2026-02-05T21:23:45.881,ATALREAL,5.41,7.15,7.68,realty,construction,205.95
2026-02-05T21:23:45.881,SYRMA,5.42,7.67,20.09,consumer discretionary,electronics - components,9505.45
2026-02-05T21:23:45.881,RRKABEL,5.66,6.89,13.95,industrials,cables - power,6392.14
2026-02-05T21:23:45.881,AETHER,5.68,9.33,11.37,chemicals,chemicals,3388.23
2026-02-05T21:23:45.881,PGIL,5.79,13.28,29.36,consumer discretionary,textiles - products,3354.44
2026-02-05T21:23:45.881,SENORES,6.06,2.96,7.80,healthcare,pharmaceuticals - indian - formulations,2055.14
2026-02-05T21:23:45.881,DCBBANK,6.27,5.32,13.31,bank,banks - private sector,5145.03
2026-02-05T21:23:45.881,RPTECH,6.29,15.02,17.92,services,trading,909.20
