Timestamp,Symbol,Cmp,%ch3,Lch3,Sl,Target,3dhigh,Rvol,Forwardpe,Pe,Rsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc,Low
2026-02-05T18:56:00.385,INDIACEM,452.10,3.62,-2.16,444.16,501.57,475,1.73,-1255.83,-129.18,53.55,building materials,cement - south india,28.15,-1.61,0.168,0.347,0.106,0.289,4.90,437
2026-02-05T17:35:13.016,INDIACEM,452.45,3.62,-2.16,444.16,501.57,475,1.73,-1256.81,-129.18,53.55,building materials,cement - south india,28.15,-1.61,0.168,0.347,0.106,0.289,4.9,437
