Timestamp,Symbol ,Cmp ,%ch ,Low 2% ,Low5 ,Sl ,Target ,R_vol ,Forward pe ,Pe ,Rsi ,Sector ,Industry ,Adx ,%ch sl ,Rs ,Srs ,Ars ,Is ,Tps ,Rs score 
2026-02-05T16:11:16.243,GVT&D,3513.5,0.088,3321.32,3089.1,2992.39,4295.17,0.935,77.32,84.16,73.29,industrials,electric equipment,30.21,17.41,46.84,0.161,0.536,3095.73,2833.9,25.93
2026-02-05T16:11:16.243,GMDCLTD,613.85,-0.114,590.94,556.0,549.47,710.41,1.13,10.48,19.47,61.07,metals & mining,mining / minerals / metals,20.47,11.72,57.01,0.366,0.654,547.1,510.18,23.43
2026-02-05T16:11:16.243,ASHOKLEY,201.5,0.289,196.0,185.52,192.88,214.44,0.803,39.05,20.48,67.74,auto,automobiles - lcvs / hcvs,53.53,4.47,61.38,0.549,0.625,188.17,179.53,22.08
2026-02-05T16:11:16.243,CRAFTSMAN,7849.0,0.006,7547.47,7080.0,7320.6,8641.59,0.343,42.36,50.7,57.88,auto,auto ancillaries,17.54,7.22,31.05,0.13,0.328,7137.76,6614.32,21.61
2026-02-05T16:11:16.243,CUB,293.65,0.531,285.47,271.5,279.89,314.29,0.404,16.39,17.25,55.28,bank,banks - private sector,20.24,4.92,34.8,0.255,0.468,262.29,241.62,16.71
2026-02-05T16:11:16.243,CHENNPETRO,894.4,1.53,864.36,808.65,834.59,984.12,0.902,3.32,6.1,57.49,energy,refineries,16.99,7.17,21.12,0.285,0.264,802.22,756.68,16.2
2026-02-05T16:11:16.243,SYRMA,860.6,1.22,805.71,720.3,721.59,1069.12,1.36,40.37,55.82,74.54,consumer discretionary,electronics - components,32.1,19.26,32.48,0.116,0.525,756.56,682.93,15.34
2026-02-05T16:11:16.243,INDIANB,879.5,0.028,854.27,806.2,868.76,895.61,0.42,9.41,10.29,55.48,bank,banks - public sector,19.49,1.24,37.73,0.251,0.422,813.98,768.29,14.83
2026-02-05T16:11:16.243,UNIONBANK,177.92,1.03,172.0,165.11,176.59,179.92,0.694,6.69,7.1,59.94,bank,banks - public sector,30.79,0.754,23.51,0.237,0.219,163.94,154.74,14.41
2026-02-05T16:11:16.243,POWERINDIA,19199.0,0.819,18300.52,17850.0,17466.7,21797.45,0.847,162.54,162.16,57.23,industrials,electric equipment,24.43,9.92,-3.35,-0.146,0.072,17361.31,16105.05,12.41
2026-02-05T16:11:16.243,SAIL,158.5,0.769,149.24,141.3,151.07,169.64,1.05,43.54,23.3,63.09,metals & mining,steel - large,27.73,4.92,18.67,0.183,0.191,144.25,135.06,11.9
2026-02-05T16:11:16.243,TATASTEEL,197.76,1.21,187.69,182.55,191.42,207.26,1.16,19.86,35.79,61.76,metals & mining,steel - large,27.05,3.31,24.53,0.141,0.182,184.02,174.37,11.81
2026-02-05T16:11:16.243,BANKINDIA,163.46,1.57,157.61,146.4,160.2,168.35,1.12,6.61,7.46,58.58,bank,banks - public sector,25.71,2.03,41.41,0.345,0.353,149.97,141.26,11.8
2026-02-05T16:11:16.243,APLAPOLLO,2182.1,0.363,2111.8,2036.6,2059.44,2366.08,1.52,48.84,52.85,76.34,industrials,steel - large,41.07,5.96,27.75,0.26,0.144,2052.81,1970.15,11.19
2026-02-05T16:11:16.243,HDFCAMC,2762.3,1.37,2666.48,2432.0,2477.13,3190.05,2.27,38.43,23.42,64.69,financials,finance & investments,15.41,11.51,7.47,-0.102,0.11,2572.01,2439.5,10.29
2026-02-05T16:11:16.243,CANFINHOME,937.4,0.059,911.4,868.35,890.45,1007.83,0.445,11.78,12.81,56.29,financials,finance - housing,15.2,5.27,13.97,0.164,0.169,865.18,823.12,10.11
2026-02-05T16:11:16.243,SBIN,1073.5,0.496,1046.15,988.3,1051.13,1107.05,1.03,11.77,11.92,62.37,bank,banks - public sector,37.26,2.13,32.43,0.228,0.307,1009.95,969.78,10.0
2026-02-05T16:11:16.243,ADANIPORTS,1570.2,0.147,1517.63,1325.0,1377.05,1859.92,1.51,27.96,27.16,64.17,transportation,miscellaneous,27.28,14.03,8.87,0.075,0.081,1442.45,1354.14,9.98
2026-02-05T16:11:16.243,JINDALSTEL,1178.0,0.917,1127.2,1082.7,1113.2,1275.19,0.703,157.49,59.77,67.91,metals & mining,steel - large,29.87,5.82,24.77,0.086,0.202,1096.34,1042.1,9.61
2026-02-05T16:11:16.243,M&MFIN,375.3,1.43,361.67,341.4,350.36,412.7,0.765,15.82,20.85,55.92,financials,finance & investments,15.62,7.12,38.85,0.363,0.405,342.24,324.65,9.31
2026-02-05T16:11:16.243,IDFCFIRSTB,85.48,0.399,82.98,79.38,81.45,91.52,1.01,39.57,44.58,57.82,bank,banks - private sector,15.91,4.94,11.62,0.137,0.213,80.86,77.71,9.25
2026-02-05T16:11:16.243,GESHIP,1266.1,2.2,1207.56,1125.0,1172.88,1405.93,2.31,5.56,7.82,76.7,transportation,shipping,20.24,7.95,23.14,0.241,0.31,1167.04,1112.04,8.87
2026-02-05T16:11:16.243,IOC,175.77,1.73,168.97,157.56,160.8,198.22,2.85,7.74,9.56,70.1,energy,refineries,14.51,9.31,17.3,0.143,0.185,165.58,160.06,8.72
2026-02-05T16:11:16.243,APARINDS,9535.0,0.617,9192.89,7749.5,7716.01,12263.49,0.988,45.83,39.1,71.06,industrials,electric equipment,35.69,23.57,8.25,0.011,0.205,8511.73,7843.77,8.37
2026-02-05T16:11:16.243,ADANIENSOL,1011.45,2.36,960.4,842.0,846.9,1258.27,1.21,54.97,52.53,59.34,power & utilities,power generation and supply,28.41,19.43,13.71,0.172,0.112,907.49,834.57,8.2
2026-02-05T16:11:16.243,JSWSTEEL,1239.8,0.945,1189.92,1172.9,1205.17,1291.75,0.645,35.38,40.24,63.02,metals & mining,steel - large,18.71,2.87,19.22,0.072,0.182,1176.8,1131.54,7.37
2026-02-05T16:11:16.243,RAMCOCEM,1164.9,0.945,1119.65,1069.0,1089.55,1277.92,0.303,89.06,73.74,69.07,building materials,cement - south india,17.08,6.92,5.72,-0.056,0.156,1089.08,1038.92,6.12
2026-02-05T16:11:16.243,INOXINDIA,1134.2,0.354,1100.44,1082.0,1085.08,1207.88,0.993,42.32,41.74,54.59,industrials,packaging,20.24,4.53,-8.62,-0.077,-0.104,1069.93,1036.52,5.08
