Timestamp,Symbol,Cmp,%ch,Low2%,Low5,Sl,Target,Rvol,Forwardpe,Pe,Rsi,Sector,Industry,Adx,%chsl,Rs,Srs,Ars,Is,Tps,Rsscore
2026-02-05T17:35:13.089,GVT&D,3513.50,0.088,3321.32,3089.10,2992.39,4295.17,0.935,77.32,84.16,73.29,industrials,electric equipment,30.21,17.41,46.84,0.161,0.536,3095.73,2833.90,25.93
2026-02-05T17:35:13.089,GMDCLTD,613.85,-0.114,590.94,556,549.47,710.41,1.13,10.48,19.47,61.07,metals & mining,mining / minerals / metals,20.47,11.72,57.01,0.366,0.654,547.10,510.18,23.43
2026-02-05T17:35:13.089,ASHOKLEY,201.50,0.289,196,185.52,192.88,214.44,0.803,39.05,20.48,67.74,auto,automobiles - lcvs / hcvs,53.53,4.47,61.38,0.549,0.625,188.17,179.53,22.08
2026-02-05T17:35:13.089,CRAFTSMAN,7849,0.006,7547.47,7080,7320.60,8641.59,0.343,42.36,50.70,57.88,auto,auto ancillaries,17.54,7.22,31.05,0.130,0.328,7137.76,6614.32,21.61
2026-02-05T17:35:13.089,CUB,293.65,0.531,285.47,271.50,279.89,314.29,0.404,16.39,17.25,55.28,bank,banks - private sector,20.24,4.92,34.80,0.255,0.468,262.29,241.62,16.71
2026-02-05T17:35:13.089,CHENNPETRO,894.40,1.53,864.36,808.65,834.59,984.12,0.902,3.32,6.10,57.49,energy,refineries,16.99,7.17,21.12,0.285,0.264,802.22,756.68,16.20
2026-02-05T17:35:13.089,SYRMA,860.60,1.22,805.71,720.30,721.59,1069.12,1.36,40.37,55.82,74.54,consumer discretionary,electronics - components,32.10,19.26,32.48,0.116,0.525,756.56,682.93,15.34
2026-02-05T17:35:13.089,INDIANB,879.50,0.028,854.27,806.20,868.76,895.61,0.420,9.41,10.29,55.48,bank,banks - public sector,19.49,1.24,37.73,0.251,0.422,813.98,768.29,14.83
2026-02-05T17:35:13.089,UNIONBANK,177.92,1.03,172.00,165.11,176.59,179.92,0.694,6.69,7.10,59.94,bank,banks - public sector,30.79,0.754,23.51,0.237,0.219,163.94,154.74,14.41
2026-02-05T17:35:13.089,POWERINDIA,19199,0.819,18300.52,17850,17466.70,21797.45,0.847,162.54,162.16,57.23,industrials,electric equipment,24.43,9.92,-3.35,-0.146,0.072,17361.31,16105.05,12.41
2026-02-05T17:35:13.089,SAIL,158.50,0.769,149.24,141.30,151.07,169.64,1.05,43.54,23.30,63.09,metals & mining,steel - large,27.73,4.92,18.67,0.183,0.191,144.25,135.06,11.90
2026-02-05T17:35:13.089,TATASTEEL,197.76,1.21,187.69,182.55,191.42,207.26,1.16,19.86,35.79,61.76,metals & mining,steel - large,27.05,3.31,24.53,0.141,0.182,184.02,174.37,11.81
2026-02-05T17:35:13.089,BANKINDIA,163.46,1.57,157.61,146.40,160.20,168.35,1.12,6.61,7.46,58.58,bank,banks - public sector,25.71,2.03,41.41,0.345,0.353,149.97,141.26,11.80
2026-02-05T17:35:13.089,APLAPOLLO,2182.10,0.363,2111.80,2036.60,2059.44,2366.08,1.52,48.84,52.85,76.34,industrials,steel - large,41.07,5.96,27.75,0.260,0.144,2052.81,1970.15,11.19
2026-02-05T17:35:13.089,HDFCAMC,2762.30,1.37,2666.48,2432,2477.13,3190.05,2.27,38.43,23.42,64.69,financials,finance & investments,15.41,11.51,7.47,-0.102,0.110,2572.01,2439.50,10.29
2026-02-05T17:35:13.089,CANFINHOME,937.40,0.059,911.40,868.35,890.45,1007.83,0.445,11.78,12.81,56.29,financials,finance - housing,15.20,5.27,13.97,0.164,0.169,865.18,823.12,10.11
2026-02-05T17:35:13.089,SBIN,1073.50,0.496,1046.15,988.30,1051.13,1107.05,1.03,11.77,11.92,62.37,bank,banks - public sector,37.26,2.13,32.43,0.228,0.307,1009.95,969.78,10.00
2026-02-05T17:35:13.089,ADANIPORTS,1570.20,0.147,1517.63,1325,1377.05,1859.92,1.51,27.96,27.16,64.17,transportation,miscellaneous,27.28,14.03,8.87,0.075,0.081,1442.45,1354.14,9.98
2026-02-05T17:35:13.089,JINDALSTEL,1178,0.917,1127.20,1082.70,1113.20,1275.19,0.703,157.49,59.77,67.91,metals & mining,steel - large,29.87,5.82,24.77,0.086,0.202,1096.34,1042.10,9.61
2026-02-05T17:35:13.089,M&MFIN,375.30,1.43,361.67,341.40,350.36,412.70,0.765,15.82,20.85,55.92,financials,finance & investments,15.62,7.12,38.85,0.363,0.405,342.24,324.65,9.31
2026-02-05T17:35:13.089,IDFCFIRSTB,85.48,0.399,82.98,79.38,81.45,91.52,1.01,39.57,44.58,57.82,bank,banks - private sector,15.91,4.94,11.62,0.137,0.213,80.86,77.71,9.25
2026-02-05T17:35:13.089,GESHIP,1266.10,2.20,1207.56,1125,1172.88,1405.93,2.31,5.56,7.82,76.70,transportation,shipping,20.24,7.95,23.14,0.241,0.310,1167.04,1112.04,8.87
2026-02-05T17:35:13.089,IOC,175.77,1.73,168.97,157.56,160.80,198.22,2.85,7.74,9.56,70.10,energy,refineries,14.51,9.31,17.30,0.143,0.185,165.58,160.06,8.72
2026-02-05T17:35:13.089,APARINDS,9535,0.617,9192.89,7749.50,7716.01,12263.49,0.988,45.83,39.10,71.06,industrials,electric equipment,35.69,23.57,8.25,0.011,0.205,8511.73,7843.77,8.37
2026-02-05T17:35:13.089,ADANIENSOL,1011.45,2.36,960.40,842,846.90,1258.27,1.21,54.97,52.53,59.34,power & utilities,power generation and supply,28.41,19.43,13.71,0.172,0.112,907.49,834.57,8.20
2026-02-05T17:35:13.089,JSWSTEEL,1239.80,0.945,1189.92,1172.90,1205.17,1291.75,0.645,35.38,40.24,63.02,metals & mining,steel - large,18.71,2.87,19.22,0.072,0.182,1176.80,1131.54,7.37
2026-02-05T17:35:13.089,RAMCOCEM,1164.90,0.945,1119.65,1069,1089.55,1277.92,0.303,89.06,73.74,69.07,building materials,cement - south india,17.08,6.92,5.72,-0.056,0.156,1089.08,1038.92,6.12
2026-02-05T17:35:13.089,INOXINDIA,1134.20,0.354,1100.44,1082,1085.08,1207.88,0.993,42.32,41.74,54.59,industrials,packaging,20.24,4.53,-8.62,-0.077,-0.104,1069.93,1036.52,5.08
2026-02-05T17:35:13.089,IFCI,60,3.64,56.62,54.80,56.84,64.74,2.25,-250,38.85,60.18,financials,finance - term-lending institutions,24.18,5.56,-1.62,0.013,-0.050,53.38,49.67,4.09
2026-02-05T17:35:13.089,KEI,4443,0.445,4255.75,3802.10,3873.25,5297.62,0.940,45.21,49.11,62.72,industrials,cables - power,27.66,14.71,20.28,0.065,0.215,4053.60,3786.26,3.98
2026-02-05T17:35:13.089,SARDAEN,529.45,1.55,504.75,467,468.83,620.38,1.73,14.43,17.28,63.25,metals & mining,steel - medium / small,24.81,12.93,22.39,-0.124,0.190,487.80,465.11,3.89
2026-02-05T17:35:13.089,WELCORP,838.65,2.81,791.84,710,732.04,998.57,1.23,12.21,11.05,64.37,industrials,steel - large,21.78,14.56,-10.36,-0.115,0.035,768.32,719.12,3.59
2026-02-05T17:35:13.089,MINDACORP,595.30,2.29,564.63,542.35,537.23,682.41,4.63,41.34,51.32,59.85,auto,auto ancillaries,15.95,10.81,15.28,0.188,0.045,543.85,517.47,3.45
2026-02-05T17:35:13.089,GRASIM,2863.90,0.668,2768.50,2713,2756.90,3024.40,1.30,87.74,44.75,57.34,textiles,textiles - manmade,16.60,3.88,2.36,-0.038,0.059,2734.18,2650.28,3.27
2026-02-05T17:35:13.089,BAJAJ-AUTO,9647,0.083,9408,9175.50,9366.07,10068.40,0.455,24.48,30.28,60.16,auto,automobiles - scooters and 3 - wheelers,22.98,3.00,15.38,0.080,0.040,9133.09,8779.67,3.15
2026-02-05T17:35:13.089,ULTRACEMCO,12773,-0.258,12477.36,12191,12542.85,13118.23,0.690,54.44,49.14,63.08,building materials,cement - north india,16.83,1.83,1.68,-0.041,0.081,12189.58,11813.01,2.69
2026-02-05T17:35:13.089,METROPOLIS,1972.50,4.03,1870.82,1839,1818.27,2203.85,9.13,48.49,61.80,59.66,healthcare,healthcare,11.57,8.48,-4.13,-0.089,0.142,1798.61,1739.69,2.48
2026-02-05T17:35:13.089,SHYAMMETL,862.40,0.642,823.35,827.65,821.84,923.25,0.512,30.37,24.60,58.95,metals & mining,steel - large,17.76,4.94,0.349,-0.180,-0.045,809.32,774.46,1.97
2026-02-05T17:35:13.089,LUPIN,2218.50,1.06,2152.96,2078.20,2129.50,2351.99,1.29,17.14,23.17,63.87,healthcare,pharmaceuticals - indian - bulk drugs & formln,15.95,4.18,15.93,0.051,0.088,2101.81,2040.29,1.96
2026-02-05T17:35:13.089,INDIAMART,2282.80,0.338,2196.57,2162.30,2180.13,2436.81,2.35,18.19,22.55,58.15,i.t,miscellaneous,20.00,4.71,-11.75,-0.179,-0.044,2139.95,2050.01,1.89
2026-02-05T17:35:13.089,DMART,3934.90,2.89,3748.60,3529,3638.15,4380.02,1.95,74.81,86.86,62.40,consumer discretionary,trading,19.02,8.16,-6.11,-0.150,-0.071,3715.50,3565.54,1.88
2026-02-05T17:35:13.089,ONGC,269.20,0.843,260.68,247.60,258.42,285.37,1.23,7.84,9.19,64.30,energy,oil drilling / allied services,30.59,4.17,10.68,0.060,0.064,248.94,235.00,1.62
2026-02-05T17:35:13.089,J&KBANK,104.06,-1.24,101.25,98.61,102.45,106.48,0.535,4.93,5.42,52.68,bank,banks - private sector,12.30,1.57,-7.12,-0.066,0.003,97.79,94.38,1.52
2026-02-05T17:35:13.089,BANDHANBNK,157.80,0.292,153.46,145.52,148.77,171.34,0.635,30.82,25.17,63.71,bank,banks - private sector,20.76,6.07,-11.23,-0.125,-0.097,148.76,142.48,1.21
2026-02-05T17:35:13.089,DRREDDY,1244.90,0.379,1212.26,1167.10,1181.29,1340.32,0.609,21.42,18.55,55.95,healthcare,pharmaceuticals - indian - bulk drugs & formln,23.74,5.39,-1.89,-0.045,-0.032,1175.29,1131.79,1.16
2026-02-05T17:35:13.089,AARTIIND,453.60,2.42,430.27,360.85,368.80,580.80,2.55,30.90,42.55,82.03,chemicals,chemicals,26.98,22.99,-0.874,0.104,-0.084,410.96,381.78,0.840
2026-02-05T17:35:13.089,ABB,5770,0.261,5549.74,5255.50,5186.22,6645.67,0.852,74.70,69.13,70.94,industrials,electric equipment,30.26,11.26,-2.17,0.038,-0.073,5283.26,4988.70,0.593
2026-02-05T17:35:13.089,TORNTPOWER,1417.60,0.718,1357.79,1266.80,1317.72,1567.42,1.94,24.68,23.59,60.34,power & utilities,power generation and supply,13.72,7.58,-0.631,-0.038,-0.039,1317.70,1252.58,-0.616
2026-02-05T17:35:13.089,BALKRISIND,2678,0.544,2518.99,2226.10,2382.21,3121.68,2.33,33.86,39.24,74.13,auto,tyres,27.54,12.42,2.21,0.017,0.044,2367.91,2202.24,-0.687
2026-02-05T17:35:13.089,BSOFT,460.55,4.59,426.30,408,407.10,540.72,1.74,26.90,26.48,64.70,i.t,computers - software - medium / small,17.41,13.13,7.45,0.111,0.071,416.40,387.75,-1.71
2026-02-05T17:35:13.089,BALRAMCHIN,446.65,1.13,428.06,411.50,406.89,506.29,0.485,41.82,22.02,62.17,fmcg,sugar,25.78,9.77,-25.60,-0.252,-0.227,417.39,396.79,-1.98
2026-02-05T17:35:13.089,BLUEDART,5895,3.30,5499.27,5384.50,5397.71,6640.94,1.43,51.19,53.38,70.00,transportation,couriers,21.09,9.21,-11.14,-0.065,-0.164,5524.02,5252.79,-2.22
2026-02-05T17:35:13.089,IRB,42.26,0.523,40.92,39.75,39.88,45.84,0.843,45.93,3.86,56.36,realty,construction,14.69,5.98,-12.37,-0.131,-0.202,39.71,37.85,-4.57
2026-02-05T17:35:13.089,RKFORGE,562.55,0.294,538.95,486.70,506.76,646.24,0.749,187.52,47.09,68.18,industrials,castings & forgings,18.63,11.01,-15.08,-0.103,-0.110,513.12,480.04,-5.29
2026-02-05T17:35:13.089,HFCL,71.05,3.20,66.26,63.45,63.39,82.55,1.29,26.51,191.25,60.96,telecom,cables - telephone,18.14,12.09,-13.33,-0.115,-0.214,62.93,58.50,-5.47
