Timestamp,Symbol ,Cmp ,%ch1 ,Lch1 ,Sl ,Target ,1d_high ,R_vol ,Forward pe ,Pe ,Rsi ,Sector ,Industry ,Adx ,%ch y_low ,Srs ,Ars ,Srs y ,Ars y ,Lc ,Low ,Atr% ,%ch_3low 
2026-02-05T16:47:03.098,SBC,30.31,2.85,-0.368,28.42,32.85,30.71,0.947,31.57,59.72,64.54,textiles,textiles - products,40.1,1.38,0.56,0.97,0.474,0.91,3.64,28.81,4.31,23.03
2026-02-05T16:40:58.34,SBC,30.31,2.85,-0.368,28.42,32.85,30.71,0.947,31.57,59.72,64.54,textiles,textiles - products,40.1,1.38,0.56,0.97,0.474,0.91,3.64,28.81,4.31,23.03
