Timestamp,Symbol,Cmp,%ch7,Lch5,Sl,Target,7dhigh,Forwardpe,Pe,Rsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc,Low,%chsl,%chslatr,Atr%,%ch3low,Bollingerbandwidth
2026-02-05T18:56:00.403,INFOBEAN,840.15,5.32,-12.67,823.61,951.29,934.65,26.39,27.86,55.64,i.t,computers - software - medium / small,36.09,-9.58,0.312,1.28,0.194,0.902,19.17,744.70,7.75,-12.16,10.07,21.74,20.95
2026-02-05T18:56:00.403,MTARTECH,3283.50,27.66,-2.28,2527.37,2875.83,3448.90,72.77,164.34,61.51,aerospace & defence,engineering,21.27,0.424,0.674,0.596,0.576,0.496,6.44,2538.10,6.89,-4.88,5.10,14.23,9.96
2026-02-05T18:56:00.403,BHAGYANGR,168.49,9.88,-9.56,165.03,186.27,193,10.50,15.29,61.38,power & utilities,power generation and supply,18.98,6.44,0.618,1.25,0.531,1.15,0,175.65,6.44,-3.16,5.69,11.86,21.91
2026-02-05T18:56:00.403,GRAPHITE,622.95,2.44,-13.15,627.79,695.71,677.90,39.83,51.73,61.40,industrials,electrodes - graphites,20.82,-0.085,0.107,0.315,0.064,0.250,5.50,627.25,5.41,-4.65,4.75,9.91,15.17
2026-02-05T18:56:00.403,CRAFTSMAN,7836,5.66,-9.00,7509.48,8050.52,8220,42.29,50.70,56.57,auto,auto ancillaries,19.08,-0.239,0.111,0.432,0.110,0.396,3.85,7491.50,3.60,-2.93,4.26,9.22,9.30
2026-02-05T18:56:00.403,CUB,293.65,10.50,-7.43,269.21,317.39,324.10,16.39,17.25,59.06,bank,banks - private sector,20.39,5.03,0.322,0.464,0.270,0.421,3.73,282.75,8.95,-3.68,3.95,8.61,7.35
2026-02-05T18:56:00.403,PFC,415,9.75,-3.41,365.61,400.49,420.40,5.96,5.53,61.81,financials,finance - term-lending institutions,21.27,-0.947,-0.141,-0.114,-0.184,-0.162,5.77,362.15,4.77,-4.01,2.99,7.43,7.74
2026-02-05T18:56:00.403,COALINDIA,431.85,3.94,-6.99,426.97,461.13,461.55,15.27,8.59,67.75,metals & mining,mining / minerals / metals,39.25,-1.26,0.066,0.060,0.022,0.011,5.32,421.60,4.00,-3.49,2.75,6.90,9.59
2026-02-05T18:56:00.403,PETRONET,298.85,4.03,-3.60,278.10,303.20,302.35,13.49,12.20,60.26,energy,miscellaneous,18.21,-0.719,-0.086,-0.124,-0.158,-0.162,5.27,276.10,4.51,-3.62,2.84,6.54,5.80
2026-02-05T18:56:00.403,UNIONBANK,177.92,0.775,-9.25,175.38,188.48,183.34,6.69,7.10,70.84,bank,banks - public sector,35.87,-0.074,0.263,0.322,0.201,0.275,3.81,175.25,3.74,-3.22,3.30,5.93,12.94
