Timestamp,Symbol ,Cmp ,%ch7 ,Lch7 ,Sl ,Target ,7d_high ,R_vol ,Forward pe ,Pe ,Rsi ,Sector ,Industry ,Adx ,%ch y_low ,Srs ,Ars ,Srs y ,Ars y ,Lc ,Low ,%ch_3low 
2026-02-05T16:47:03.054,MMFL,449.0,9.54,-7.75,402.96,449.58,455.15,0.306,32.73,22.67,57.58,industrials,castings & forgings,37.51,-1.42,0.086,0.118,0.036,0.07,4.59,397.25,14.78
2026-02-05T16:40:58.294,MMFL,449.0,9.54,-7.75,402.96,449.58,455.15,0.306,32.73,22.67,57.58,industrials,castings & forgings,37.51,-1.42,0.086,0.118,0.036,0.07,4.59,397.25,14.78
