Timestamp,Symbol,Rsscore,Rscore1mago,Rscore3mago,Rscore6mago,Rs1m,Rs3m,Rs6m
2026-02-05T17:12:38.190,GOLDETF,19.78,17.54,12.24,9.54,0.113,0.255,0.516
2026-02-05T17:12:38.190,TATAGOLD,19.72,17.52,11.94,9.53,0.114,0.264,0.516
2026-02-05T17:12:38.190,QGOLDHALF,19.69,17.74,12.12,9.65,0.106,0.255,0.510
2026-02-05T17:12:38.190,BBNPPGOLD,19.69,17.46,12.24,9.84,0.116,0.261,0.516
2026-02-05T17:12:38.190,HDFCGOLD,19.67,17.58,12.10,9.42,0.111,0.256,0.511
2026-02-05T17:12:38.190,SHRIRAMFIN,19.64,17.17,7.05,1.36,-0.011,0.252,0.588
2026-02-05T17:12:38.190,RBLBANK,19.61,24.33,21.66,5.22,-0.050,-0.065,0.147
2026-02-05T17:12:38.190,SETFGOLD,19.58,17.49,12.05,9.55,0.111,0.256,0.509
2026-02-05T17:12:38.190,LICMFGOLD,19.56,17.67,11.98,9.51,0.108,0.248,0.499
2026-02-05T17:12:38.190,GOLDCASE,19.51,17.55,12.01,9.59,0.109,0.257,0.509
2026-02-05T17:12:38.190,AXISGOLD,19.50,17.61,12.02,9.64,0.105,0.255,0.504
2026-02-05T17:12:38.190,EGOLD,19.49,17.48,11.90,9.49,0.107,0.255,0.506
2026-02-05T17:12:38.190,GOLDBEES,19.43,17.46,11.99,9.52,0.107,0.251,0.504
2026-02-05T17:12:38.190,GOLD1,19.39,17.41,12.11,9.67,0.106,0.249,0.501
2026-02-05T17:12:38.190,THANGAMAYL,19.25,18.69,11.57,0.638,-0.089,0.031,0.667
2026-02-05T17:12:38.190,SKMEGGPROD,19.23,14.96,17.70,4.80,0.029,-0.047,0.246
2026-02-05T17:12:38.190,GOLDADD,19.10,17.76,12.08,9.71,0.096,0.241,0.491
2026-02-05T17:12:38.190,UJJIVANSFB,18.27,16.92,9.89,0.603,0.084,0.232,0.435
2026-02-05T17:12:38.190,JKTYRE,17.37,9.93,4.90,-5.73,0.050,0.197,0.622
