Timestamp,Symbol ,From52wh ,3d range ,5d ,Sector ,Industry ,Free float 
2026-02-05T16:34:14.322,UEL,0.216,18.2,27.32,power & utilities,power generation and supply,525.41
2026-02-05T16:31:02.217,UEL,0.216,18.2,27.32,power & utilities,power generation and supply,525.41
