Timestamp,Symbol,Cmp,%ch4,Lch4,Target,4dhigh,Rvol,Forwardpe,Pe,Rsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc,Low
2026-02-05T17:12:38.129,ONWARDTEC,318.20,-0.747,-10.33,440.13,355,5.95,17.68,16.04,73.73,i.t,computers - software - medium / small,27.65,4.80,-0.049,0.156,-0.113,0.083,7.49,323.75
2026-02-05T17:12:38.129,INDSWFTLAB,122.14,10.71,-5.77,133.34,124.80,1.44,26.10,3.31,66.12,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.30,0.891,-0.026,0.514,-0.012,0.526,3.42,109
2026-02-05T17:12:38.129,GAEL,128.42,2.49,-8.18,150.51,143.80,2.84,22.30,30.32,55.08,fmcg,miscellaneous,30.27,-7.32,0.149,0.139,0.169,0.169,8.11,127.29
