Timestamp,Symbol ,Rs_score ,Rscore_1mago ,Rscore_3mago ,Rscore_6mago ,Rs_1m ,Rs_3m ,Rs_6m 
2026-02-05T16:47:02.961,CUPID,115.23,119.21,53.57,22.1,-0.021,0.712,1.51
2026-02-05T16:40:58.199,CUPID,115.23,119.21,53.57,22.1,-0.021,0.712,1.51
