Timestamp,Symbol ,Cmp ,%ch ,%ch7 ,Lch7 ,Low ,Sl ,Target ,R_vol ,Forward pe ,Pe ,Rsi ,W rsi ,Sector ,Industry ,Adx ,%ch y_low ,Srs ,Ars ,Srs y ,Ars y ,Lc 
2026-02-05T16:34:14.318,ONGC,269.2,0.843,3.42,-7.81,266.0,256.51,282.61,1.23,7.84,9.19,74.8,66.14,energy,oil drilling / allied services,29.02,1.22,0.025,0.05,-0.055,-0.029,1.2
2026-02-05T16:31:02.213,ONGC,269.2,0.843,3.42,-7.81,266.0,256.51,282.61,1.23,7.84,9.19,74.8,66.14,energy,oil drilling / allied services,29.02,1.22,0.025,0.05,-0.055,-0.029,1.2
