"Timestamp","5_day_Check","Symbol","Cmp","%ch5","Lc5","Sl","Target","5d_high","R_vol","Forward pe","Pe","Rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Low"
"2026-02-03T21:48:28.012","5_day_Check","TMB","597","8.81","-0.516","561.73","596.48","621.90","1.26","7.44","7.70","62.86","bank","banks - private sector","28.97","-0.139","0.174","0.233","0.138","0.203","1.89","560.95"
"2026-02-03T21:48:28.012","5_day_Check","GRAPHITE","624.95","2.44","-13.15","627.79","736.18","677.90","1.32","39.96","48.83","61.40","industrials","electrodes - graphites","20.82","-0.085","0.107","0.315","0.064","0.250","5.50","627.25"
"2026-02-03T21:48:28.012","5_day_Check","CUB","298.50","10.50","-7.43","269.21","343.87","324.10","0.553","16.66","16.86","59.06","bank","banks - private sector","20.39","5.03","0.322","0.464","0.270","0.421","3.73","282.75"
