Timestamp,RS,Symbol,Cmp,%ch,Sl,Target,0d_high,R_vol,Forward pe,Pe,Rsi,W rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Column20,Low6
2026-02-03T21:48:28.012,RS,ACUTAAS,1969.7,1.68,1761.41,2568.09,2060.6,1.87,37.33,55.0,67.42,70.09,healthcare,pharmaceuticals - indian - bulk drugs,22.39,6.53,0.352,0.629,0.338,0.604,13.92,2.22,1729.0
2026-02-03T21:48:28.012,RS,APEX,352.3,19.99,278.05,500.79,352.3,4.3,23.18,40.39,70.29,64.88,fmcg,aquaculture,20.41,3.99,0.426,0.54,0.17,0.286,24.55,7.39,282.85
2026-02-03T21:48:28.012,RS,BAJAJCON,356.4,2.37,311.62,473.16,370.0,1.16,25.9,30.2,70.3,77.86,fmcg,personal care - indian,27.84,3.6,0.463,1.0,0.434,0.957,16.07,2.86,307.05
2026-02-03T21:48:28.012,RS,PFOCUS,257.46,9.21,214.38,346.23,258.77,1.38,70.73,-50.81,65.06,71.03,realty,miscellaneous,21.06,2.36,0.477,1.44,0.399,1.23,21.1,8.24,212.6
2026-02-03T21:48:28.012,RS,JKTYRE,534.25,1.86,502.03,620.2,545.0,1.53,16.53,26.86,63.1,77.5,auto,tyres,22.63,0.296,0.506,0.348,0.451,0.325,8.04,1.26,494.5
2026-02-03T21:48:28.012,RS,MIRCELECTR,32.88,4.98,30.46,37.71,32.88,0.579,-137.0,-40.15,59.99,63.39,consumer discretionary,electronics - consumer,22.23,-3.32,0.763,1.15,0.834,1.05,14.56,2.4,28.7
2026-02-03T21:48:28.012,RS,MTARTECH,3239.0,6.78,2708.4,4360.2,3269.0,1.36,71.79,146.96,75.91,73.21,aerospace & defence,engineering,30.4,13.82,0.876,0.882,0.916,0.766,27.62,5.54,2538.1
2026-02-03T21:48:28.012,RS,KMEW,1835.0,4.0,1650.19,2265.22,1865.3,0.589,44.24,38.64,55.08,64.5,transportation,miscellaneous,20.29,1.69,0.989,1.23,0.904,1.15,11.88,1.96,1640.1
2026-02-03T22:23:55.402,RS,MBAPL,424.45,2.09,394.45,515.04,439.75,2.1,29.31,34.79,58.88,56.98,chemicals,fertilizers,14.04,3.73,-0.119,0.296,-0.139,0.272,7.73,2.25,394.0
2026-02-03T22:23:55.402,RS,RAMCOCEM,1134.4,1.98,1073.48,1291.24,1151.9,0.839,86.73,71.08,64.12,62.13,building materials,cement - south india,16.25,1.42,-0.1,0.09,-0.132,0.07,7.53,1.28,1055.0
2026-02-03T22:23:55.402,RS,VENTIVE,769.2,1.6,727.18,902.74,793.95,2.53,80.13,71.96,58.99,55.4,services,hotels,15.67,-2.23,-0.079,-0.026,-0.101,-0.04,7.94,2.42,712.65
2026-02-03T22:23:55.402,RS,BLISSGVS,180.52,4.49,162.23,222.05,183.0,0.34,17.49,16.61,58.21,57.62,healthcare,pharmaceuticals - indian - formulations,22.77,3.61,-0.072,0.38,-0.121,0.323,9.61,3.15,164.7
2026-02-03T22:23:55.402,RS,RAIN,162.15,3.92,144.53,200.3,163.6,1.71,12.87,-39.6,65.65,64.03,miscellaneous,miscellaneous,35.75,6.82,-0.037,0.081,-0.082,0.042,13.79,5.63,142.5
2026-02-03T22:23:55.402,RS,ASTRAL,1503.5,2.45,1413.14,1697.22,1510.0,0.877,74.88,77.41,59.95,54.94,plastic products,plastics products,14.5,1.48,-0.029,-0.003,-0.061,-0.025,7.62,1.33,1397.0
2026-02-03T22:23:55.402,RS,AUTOAXLES,1966.5,1.66,1875.2,2244.11,2014.0,0.909,20.67,18.6,57.21,60.48,auto,auto ancillaries,19.12,-2.46,-0.006,0.093,-0.06,0.076,7.17,1.84,1835.0
