Timestamp,Date,4.5r Sort table by 4.5r in ascending order,4.5chg Sort table by 4.5chg in ascending order,20r Sort table by 20r in ascending order,20chg Sort table by 20chg in ascending order,50r Sort table by 50r in ascending order,50chg Sort table by 50chg in ascending order,52wh Sort table by 52wh in ascending order,52wl Sort table by 52wl in ascending order,>4.5+ Sort table by >4.5+ in ascending order,<4.5- Sort table by <4.5- in ascending order,>10sma Sort table by >10sma in ascending order,<10sma Sort table by <10sma in ascending order,>20sma Sort table by >20sma in ascending order,<20sma Sort table by <20sma in ascending order,>50sma Sort table by >50sma in ascending order,<50sma Sort table by <50sma in ascending order,>200sma Sort table by >200sma in ascending order,<200sma Sort table by <200sma in ascending order,Total stocks Sort table by Total stocks in ascending order,Column22
2026-02-05T15:35:49.178,31st Oct,163.89,-22.74,99.13,-17.86,97.37,-10.12,2.24,1.18,2.32,1.41,43.75,55.85,49.25,49.69,48.04,49.33,50.08,42.30,2546,
2026-02-05T15:35:49.178,30th Oct,215.15,-35.08,120.75,-9.60,108.41,-1.37,2.32,0.863,2.79,1.30,53.61,45.84,54.12,44.82,50.59,46.66,50.59,41.80,2548,
2026-02-05T15:35:49.178,29th Oct,334.29,107.34,133.58,25.14,109.92,15.56,2.87,1.02,4.59,1.37,60.27,39.07,56.54,42.32,50.92,46.33,50.88,41.50,2547,
2026-02-05T15:35:49.178,28th Oct,163.27,-3.45,106.99,-3.90,95.35,-2.07,2.54,1.02,3.13,1.92,52.00,47.30,50.94,47.61,47.42,49.73,49.18,43.15,2554,
2026-02-05T15:35:49.178,27th Oct,144.78,17.20,110.60,1.18,96.86,0.320,2.68,1.01,3.76,2.60,56.05,43.17,51.78,46.82,47.79,49.34,49.57,42.90,2578,
2026-02-05T15:35:49.178,24th Oct,143.90,-22.21,109.83,-9.81,96.75,-7.96,1.45,0.587,2.31,1.60,53.03,46.07,51.54,46.93,47.75,49.35,49.16,43.18,2557,
2026-02-05T15:35:49.178,23rd Oct,185,-88.72,121.78,0.717,105.12,1.30,3.88,0.470,4.35,2.35,59.55,39.78,54.07,44.40,49.80,47.38,49.14,43.27,2554,
2026-02-05T15:35:49.178,21st Oct,1640,614.87,120.79,42.68,103.71,15.22,2.95,0.903,3.22,0.196,64.53,34.76,53.85,44.58,49.45,47.68,48.74,43.72,2546,
2026-02-05T15:35:49.178,20th Oct,193.55,112.28,84.76,20.65,89.97,10.76,2.91,2.29,4.66,2.41,49.42,49.81,45.11,53.22,45.96,51.09,46.82,45.61,2576,
2026-02-05T15:35:49.178,17th Oct,96.67,-60.96,69.89,-9.03,81.07,-10.09,2.39,1.76,2.27,2.35,42.24,56.90,40.51,57.96,43.49,53.65,46.31,46.12,2550,
2026-02-05T15:35:49.178,16th Oct,247.62,-4.93,76.90,22.09,90.24,9.19,1.96,1.18,4.08,1.65,47.29,51.88,42.82,55.69,46.04,51.02,47.37,45.06,2550,
2026-02-05T15:35:49.178,15th Oct,260.47,367.87,63.01,42.49,82.66,15.96,1.81,2.24,4.40,1.69,41.54,57.75,38.12,60.50,43.97,53.20,45.82,46.68,2547,
2026-02-05T15:35:49.178,14th Oct,55.67,-54.67,44.22,-28.21,71.28,-21.26,2.28,2.79,2.12,3.81,33.42,65.71,30.20,68.30,40.46,56.76,44.70,47.60,2546,
2026-02-05T15:35:49.178,13th Oct,115.38,-54.67,61.97,-22.66,90.75,-10.19,2.14,1.75,2.92,2.53,46.88,52.14,37.72,60.87,46.26,50.97,46.30,46.14,2566,
2026-02-05T15:35:49.178,Symbol Sort table by Symbol in ascending order,Rs_score Sort table by Rs_score in ascending order,Rscore_1mago Sort table by Rscore_1mago in ascending order,Rscore_3mago Sort table by Rscore_3mago in ascending order,Rscore_6mago Sort table by Rscore_6mago in ascending order,Rs_1m Sort table by Rs_1m in ascending order,Rs_3m Sort table by Rs_3m in ascending order,Rs_6m Sort table by Rs_6m in ascending order,,,,,,,,,,,,,
2026-02-05T15:35:49.178,CUPID,116.05,119.21,53.57,22.10,-0.015,0.722,1.52,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SABTNL,76.63,11.12,-4.82,38.72,0.110,1.44,0.742,,,,,,,,,,,,,
2026-02-05T15:35:49.178,FORCEMOT,50.92,48.56,34.59,23.25,0.007,0.176,0.237,,,,,,,,,,,,,
2026-02-05T15:35:49.178,LUMAXTECH,45.89,40.26,29.69,26.84,-0.090,0.317,0.325,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SMLMAH,42.57,44.18,20.24,16.93,-0.104,0.206,0.075,,,,,,,,,,,,,
2026-02-05T15:35:49.178,HINDCOPPER,42.06,32.72,4.22,-5.38,0.079,0.893,1.50,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SBISILVER,41.62,41.97,12.65,7.52,0.040,0.697,1.23,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVER,41.51,42.11,12.73,7.33,0.037,0.693,1.22,,,,,,,,,,,,,
2026-02-05T15:35:49.178,HDFCSILVER,41.09,42.19,12.60,7.31,0.032,0.686,1.21,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ESILVER,40.71,41.82,12.65,7.25,0.030,0.675,1.20,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVER1,40.65,41.76,12.71,7.36,0.030,0.673,1.20,,,,,,,,,,,,,
2026-02-05T15:35:49.178,TATSILV,40.59,42.30,12.72,7.28,0.020,0.665,1.19,,,,,,,,,,,,,
2026-02-05T15:35:49.178,BGRENERGY,40.37,62.68,213.22,33.46,-0.041,-0.180,2.25,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVERIETF,40.34,42.23,12.63,7.27,0.018,0.664,1.19,,,,,,,,,,,,,
2026-02-05T15:35:49.178,AXISILVER,40.34,42.02,12.63,7.29,0.021,0.666,1.19,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVERADD,40.10,42.10,12.68,7.34,0.015,0.654,1.18,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVERAG,40.08,41.78,12.69,7.30,0.023,0.658,1.18,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVERBEES,40.03,42.00,12.51,7.15,0.018,0.663,1.18,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVERBETA,39.79,41.82,12.55,6.80,0.015,0.652,1.17,,,,,,,,,,,,,
2026-02-05T15:35:49.178,PFOCUS,37.32,21.96,9.62,2.47,0.081,0.492,0.713,,,,,,,,,,,,,
2026-02-05T15:35:49.178,INFOBEAN,36.64,34.49,12.12,7.14,-0.108,0.409,0.513,,,,,,,,,,,,,
2026-02-05T15:35:49.178,MEGASOFT,35.52,38.94,51.94,16.07,-0.074,-0.108,0.590,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILGO,34.75,24.88,16.44,12.20,-0.039,0.111,0.321,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ABINFRA,34.21,23.02,NaN,NaN,0.108,0.089,0.124,,,,,,,,,,,,,
2026-02-05T15:35:49.178,LUMAXIND,32.55,31.89,25.61,9.78,-0.090,0.051,0.323,,,,,,,,,,,,,
2026-02-05T15:35:49.178,TDPOWERSYS,31.41,14.11,26.83,6.34,0.176,0.015,0.581,,,,,,,,,,,,,
2026-02-05T15:35:49.178,TFCILTD,31.03,25.10,33.42,13.37,-0.009,-0.007,0.227,,,,,,,,,,,,,
2026-02-05T15:35:49.178,MTARTECH,29.13,14.46,12.05,-5.28,0.286,0.373,1.25,,,,,,,,,,,,,
2026-02-05T15:35:49.178,MCX,27.83,20.46,12.03,18.63,0.080,0.311,0.520,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SBC,26.88,17.86,10.56,-1.49,0.050,0.206,0.700,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SILVERTUC,26.36,25.20,2.89,-1.09,-0.061,0.709,0.850,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GABRIEL,26.18,24.70,42.32,27.74,-0.057,-0.195,-0.043,,,,,,,,,,,,,
2026-02-05T15:35:49.178,BHAGYANGR,26.08,23.14,9.44,-3.64,-0.053,0.333,0.821,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GVT&D,26.00,14.55,18.96,18.30,0.142,0.173,0.267,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GRMOVER,25.84,34.84,24.54,19.29,-0.066,0.078,0.277,,,,,,,,,,,,,
2026-02-05T15:35:49.178,JAYNECOIND,25.09,33.85,19.23,0.609,-0.174,0.031,0.447,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SHARDACROP,24.62,2.03,3.25,21.91,0.393,0.488,0.052,,,,,,,,,,,,,
2026-02-05T15:35:49.178,IMFA,24.55,13.52,16.82,-0.083,0.025,0.174,0.839,,,,,,,,,,,,,
2026-02-05T15:35:49.178,BAJAJCON,24.35,10.29,9.70,-3.04,0.312,0.216,0.635,,,,,,,,,,,,,
2026-02-05T15:35:49.178,NATIONALUM,23.89,17.18,1.52,-1.40,0.051,0.580,0.947,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ATALREAL,23.78,21.77,26.12,30.64,0.050,0.104,0.437,,,,,,,,,,,,,
2026-02-05T15:35:49.178,KMEW,23.64,17.01,NaN,NaN,0.009,0.255,1.05,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GMDCLTD,23.38,22.99,14.85,1.18,0.001,0.082,0.501,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SJS,23.28,15.49,12.91,7.46,0.005,0.049,0.514,,,,,,,,,,,,,
2026-02-05T15:35:49.178,MIRCELECTR,23.15,15.16,7.20,-7.48,-0.012,0.309,1.21,,,,,,,,,,,,,
2026-02-05T15:35:49.178,STALLION,23.13,NaN,NaN,NaN,-0.206,-0.214,0.426,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ROSSTECH,22.54,11.40,NaN,NaN,0.201,0.204,0.305,,,,,,,,,,,,,
2026-02-05T15:35:49.178,LTF,22.26,31.29,21.82,4.65,-0.114,0.029,0.387,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ASHOKLEY,22.19,17.05,8.60,-0.083,0.085,0.430,0.647,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ABCAPITAL,22.07,24.19,14.31,6.30,-0.042,0.056,0.240,,,,,,,,,,,,,
2026-02-05T15:35:49.178,APOLLO,21.93,28.97,37.37,12.15,-0.085,-0.084,0.411,,,,,,,,,,,,,
2026-02-05T15:35:49.178,CRAFTSMAN,21.61,13.17,9.91,5.62,-0.021,0.159,0.184,,,,,,,,,,,,,
2026-02-05T15:35:49.178,IZMO,21.13,16.22,36.03,-5.56,-0.119,-0.221,0.959,,,,,,,,,,,,,
2026-02-05T15:35:49.178,POCL,20.91,20.07,12.68,17.90,-0.174,-0.044,0.097,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GOLDIETF,20.51,17.65,12.05,9.59,0.133,0.284,0.543,,,,,,,,,,,,,
2026-02-05T15:35:49.178,ANURAS,20.50,20.87,11.71,11.60,-0.035,0.223,0.158,,,,,,,,,,,,,
2026-02-05T15:35:49.178,BSLGOLDETF,20.35,17.81,12.10,9.68,0.127,0.276,0.532,,,,,,,,,,,,,
2026-02-05T15:35:49.178,NETWEB,20.22,8.42,9.56,-0.144,-0.072,-0.059,0.348,,,,,,,,,,,,,
2026-02-05T15:35:49.178,IFBAGRO,19.87,40.26,35.01,13.39,-0.302,-0.215,0.240,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SHRIRAMFIN,19.77,17.17,7.05,1.36,-0.008,0.255,0.592,,,,,,,,,,,,,
2026-02-05T15:35:49.178,QGOLDHALF,19.69,17.74,12.12,9.65,0.106,0.255,0.510,,,,,,,,,,,,,
2026-02-05T15:35:49.178,BBNPPGOLD,19.69,17.46,12.24,9.84,0.116,0.261,0.516,,,,,,,,,,,,,
2026-02-05T15:35:49.178,TATAGOLD,19.66,17.52,11.94,9.53,0.112,0.262,0.514,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GOLDCASE,19.66,17.55,12.01,9.59,0.112,0.261,0.514,,,,,,,,,,,,,
2026-02-05T15:35:49.178,RBLBANK,19.58,24.33,21.66,5.22,-0.050,-0.066,0.147,,,,,,,,,,,,,
2026-02-05T15:35:49.178,LICMFGOLD,19.56,17.67,11.98,9.51,0.108,0.248,0.499,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GOLDBETA,19.54,17.83,12.27,9.69,0.104,0.251,0.506,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GROWWGOLD,19.52,17.39,11.84,NaN,0.112,0.257,0.506,,,,,,,,,,,,,
2026-02-05T15:35:49.178,EGOLD,19.49,17.48,11.90,9.49,0.107,0.255,0.506,,,,,,,,,,,,,
2026-02-05T15:35:49.178,HDFCGOLD,19.48,17.58,12.10,9.42,0.106,0.251,0.504,,,,,,,,,,,,,
2026-02-05T15:35:49.178,SKMEGGPROD,19.46,14.96,17.70,4.80,0.035,-0.042,0.253,,,,,,,,,,,,,
2026-02-05T15:35:49.178,GOLDETF,19.39,17.54,12.24,9.54,0.103,0.244,0.503,,,,,,,,,,,,,
2026-02-05T15:35:49.178,THANGAMAYL,19.38,18.69,11.57,0.638,-0.087,0.034,0.672,,,,,,,,,,,,,
2026-02-05T15:35:49.178,AXISGOLD,19.37,17.61,12.02,9.64,0.102,0.251,0.500,,,,,,,,,,,,,
