Timestamp,Symbol Sort table by Symbol in ascending order,Cmp Sort table by Cmp in ascending order,%ch3 Sort table by %ch3 in ascending order,Lch3 Sort table by Lch3 in ascending order,Sl Sort table by Sl in ascending order,Target Sort table by Target in ascending order,3d_high Sort table by 3d_high in ascending order,R_vol Sort table by R_vol in ascending order,Forward pe Sort table by Forward pe in ascending order,Pe Sort table by Pe in ascending order,Rsi Sort table by Rsi in ascending order,Sector Sort table by Sector in ascending order,Industry Sort table by Industry in ascending order,Adx Sort table by Adx in ascending order,%ch y_low Sort table by %ch y_low in ascending order,Srs Sort table by Srs in ascending order,Ars Sort table by Ars in ascending order,Srs y Sort table by Srs y in ascending order,Ars y Sort table by Ars y in ascending order,Lc Sort table by Lc in ascending order,Low Sort table by Low in ascending order,Scan_Date
2026-02-04T07:22:10.782,INDSWFTLAB,113.37,4.35,-6.33,106.81,135.4,118.34,3.8,24.22,3.11,67.47,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,0.267,-0.005,0.524,-0.067,0.445,5.9,107.09,2026-02-04
2026-02-04T07:22:10.782,EQUITASBNK,66.93,1.53,-5.51,69.68,72.65,71.18,1.03,21.18,-113.44,66.05,bank,banks - private sector,36.61,-2.83,0.09,0.047,0.059,0.042,3.54,67.71,2026-02-04
2026-02-04T07:22:10.782,RAIN,162.15,7.12,-3.24,139.86,203.14,165.95,1.87,12.87,-41.15,61.39,miscellaneous,miscellaneous,35.05,10.18,-0.091,0.03,-0.04,0.097,0.532,154.1,2026-02-04
2026-02-04T07:22:10.782,GAEL,132.55,1.98,-10.39,137.78,150.26,143.8,0.806,23.01,30.19,60.99,fmcg,miscellaneous,30.27,0.962,0.178,0.186,0.188,0.202,1.37,139.1,2026-02-04
2026-02-04T07:22:10.782,GNA,414.1,18.22,-6.18,348.11,393.28,425.0,0.493,14.24,16.93,60.72,auto,auto ancillaries,28.55,-1.71,0.085,0.039,0.076,0.038,5.07,342.15,2026-02-04
