Timestamp,Symbol Sort table by Symbol in ascending order,Cmp Sort table by Cmp in ascending order,%ch7 Sort table by %ch7 in ascending order,Lch7 Sort table by Lch7 in ascending order,Sl Sort table by Sl in ascending order,Target Sort table by Target in ascending order,7d_high Sort table by 7d_high in ascending order,R_vol Sort table by R_vol in ascending order,Forward pe Sort table by Forward pe in ascending order,Pe Sort table by Pe in ascending order,Rsi Sort table by Rsi in ascending order,Sector Sort table by Sector in ascending order,Industry Sort table by Industry in ascending order,Adx Sort table by Adx in ascending order,%ch y_low Sort table by %ch y_low in ascending order,Srs Sort table by Srs in ascending order,Ars Sort table by Ars in ascending order,Srs y Sort table by Srs y in ascending order,Ars y Sort table by Ars y in ascending order,Lc Sort table by Lc in ascending order,Low Sort table by Low in ascending order,%ch_3low Sort table by %ch_3low in ascending order,Scan_Date
2026-02-04T07:22:10.782,BAJAJCON,356.4,20.99,-2.13,274.17,396.26,370.0,17.18,25.9,30.91,65.02,fmcg,personal care - indian,21.93,8.09,0.202,0.769,0.108,0.721,3.19,296.35,26.08,2026-02-04
2026-02-04T07:22:10.782,UJJIVANSFB,63.89,4.44,-9.61,59.14,80.78,68.0,8.52,16.64,25.05,70.13,bank,banks - private sector,26.12,3.38,0.341,0.357,0.239,0.336,3.14,61.14,11.37,2026-02-04
2026-02-04T07:22:10.782,SBC,28.91,0.639,-18.31,28.57,32.67,30.05,0.9,30.11,57.82,70.76,textiles,textiles - products,30.55,1.5,0.572,1.11,0.588,1.08,2.45,29.0,10.04,2026-02-04
2026-02-04T07:22:10.782,AUTOAXLES,1966.5,3.85,-5.38,1902.0,2115.3,2014.0,1.03,20.67,18.91,56.66,auto,auto ancillaries,28.68,1.47,-0.058,0.092,-0.046,0.097,0.482,1930.0,6.67,2026-02-04
2026-02-04T07:22:10.782,SEAMECLTD,1230.3,17.1,-2.08,1067.05,1347.4,1325.0,2.24,7.85,16.39,65.9,miscellaneous,miscellaneous,37.07,4.63,0.248,0.287,0.216,0.285,1.34,1116.5,6.35,2026-02-04
