Timestamp,Symbol Sort table by Symbol in ascending order,Cmp Sort table by Cmp in ascending order,%ch4 Sort table by %ch4 in ascending order,Lch4 Sort table by Lch4 in ascending order,Target Sort table by Target in ascending order,4d_high Sort table by 4d_high in ascending order,R_vol Sort table by R_vol in ascending order,Forward pe Sort table by Forward pe in ascending order,Pe Sort table by Pe in ascending order,Rsi Sort table by Rsi in ascending order,Sector Sort table by Sector in ascending order,Industry Sort table by Industry in ascending order,Adx Sort table by Adx in ascending order,%ch y_low Sort table by %ch y_low in ascending order,Srs Sort table by Srs in ascending order,Ars Sort table by Ars in ascending order,Srs y Sort table by Srs y in ascending order,Ars y Sort table by Ars y in ascending order,Lc Sort table by Lc in ascending order,Low Sort table by Low in ascending order,Scan_Date
2026-02-04T07:17:05.921,RAIN,162.15,0.808,-8.94,225.99,169.63,9.75,12.87,-41.15,71.01,miscellaneous,miscellaneous,33.03,3.28,-0.033,0.062,-0.159,-0.065,14.72,143.5,2026-02-04
2026-02-04T07:17:05.921,EQUITASBNK,66.93,2.24,-4.84,73.85,71.7,1.95,21.18,-113.44,64.47,bank,banks - private sector,38.72,-2.61,0.066,0.036,0.067,0.035,2.73,67.77,2026-02-04
2026-02-04T07:17:05.921,GAEL,132.55,0.849,-11.38,154.34,143.8,1.05,23.01,30.19,63.96,fmcg,miscellaneous,31.19,-0.476,0.197,0.19,0.187,0.155,4.08,137.0,2026-02-04
