Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-21T02:50:24.697,TITAN,4643.4,0.11,4532.79,4554.0,4597.27,4712.59,0.24,87.41,81.19,67.96,consumer discretionary,diamond cutting / jewellery,30.51,1.0,18.17,0.02,0.2,4511.84,4429.77,8.5,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ABB,7517.0,0.15,7268.17,6744.0,6930.74,8396.38,0.62,22.32,53.49,63.5,industrials,electric equipment,18.1,8.46,43.4,0.42,0.39,6988.44,6649.01,7.72,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,INDIANB,858.5,3.14,813.94,816.0,796.6,951.35,1.32,8.61,9.05,56.79,bank,banks - public sector,17.07,7.77,11.12,-0.07,-0.03,803.57,765.28,7.63,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,CAPLIPOINT,2649.2,1.34,2549.08,2576.9,2624.39,2686.42,0.32,29.59,31.4,63.54,healthcare,pharmaceuticals - indian - formulations,56.56,0.95,36.18,0.34,0.26,2465.81,2363.26,7.63,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,LLOYDSME,1907.9,2.28,1818.68,1799.1,1791.01,2083.23,1.35,17.82,27.33,66.79,metals & mining,mining / minerals / metals,22.35,6.53,45.74,0.43,0.41,1784.58,1698.98,7.22,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,SBIN,1060.0,1.5,1017.53,1011.4,1024.92,1112.62,1.1,12.45,11.66,61.38,bank,banks - public sector,10.55,3.42,10.3,-0.06,0.09,1019.16,993.53,7.08,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ADANIPORTS,1844.0,0.36,1791.44,1808.6,1807.71,1898.44,0.34,31.9,31.67,55.71,transportation,miscellaneous,14.02,2.01,23.02,0.2,0.23,1778.29,1738.71,7.07,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,GABRIEL,1398.0,4.59,1304.48,1238.2,1296.94,1549.59,7.54,75.49,79.61,70.4,auto,auto ancillaries,38.69,7.79,43.38,0.4,0.06,1267.18,1224.07,6.87,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,BAJAJ-AUTO,10522.5,0.76,10193.47,10145.5,10093.22,11166.42,0.87,20.07,27.35,63.22,auto,automobiles - scooters and 3 - wheelers,20.45,4.25,16.82,0.02,0.14,10137.28,9860.87,6.22,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,FLUOROCHEM,4316.2,4.13,4037.99,3839.0,3990.95,4804.07,2.42,108.78,82.58,76.3,chemicals,chemicals,30.38,8.15,22.54,0.16,0.11,4043.13,3851.32,6.2,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ADANIENT,3183.3,0.72,3070.34,3133.0,3142.69,3244.22,0.42,-465.39,40.57,61.31,services,trading,28.92,1.29,41.64,0.36,0.24,3045.01,2947.0,6.17,2026-07-21,,,,,,,,,,,
