Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,High,Low,Initial_atr1.5sl,Max2,W rsi,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist,E_s50,Avg_true_range,Adr p - adr%
2026-04-07T15:09:25.474,NATIONALUM,411.95,1.01,399.35,376.05,376.2,465.57,0.63,11.85,12.19,62.99,metals & mining,aluminium and aluminium products,16.99,9.5,99.68,0.75,1.04,379.71,360.92,31.58,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,MCX,2544.2,-0.19,2435.3,2345.0,2394.16,2769.26,0.71,8.09,13.87,55.08,financials,miscellaneous,11.43,6.27,66.46,0.43,0.49,2328.86,2182.85,30.67,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,CCL,1145.1,2.52,1071.92,1024.3,1060.97,1271.29,1.94,38.02,39.61,67.89,fmcg,tea,16.62,7.93,23.9,0.25,0.28,1047.32,988.58,22.69,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,BSE,2960.9,-0.72,2859.54,2676.6,2796.97,3206.79,0.64,50.67,38.6,56.21,financials,miscellaneous,11.77,5.86,33.43,0.23,0.14,2718.56,2553.4,18.59,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,GALLANTT,640.25,13.4,560.61,521.0,534.43,798.97,40.62,38.48,28.52,72.36,metals & mining,steel - medium / small,12.06,19.8,4.57,-0.11,-0.02,564.12,525.77,17.14,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,SYRMA,809.5,0.12,784.0,765.2,762.19,880.46,0.29,37.97,53.09,54.37,consumer discretionary,electronics - components,13.41,6.21,-3.11,-0.09,0.1,739.83,696.08,15.71,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,DELHIVERY,441.7,1.33,421.6,411.45,412.49,485.51,1.16,208.35,213.68,58.6,transportation,miscellaneous,12.74,7.08,-5.95,-0.12,-0.01,408.9,390.29,15.55,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,GPIL,284.4,3.31,268.13,267.5,263.9,315.16,2.05,30.52,22.77,61.44,metals & mining,steel - medium / small,17.67,7.77,16.8,0.07,0.43,261.32,245.02,13.55,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,ADANIPOWER,164.16,0.55,158.37,149.2,154.55,178.57,1.1,31.81,9.04,68.75,power & utilities,power generation and supply,13.78,6.22,35.32,-0.01,0.33,151.51,143.52,13.27,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,EMCURE,1559.6,0.48,1513.32,1457.0,1536.33,1594.51,0.71,32.06,33.82,54.4,healthcare,pharmaceuticals - indian - bulk drugs & formln,13.63,1.51,13.79,0.0,0.11,1420.86,1327.1,10.81,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,SAIL,159.85,-0.37,155.06,145.01,146.27,180.22,0.67,43.91,23.77,56.38,metals & mining,steel - large,17.62,9.29,25.87,0.11,0.13,146.26,137.21,9.04,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,SCHNEIDER,933.0,0.73,883.96,832.95,862.17,1039.25,0.21,57.45,90.37,61.12,industrials,electric equipment,17.89,8.22,9.89,0.02,-0.02,842.01,781.02,8.76,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,NATCOPHARM,1086.55,5.64,987.84,960.3,961.63,1273.93,1.72,32.11,11.83,70.84,healthcare,pharmaceuticals - indian - bulk drugs & formln,24.98,12.99,27.12,0.23,0.03,992.39,931.71,7.43,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,WAAREEENER,3090.9,0.2,2985.67,2980.8,3098.7,3079.2,0.26,20.91,27.1,58.41,industrials,electric equipment,19.88,-0.25,-3.44,-0.17,-0.03,2867.42,2711.21,5.37,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,NMDC,81.79,0.48,79.01,75.61,75.9,90.63,0.43,10.22,10.37,56.97,metals & mining,mining / minerals / metals,13.53,7.76,12.26,-0.01,0.1,76.43,72.47,4.73,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,ONGC,286.95,1.81,274.4,280.0,271.49,310.14,0.76,9.01,9.35,63.26,energy,oil drilling / allied services,35.64,5.69,22.06,0.08,0.13,271.28,259.78,4.64,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,COALINDIA,462.6,0.66,446.19,440.5,449.79,481.81,0.83,9.96,9.48,59.7,metals & mining,mining / minerals / metals,22.78,2.85,18.39,0.12,0.16,436.1,417.43,4.26,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,KAJARIACER,997.9,0.85,954.32,911.5,917.97,1117.79,0.35,45.28,42.34,57.95,building materials,ceramics - tiles / sanitaryware,14.23,8.71,-19.64,-0.24,-0.23,904.66,843.48,2.32,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,LLOYDSME,1445.4,0.61,1394.54,1234.4,1285.31,1685.54,0.71,18.19,30.61,68.94,metals & mining,mining / minerals / metals,20.92,12.46,11.4,0.02,-0.09,1310.48,1222.89,2.27,2026-04-07,,,,,,,,,,,,,,,,,,,,
2026-04-07T15:09:25.474,NEULANDLAB,13200.0,-0.17,12772.34,11750.0,11736.26,15395.6,1.08,104.36,94.71,58.12,healthcare,pharmaceuticals - indian - bulk drugs,18.22,12.47,-9.66,-0.2,-0.1,11975.38,11406.92,2.2,2026-04-07,,,,,,,,,,,,,,,,,,,,
