Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,From52wh,3d range,5d
2026-07-20T05:44:51.582,ASAHIINDIA,881.2,2.75,-4.25,850.5,979.3,940.1,2.81,42.37,64.65,51.93,building materials,glass & glass products,19.96,2.6,-0.16,-0.05,-0.16,-0.08,1.66,899.95,7.57,-5.34,3.18,5.59,4.56,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,ZENTEC,1769.7,-0.51,-6.24,1786.24,1974.56,1895.0,0.65,126.05,82.24,53.13,aerospace & defence,miscellaneous,13.57,0.31,0.31,0.31,0.31,0.27,3.69,1813.4,5.27,-8.12,4.25,5.34,11.26,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,LLOYDSME,1865.4,4.35,-1.31,1736.61,1862.59,1877.9,1.13,17.42,26.72,45.12,metals & mining,mining / minerals / metals,17.83,-1.86,0.24,0.31,0.24,0.28,2.54,1755.0,3.63,-5.7,3.33,5.31,4.77,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,SSWL,266.21,15.02,-1.1,239.65,252.45,283.0,0.59,15.06,19.69,55.18,auto,auto ancillaries,30.3,-1.77,0.06,0.07,0.06,0.04,1.99,241.25,2.67,-6.57,3.55,4.99,11.71,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,USHAMART,494.95,1.31,-4.92,487.79,532.41,516.8,0.45,25.51,32.35,49.89,metals & mining,steel - medium / small,15.48,0.49,0.04,0.08,0.04,0.06,1.39,503.1,4.57,-5.21,3.14,4.96,5.85,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,DHANBANK,33.86,1.73,-4.26,32.85,36.65,35.35,0.69,7.7,12.97,52.22,bank,banks - private sector,24.24,2.03,0.22,0.26,0.22,0.23,2.54,33.89,5.79,-4.42,5.11,4.92,6.72,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,KARURVYSYA,309.8,2.08,-2.18,294.75,316.55,312.0,0.73,10.33,11.45,50.64,bank,banks - private sector,9.42,-0.06,0.04,0.2,0.04,0.16,2.9,297.05,3.7,-6.3,3.31,4.85,5.02,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,GUFICBIO,381.9,3.72,-3.59,377.62,407.18,407.0,0.42,43.8,59.67,56.29,healthcare,pharmaceuticals - indian - bulk drugs & formln,43.53,-0.3,0.09,0.1,0.09,0.09,2.72,382.0,3.91,-8.19,4.91,4.64,12.99,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,360ONE,1113.7,-0.11,-5.62,1088.75,1169.25,1133.6,2.06,34.25,35.78,48.0,financials,finance & investments,12.29,-0.6,-0.13,-0.07,-0.13,-0.1,2.26,1104.0,3.7,-5.73,3.0,4.42,5.24,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,HDFCAMC,2651.2,0.22,-6.29,2724.22,2798.18,2789.8,0.96,33.94,30.96,48.85,financials,finance & investments,13.91,-2.39,-0.03,-0.05,-0.03,-0.06,0.48,2748.0,1.36,-4.15,2.71,4.36,8.42,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
