Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float
2026-06-16T01:33:43.446,BELRISE,238.26,4.39,226.38,218.42,218.77,267.49,1.39,38.93,39.0,64.75,auto,auto ancillaries,13.04,8.91,54.35,0.37,0.43,217.79,206.18,31.91,2026-06-16,,,,
2026-06-16T01:33:43.446,APARINDS,15986.0,5.03,15065.54,13286.0,13790.14,19279.79,1.71,63.35,65.73,76.63,industrials,electric equipment,39.65,15.92,78.02,0.64,0.77,14492.79,13560.88,24.55,2026-06-16,,,,
2026-06-16T01:33:43.446,CHENNPETRO,1210.6,6.41,1131.9,1115.2,1158.2,1289.2,1.12,3.17,5.81,64.48,energy,refineries,24.05,4.52,17.12,0.21,0.55,1088.73,1012.53,20.58,2026-06-16,,,,
2026-06-16T01:33:43.446,CUMMINSIND,5754.0,2.36,5517.4,5541.0,5672.55,5876.18,0.73,61.4,67.54,60.24,industrials,engines,22.67,1.44,30.92,0.17,0.4,5429.36,5219.38,16.15,2026-06-16,,,,
2026-06-16T01:33:43.446,RBLBANK,372.65,1.86,360.59,345.95,351.84,403.86,1.4,23.53,25.99,68.32,bank,banks - private sector,24.19,5.91,16.9,0.1,0.31,349.44,334.53,15.91,2026-06-16,,,,
2026-06-16T01:33:43.446,MAHABANK,89.12,2.08,86.47,79.6,80.66,101.81,1.5,8.38,9.76,72.22,bank,banks - public sector,15.88,10.49,55.58,0.43,0.56,83.26,80.84,15.72,2026-06-16,,,,
2026-06-16T01:33:43.446,CRAFTSMAN,9337.0,4.7,8810.2,8683.5,8925.7,9953.96,0.78,45.02,53.13,64.9,auto,auto ancillaries,41.71,4.61,32.03,0.22,0.34,8657.51,8206.9,15.1,2026-06-16,,,,
2026-06-16T01:33:43.446,CEMPRO,1178.5,5.0,1115.04,1104.5,1141.73,1233.66,0.09,20.9,33.86,65.49,realty,construction,47.26,3.22,43.61,0.31,0.39,1041.82,939.31,14.78,2026-06-16,,,,
2026-06-16T01:33:43.446,BHARATFORG,2020.5,3.88,1915.7,1877.0,1902.11,2198.08,1.28,103.94,89.48,65.32,industrials,castings & forgings,10.31,6.22,45.49,0.32,0.62,1892.22,1811.5,14.69,2026-06-16,,,,
2026-06-16T01:33:43.446,USHAMART,494.95,1.74,481.47,473.45,491.26,500.49,0.54,25.51,32.35,55.79,metals & mining,steel - medium / small,21.07,0.75,5.99,0.06,0.07,461.63,443.49,13.72,2026-06-16,,,,
2026-06-16T01:33:43.446,ABCAPITAL,368.2,2.82,355.89,334.8,343.85,404.73,0.94,21.36,25.57,58.81,financials,finance & investments,12.52,7.08,11.83,-0.04,0.24,340.88,326.68,12.85,2026-06-16,,,,
2026-06-16T01:33:43.446,ABSLAMC,1146.1,4.08,1070.36,1041.0,1036.19,1310.96,2.17,44.22,33.94,65.24,financials,finance & investments,31.53,10.61,55.63,0.42,0.38,1050.43,991.08,11.49,2026-06-16,,,,
2026-06-16T01:33:43.446,NAM-INDIA,1140.1,4.68,1077.9,1037.9,1063.0,1255.75,1.16,47.19,47.43,60.05,financials,finance & investments,22.36,7.25,30.58,0.27,0.28,1046.94,987.97,10.98,2026-06-16,,,,
2026-06-16T01:33:43.446,IFCI,89.6,5.95,83.01,70.01,76.09,109.86,6.42,448.0,133.73,70.81,financials,finance - term-lending institutions,38.68,17.75,63.26,0.71,0.57,76.71,68.74,10.9,2026-06-16,,,,
2026-06-16T01:33:43.446,KEI,5460.5,1.69,5300.82,5118.0,5209.19,5837.46,0.61,45.9,56.82,62.06,industrials,cables - power,13.16,4.82,34.08,0.24,0.27,5126.16,4934.9,10.88,2026-06-16,,,,
2026-06-16T01:33:43.446,MOTHERSON,148.12,3.29,143.18,139.27,143.82,154.56,0.88,26.08,37.98,64.66,auto,auto ancillaries,38.79,2.99,40.6,0.14,0.36,138.19,132.53,10.77,2026-06-16,,,,
2026-06-16T01:33:43.446,SAMMAANCAP,180.75,3.63,174.1,167.27,181.63,179.43,0.63,-0.46,-2.07,62.82,financials,finance - housing,32.53,-0.49,2.26,0.15,0.28,165.55,155.87,10.12,2026-06-16,,,,
2026-06-16T01:33:43.446,ACMESOLAR,347.25,3.43,328.59,333.0,339.9,358.27,0.88,37.74,42.14,66.7,realty,engineering - turnkey services,40.91,2.16,36.44,0.41,0.2,314.59,294.85,9.07,2026-06-16,,,,
2026-06-16T01:33:43.446,CGCL,214.18,2.73,204.52,198.0,200.09,235.32,2.2,18.21,21.21,71.1,financials,finance & investments,34.69,7.04,7.51,0.07,0.1,199.02,195.38,9.03,2026-06-16,,,,
2026-06-16T01:33:43.446,CGPOWER,935.5,2.3,898.22,897.5,915.57,965.39,0.7,100.81,121.34,63.8,industrials,electric equipment,27.01,2.18,26.49,0.29,0.19,879.65,845.17,8.98,2026-06-16,,,,
2026-06-16T01:33:43.446,EICHERMOT,7624.5,4.27,7134.4,7050.0,7102.19,8407.97,1.35,34.4,37.92,67.11,auto,automobiles - motorcycles / mopeds,14.2,7.35,10.84,-0.03,0.06,7223.07,6942.0,8.96,2026-06-16,,,,
2026-06-16T01:33:43.446,RADICO,3592.0,1.42,3489.0,3436.5,3448.0,3808.0,0.71,66.97,79.54,62.66,fmcg,breweries & distilleries,24.83,4.18,8.78,0.03,0.17,3426.0,3349.7,8.68,2026-06-16,,,,
2026-06-16T01:33:43.446,AIAENG,4469.2,3.13,4275.05,4290.5,4532.39,4374.42,0.74,26.51,32.84,61.5,industrials,castings & forgings,27.61,-1.39,24.06,0.13,0.39,4174.4,4003.1,7.61,2026-06-16,,,,
2026-06-16T01:33:43.446,AEGISLOG,984.3,4.22,901.85,754.05,808.26,1248.37,3.48,21.05,38.46,83.91,services,trading,39.92,21.78,23.13,0.23,0.23,860.22,787.86,6.62,2026-06-16,,,,
2026-06-16T01:33:43.446,BANDHANBNK,210.88,3.07,203.84,193.51,201.3,225.25,1.02,15.88,27.75,61.2,bank,banks - private sector,21.69,4.76,35.93,0.34,0.3,194.4,186.1,5.96,2026-06-16,,,,
2026-06-16T01:33:43.446,MRPL,168.95,4.93,160.83,150.81,150.92,196.0,1.64,63.04,15.37,59.83,energy,refineries,18.04,11.95,-2.87,0.04,0.26,153.28,143.83,5.35,2026-06-16,,,,
2026-06-16T01:33:43.446,MINDACORP,662.55,3.98,628.18,627.1,652.22,678.04,3.0,31.31,43.28,72.63,auto,auto ancillaries,35.18,1.58,9.05,0.05,0.11,612.23,591.79,5.13,2026-06-16,,,,
2026-06-16T01:33:43.446,ANGELONE,352.3,3.77,335.99,321.65,333.04,381.19,1.41,25.02,5.09,62.77,financials,finance & investments,17.23,5.78,31.72,0.26,0.55,323.64,306.0,4.53,2026-06-16,,,,
2026-06-16T01:33:43.446,JINDALSAW,246.31,3.27,239.12,221.7,234.88,263.46,0.91,28.12,16.12,56.25,industrials,steel - large,17.77,4.87,43.56,0.42,0.13,220.46,206.31,4.13,2026-06-16,,,,
2026-06-16T01:33:43.446,PHOENIXLTD,1846.9,5.08,1731.37,1721.7,1712.35,2048.72,1.34,40.93,53.97,63.47,realty,construction,15.05,7.86,6.64,-0.02,0.14,1721.79,1642.75,4.09,2026-06-16,,,,
2026-06-16T01:33:43.446,NUVAMA,1660.9,4.58,1583.48,1497.6,1542.49,1838.51,1.66,28.07,9.62,68.71,financials,finance & investments,26.28,7.68,12.99,0.06,0.33,1529.91,1457.46,3.89,2026-06-16,,,,
2026-06-16T01:33:43.446,INDUSINDBK,933.2,1.73,904.64,881.75,889.97,998.04,1.28,30.58,81.79,57.93,bank,banks - private sector,14.04,4.86,7.98,0.03,0.22,876.29,853.91,3.71,2026-06-16,,,,
2026-06-16T01:33:43.446,YESBANK,23.78,3.3,22.79,22.18,22.81,25.23,1.31,17.49,21.42,63.81,bank,banks - private sector,22.13,4.24,8.79,-0.0,0.08,22.28,21.38,3.6,2026-06-16,,,,
2026-06-16T01:33:43.446,LT,4169.8,2.98,4047.4,3854.4,3904.95,4567.07,1.41,26.93,35.66,64.29,realty,engineering - turnkey services,14.02,6.78,5.46,-0.04,0.11,3958.57,3845.25,3.56,2026-06-16,,,,
2026-06-16T01:33:43.446,VBL,541.0,3.6,516.66,517.5,524.59,565.62,1.1,52.42,57.55,63.39,fmcg,food - processing - indian,17.52,3.13,17.85,0.04,0.16,511.63,491.96,3.49,2026-06-16,,,,
2026-06-16T01:33:43.446,CARBORUNIV,1065.9,1.22,1033.8,993.2,1008.13,1152.55,0.5,-286.53,103.39,59.86,industrials,abrasives and grinding wheels,37.4,5.73,19.91,0.13,0.08,981.97,935.61,3.27,2026-06-16,,,,
2026-06-16T01:33:43.446,ZFCVINDIA,15092.0,2.57,14539.28,14225.0,14284.44,16303.34,1.46,48.91,55.35,60.43,auto,auto ancillaries,13.6,5.65,17.41,-0.02,0.14,14266.68,13754.69,2.29,2026-06-16,,,,
2026-06-16T01:33:43.446,IDFCFIRSTB,78.33,2.39,75.69,72.05,72.6,86.93,1.09,51.53,41.44,77.05,bank,banks - private sector,24.28,7.9,-3.68,-0.11,0.08,73.73,71.04,2.26,2026-06-16,,,,
2026-06-16T01:33:43.446,AIIL,558.7,5.39,520.38,455.9,452.62,717.82,9.23,181.4,5.03,69.14,financials,finance & investments,19.15,23.44,0.0,-0.02,-0.1,489.55,460.59,2.12,2026-06-16,,,,
2026-06-16T01:33:43.446,MOTILALOFS,939.45,5.74,884.94,826.15,842.81,1084.4,1.93,-63.65,30.15,65.47,financials,finance & investments,21.47,11.47,-5.72,0.04,-0.01,862.23,810.41,2.08,2026-06-16,,,,
2026-06-16T01:33:43.446,THELEELA,458.2,6.61,424.34,402.1,407.64,534.03,5.71,11.71,27.0,70.25,services,hotels,14.84,12.4,6.01,0.08,0.03,420.86,407.41,1.82,2026-06-16,,,,
2026-06-16T01:33:43.446,MARUTI,13805.0,3.28,13249.6,12851.0,12882.24,15189.14,1.28,29.66,29.57,65.94,auto,automobiles - passenger cars,11.0,7.16,-12.05,-0.22,-0.18,13142.06,12800.85,1.74,2026-06-16,,,,
2026-06-16T01:33:43.446,TEGA,1781.7,1.43,1732.64,1680.0,1771.3,1797.3,0.64,78.42,86.62,56.39,industrials,engineering,24.97,0.59,-8.94,-0.13,-0.12,1629.93,1545.6,1.7,2026-06-16,,,,
2026-06-16T01:33:43.446,TBOTEK,1452.0,7.33,1361.42,1185.0,1213.46,1809.81,14.95,64.59,63.49,77.45,i.t,travel agencies,21.27,19.66,-9.47,-0.19,-0.09,1297.7,1227.87,1.66,2026-06-16,,,,
2026-06-16T01:33:43.446,TIINDIA,3226.1,2.68,3106.5,2962.0,3063.96,3469.31,0.72,182.47,98.0,61.51,industrials,steel - large,17.97,5.29,6.29,0.12,-0.03,2978.06,2824.83,1.63,2026-06-16,,,,
2026-06-16T01:33:43.446,360ONE,1130.8,3.1,1083.88,1031.3,1055.47,1243.79,1.75,39.71,37.49,60.65,financials,finance & investments,11.02,7.14,3.86,-0.08,0.07,1060.07,1010.92,1.62,2026-06-16,,,,
2026-06-16T01:33:43.446,TATATECH,771.9,1.43,741.96,725.85,762.39,786.17,0.69,38.36,57.35,66.88,i.t,computers - software - medium / small,49.72,1.25,10.92,0.08,0.1,716.86,677.68,1.21,2026-06-16,,,,
2026-06-16T01:33:43.446,CHOLAFIN,1653.6,5.45,1575.15,1449.3,1445.93,1965.1,2.22,21.39,26.7,62.55,financials,finance & investments,13.31,14.36,-3.78,-0.11,0.0,1519.99,1430.19,1.17,2026-06-16,,,,
2026-06-16T01:33:43.446,HYUNDAI,2030.1,2.01,1968.04,1863.0,1899.17,2226.49,0.37,32.85,30.37,69.2,auto,automobiles - passenger cars,23.16,6.89,-15.2,-0.2,-0.28,1909.36,1847.71,0.91,2026-06-16,,,,
2026-06-16T01:33:43.446,PIDILITIND,1571.0,2.31,1524.68,1465.0,1477.76,1710.86,1.73,69.02,51.22,73.04,chemicals,chemicals,22.54,6.31,6.01,-0.01,0.02,1497.29,1453.7,0.76,2026-06-16,,,,
2026-06-16T01:33:43.446,RAINBOW,1418.6,3.93,1346.52,1313.5,1340.78,1535.33,1.51,46.73,51.75,70.6,healthcare,healthcare,19.32,5.8,4.41,-0.05,-0.01,1341.32,1289.77,-0.07,2026-06-16,,,,
2026-06-16T01:33:43.446,JSWDULUX,3242.6,2.34,3138.06,3080.7,3112.08,3438.37,0.58,29.37,7.48,66.68,building materials,paints / varnishes,37.85,4.19,-2.02,-0.16,-0.08,3015.94,2878.34,-0.17,2026-06-16,,,,
2026-06-16T01:33:43.446,MMTC,70.19,3.13,66.84,62.9,64.39,78.89,3.49,20.89,27.1,61.25,services,trading,23.45,9.01,6.01,0.2,-0.01,62.74,59.15,-0.26,2026-06-16,,,,
2026-06-16T01:33:43.446,PETRONET,285.9,4.06,274.64,261.15,265.05,317.18,1.37,7.82,10.96,63.27,energy,miscellaneous,14.52,7.87,2.14,-0.03,0.02,269.13,261.65,-1.08,2026-06-16,,,,
2026-06-16T01:33:43.446,GAIL,175.41,2.88,168.67,165.01,165.93,189.64,1.57,19.4,15.21,67.44,energy,miscellaneous,16.29,5.72,-3.84,-0.04,-0.03,166.05,160.83,-1.52,2026-06-16,,,,
2026-06-16T01:33:43.446,AEGISVOPAK,231.69,6.35,215.36,184.32,190.55,293.4,2.49,93.42,108.77,71.68,transportation,miscellaneous,16.74,21.59,-14.04,-0.14,-0.08,206.11,189.24,-2.03,2026-06-16,,,,
2026-06-16T01:33:43.446,INDHOTEL,689.85,1.53,671.3,654.05,653.54,744.31,1.04,40.97,47.12,62.39,services,hotels,10.81,5.56,-2.4,-0.13,-0.09,653.81,635.82,-2.68,2026-06-16,,,,
