Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-03-18T12:49:38.261,CUPID,120.29,104.75,108.78,37.28,-0.02,-0.05,0.92,2026-03-18
2026-03-18T12:49:38.261,SMLMAH,58.32,61.09,35.75,25.99,-0.15,0.13,0.11,2026-03-18
2026-03-18T12:49:38.261,VENUSREM,47.07,26.03,34.29,6.85,0.23,0.15,1.0,2026-03-18
2026-03-18T12:49:38.261,LUMAXTECH,44.54,46.06,38.43,27.06,-0.01,0.09,0.48,2026-03-18
2026-03-18T12:49:38.261,MTARTECH,41.84,34.4,11.21,-1.39,-0.02,0.53,1.17,2026-03-18
2026-03-18T12:49:38.261,FORCEMOT,41.71,59.92,38.05,39.93,-0.12,0.24,0.15,2026-03-18
2026-03-18T12:49:38.261,MCX,40.96,22.63,15.32,10.81,0.15,0.32,0.73,2026-03-18
2026-03-18T12:49:38.261,PFOCUS,39.05,39.01,17.47,9.98,-0.04,0.25,0.39,2026-03-18
2026-03-18T12:49:38.261,SILVERIETF,36.93,36.24,25.83,12.36,0.04,0.29,0.94,2026-03-18
2026-03-18T12:49:38.261,TATSILV,36.89,35.91,25.75,12.48,0.05,0.29,0.93,2026-03-18
2026-03-18T12:49:38.261,SILVERADD,36.87,35.99,25.89,12.44,0.05,0.29,0.93,2026-03-18
2026-03-18T12:49:38.261,SILVER,36.81,36.11,25.87,12.6,0.04,0.28,0.93,2026-03-18
2026-03-18T12:49:38.261,SILVERAG,36.8,35.88,25.87,12.6,0.05,0.28,0.92,2026-03-18
2026-03-18T12:49:38.261,SBISILVER,36.79,36.11,25.98,12.53,0.05,0.28,0.92,2026-03-18
2026-03-18T12:49:38.261,SILVERBEES,36.68,35.89,25.69,12.42,0.04,0.29,0.93,2026-03-18
2026-03-18T12:49:38.261,SILVER1,36.66,35.67,25.9,12.31,0.05,0.28,0.94,2026-03-18
2026-03-18T12:49:38.261,AXISILVER,36.65,35.94,25.91,12.39,0.05,0.28,0.93,2026-03-18
2026-03-18T12:49:38.261,SILVERBETA,36.48,35.68,25.74,12.39,0.04,0.28,0.92,2026-03-18
2026-03-18T12:49:38.261,HDFCSILVER,36.42,35.76,25.81,12.47,0.04,0.28,0.92,2026-03-18
2026-03-18T12:49:38.261,IZMO,35.74,23.68,16.11,28.7,-0.07,-0.11,-0.16,2026-03-18
2026-03-18T12:49:38.261,ROSSTECH,34.07,22.16,10.79,NaN,0.0,0.07,-0.06,2026-03-18
2026-03-18T12:49:38.261,GVT&D,33.96,27.45,15.22,16.13,0.03,0.25,0.32,2026-03-18
2026-03-18T12:49:38.261,SBC,33.89,30.07,16.39,0.34,0.05,0.13,0.44,2026-03-18
2026-03-18T12:49:38.261,TDPOWERSYS,32.75,27.68,14.1,7.63,-0.02,0.22,0.53,2026-03-18
2026-03-18T12:49:38.261,STLTECH,31.92,13.66,-3.67,-0.73,0.25,0.98,0.58,2026-03-18
2026-03-18T12:49:38.261,JAYNECOIND,31.34,23.78,20.53,11.42,-0.05,0.02,0.07,2026-03-18
2026-03-18T12:49:38.261,BAJAJCON,28.92,26.02,5.71,-2.22,-0.05,0.39,0.55,2026-03-18
2026-03-18T12:49:38.261,KIRLOSENG,28.9,17.32,5.24,-7.07,0.03,0.19,0.64,2026-03-18
2026-03-18T12:49:38.261,BSE,27.94,10.11,12.4,28.24,0.07,0.15,0.35,2026-03-18
2026-03-18T12:49:38.261,PRECWIRE,27.79,21.98,7.7,-1.33,0.03,0.3,0.69,2026-03-18
2026-03-18T12:49:38.261,SAKAR,27.72,15.76,8.98,0.69,0.16,0.29,0.57,2026-03-18
2026-03-18T12:49:38.261,HINDCOPPER,27.69,34.54,8.65,-1.97,-0.17,0.3,0.71,2026-03-18
2026-03-18T12:49:38.261,TFCILTD,27.32,37.54,22.07,24.99,-0.13,0.02,-0.09,2026-03-18
2026-03-18T12:49:38.261,LUMAXIND,27.29,42.67,31.02,12.82,-0.17,-0.05,0.24,2026-03-18
2026-03-18T12:49:38.261,NETWEB,26.97,17.4,8.14,2.16,0.08,0.01,0.15,2026-03-18
2026-03-18T12:49:38.261,CENTUM,26.92,7.04,10.45,14.1,0.2,0.27,0.07,2026-03-18
2026-03-18T12:49:38.261,NATIONALUM,26.06,19.39,4.49,4.33,0.12,0.41,0.8,2026-03-18
2026-03-18T12:49:38.261,GMDCLTD,25.81,19.21,12.61,13.22,-0.0,0.08,0.0,2026-03-18
2026-03-18T12:49:38.261,ACUTAAS,25.06,16.48,13.05,22.37,0.12,0.34,0.56,2026-03-18
2026-03-18T12:49:38.261,KMEW,24.56,20.44,19.32,NaN,-0.07,-0.15,0.36,2026-03-18
2026-03-18T12:49:38.261,BHAGYANGR,23.36,20.83,10.34,-1.05,-0.06,0.09,0.58,2026-03-18
2026-03-18T12:49:38.261,IMFA,23.31,25.1,14.87,13.44,-0.1,-0.11,0.21,2026-03-18
2026-03-18T12:49:38.261,POWERINDIA,22.94,19.05,12.97,16.86,0.09,0.29,0.24,2026-03-18
2026-03-18T12:49:38.261,ABCAPITAL,22.57,23.29,19.73,9.24,-0.06,-0.06,0.12,2026-03-18
2026-03-18T12:49:38.261,THANGAMAYL,21.89,24.18,13.95,0.65,-0.06,0.1,0.62,2026-03-18
2026-03-18T12:49:38.261,JPOLYINVST,21.68,10.88,6.28,4.98,0.1,0.14,0.25,2026-03-18
2026-03-18T12:49:38.261,SMSPHARMA,21.65,12.95,7.76,-1.81,0.12,0.2,0.3,2026-03-18
2026-03-18T12:49:38.261,DATAPATTNS,21.61,9.41,1.91,0.52,0.15,0.26,0.19,2026-03-18
2026-03-18T12:49:38.261,GODAVARIB,21.15,4.29,-2.92,NaN,0.19,0.23,0.13,2026-03-18
2026-03-18T12:49:38.261,PRIVISCL,20.93,12.59,17.14,13.01,0.06,-0.03,0.27,2026-03-18
2026-03-18T12:49:38.261,SJS,20.89,19.42,10.93,11.67,-0.09,0.0,0.16,2026-03-18
2026-03-18T12:49:38.261,SOUTHWEST,20.86,9.99,9.11,0.01,0.1,0.07,0.46,2026-03-18
2026-03-18T12:49:38.261,SANSERA,20.8,17.87,3.92,-0.88,-0.0,0.27,0.55,2026-03-18
2026-03-18T12:49:38.261,LTF,20.14,22.49,25.16,10.56,-0.08,-0.1,0.14,2026-03-18
2026-03-18T12:49:38.261,RBLBANK,20.14,19.19,17.66,8.13,-0.05,-0.0,0.11,2026-03-18
2026-03-18T12:49:38.261,MIRCELECTR,19.96,12.9,3.65,3.49,-0.12,0.09,-0.11,2026-03-18
2026-03-18T12:49:38.261,AGIIL,19.79,9.51,12.61,30.28,0.21,0.13,0.3,2026-03-18
2026-03-18T12:49:38.261,CHENNPETRO,19.51,15.74,13.52,-1.91,0.14,0.11,0.35,2026-03-18
