Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date
2026-04-27T15:28:23.759,NETWEB,3929.9,2.75,3802.4,3760.0,3729.82,4230.02,0.57,75.93,121.65,66.93,i.t,computers - hardware,25.34,5.36,11.01,-0.03,0.77,3535.43,3339.48,36.55,2026-04-27
2026-04-27T15:28:23.759,HINDCOPPER,559.9,3.4,535.08,537.45,548.06,577.65,0.46,86.4,79.17,57.67,metals & mining,mining / minerals / metals,15.1,2.16,82.3,0.5,1.24,523.24,497.84,35.61,2026-04-27
2026-04-27T15:28:23.759,MCX,2830.5,2.52,2718.32,2756.0,2805.06,2868.67,0.46,9.0,15.02,63.94,financials,miscellaneous,16.46,0.91,76.07,0.45,0.74,2674.89,2562.19,31.01,2026-04-27
2026-04-27T15:28:23.759,APARINDS,12130.0,5.19,11403.28,11379.5,11583.97,12949.04,0.94,58.31,47.58,68.26,industrials,electric equipment,39.18,4.71,39.81,0.28,0.35,11009.98,10234.97,30.76,2026-04-27
2026-04-27T15:28:23.759,KIRLOSENG,1683.7,5.82,1572.9,1571.6,1596.33,1814.75,1.24,54.95,42.27,69.56,industrials,engines,25.81,5.47,76.66,0.73,0.79,1538.3,1442.24,29.12,2026-04-27
2026-04-27T15:28:23.759,ACUTAAS,2498.3,4.31,2340.63,2340.0,2311.22,2778.92,0.87,47.35,68.0,60.25,healthcare,pharmaceuticals - indian - bulk drugs,15.14,8.09,72.34,0.37,0.87,2290.91,2147.06,28.92,2026-04-27
2026-04-27T15:28:23.759,GMDCLTD,699.5,4.43,659.54,654.0,682.97,724.3,0.85,41.84,21.54,64.78,metals & mining,mining / minerals / metals,28.37,2.42,11.64,0.1,0.63,629.99,582.25,25.35,2026-04-27
2026-04-27T15:28:23.759,ADANIPOWER,218.09,2.44,210.31,201.87,204.91,237.86,1.43,42.27,11.79,87.05,power & utilities,power generation and supply,41.7,6.43,34.49,0.2,0.82,200.46,191.3,22.07,2026-04-27
2026-04-27T15:28:23.759,GALLANTT,872.25,5.26,812.42,817.95,852.29,902.2,0.31,52.42,41.85,70.86,metals & mining,steel - medium / small,48.46,2.34,31.31,0.52,0.09,760.32,685.62,19.41,2026-04-27
2026-04-27T15:28:23.759,BHARATFORG,1906.0,2.69,1828.09,1836.0,1837.19,2009.21,0.54,86.17,78.51,63.1,industrials,castings & forgings,21.07,3.75,52.36,0.37,0.59,1792.06,1720.01,17.65,2026-04-27
2026-04-27T15:28:23.759,CCL,1119.6,1.89,1072.12,1078.0,1083.27,1174.09,0.79,37.17,38.96,58.01,fmcg,tea,19.19,3.35,24.45,0.23,0.25,1040.72,988.16,17.61,2026-04-27
2026-04-27T15:28:23.759,LAURUSLABS,1124.65,1.01,1084.17,1091.1,1122.44,1127.96,0.78,60.21,71.19,60.58,healthcare,pharmaceuticals - indian - bulk drugs & formln,19.84,0.2,23.63,0.12,0.3,1067.2,1031.86,16.79,2026-04-27
2026-04-27T15:28:23.759,HINDALCO,1062.1,1.31,1030.96,1011.4,1033.09,1105.61,0.62,28.77,14.48,70.21,metals & mining,aluminium and aluminium products,24.42,2.81,42.5,0.19,0.5,1013.38,981.24,16.76,2026-04-27
2026-04-27T15:28:23.759,BSE,3542.4,2.8,3381.98,3412.2,3503.18,3601.22,0.47,60.62,44.6,69.52,financials,miscellaneous,28.2,1.12,66.96,0.32,0.4,3367.63,3238.66,16.05,2026-04-27
2026-04-27T15:28:23.759,ABCAPITAL,342.9,0.68,331.19,337.95,341.5,345.0,0.35,23.68,25.4,55.99,financials,finance & investments,16.07,0.41,17.84,0.03,0.19,321.94,312.26,15.15,2026-04-27
2026-04-27T15:28:23.759,GABRIEL,1013.5,4.16,956.92,967.0,992.46,1045.06,0.89,66.5,55.89,61.35,auto,auto ancillaries,21.95,2.12,-21.4,-0.25,-0.04,933.31,877.27,15.02,2026-04-27
2026-04-27T15:28:23.759,KEI,4889.8,1.53,4728.5,4750.0,4726.96,5134.06,0.77,49.75,53.47,63.86,industrials,cables - power,22.85,3.44,16.71,0.09,0.23,4540.41,4397.76,14.97,2026-04-27
2026-04-27T15:28:23.759,GLENMARK,2326.6,1.18,2245.08,2204.8,2220.42,2485.87,0.74,40.7,60.93,65.62,healthcare,pharmaceuticals - indian - bulk drugs & formln,13.89,4.78,15.37,0.18,0.09,2189.79,2100.48,14.44,2026-04-27
2026-04-27T15:28:23.759,SCI,290.0,0.59,283.32,284.61,283.86,299.21,0.53,8.34,11.85,65.22,transportation,shipping,29.98,2.16,30.0,-0.03,0.35,261.46,250.18,14.36,2026-04-27
2026-04-27T15:28:23.759,ADANIENSOL,1440.0,1.99,1360.53,1243.55,1290.66,1664.01,2.29,63.27,74.31,84.2,power & utilities,power generation and supply,34.85,11.57,55.67,0.41,0.75,1295.05,1199.54,13.97,2026-04-27
2026-04-27T15:28:23.759,SAIL,184.2,3.22,175.91,173.8,174.38,198.93,1.9,50.6,26.44,75.25,metals & mining,steel - large,29.74,5.63,34.23,0.31,0.44,173.93,167.36,13.58,2026-04-27
2026-04-27T15:28:23.759,KARURVYSYA,298.0,0.86,290.57,273.3,279.29,326.07,0.46,10.43,11.39,56.58,bank,banks - private sector,15.59,6.7,39.83,0.13,0.32,279.6,269.29,13.41,2026-04-27
