Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2,W rsi,Adr p - adr%,From52wh,3d range,5d
2026-07-21T02:50:23.688,CENTENKA,549.4,17.44,-2.77,518.82,540.48,622.0,0.22,7.62,11.93,52.49,textiles,textiles - manmade,39.27,-2.41,0.11,0.12,0.11,0.1,1.55,521.55,2.09,-5.21,2.89,4.47,5.81,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,VTL,631.05,1.28,-3.48,637.16,664.14,659.0,0.4,24.31,24.1,49.63,textiles,textiles - cotton/blended,10.58,-2.79,0.45,0.42,0.45,0.39,3.84,626.6,2.12,-7.09,3.32,4.43,6.61,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,GREENLAM,252.6,0.63,-6.17,256.64,265.26,266.65,0.26,39.72,114.82,53.78,building materials,miscellaneous,33.65,-2.99,-0.04,-0.01,-0.04,-0.02,3.31,252.6,1.68,-6.64,3.69,4.23,9.84,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,SKIPPER,544.9,3.33,-4.15,537.9,574.1,574.5,0.57,19.57,28.86,53.54,industrials,engineering,23.67,-0.93,0.23,0.03,0.23,0.01,3.36,537.95,3.36,-7.25,4.0,4.12,7.17,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,SAREGAMA,514.15,4.02,-3.38,474.07,522.93,518.55,0.19,33.3,46.2,55.51,media,entertainment / electronic media software,44.27,-5.55,0.25,0.05,0.25,0.01,6.03,470.15,5.15,-9.15,4.37,10.78,10.91,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,VSSL,308.8,5.34,-2.51,270.2,320.2,310.95,13.78,21.93,22.88,43.11,metals & mining,steel - medium / small,16.03,-1.24,-0.01,-0.05,-0.01,-0.11,6.57,277.0,9.25,-7.41,3.42,9.88,4.85,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,RRKABEL,2332.9,1.69,-5.41,2298.83,2450.77,2415.0,0.99,39.27,52.68,47.59,industrials,cables - power,30.08,-7.01,0.44,0.84,0.44,0.73,9.19,2175.0,3.3,-10.63,4.43,9.19,12.86,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,TATATECH,748.7,1.87,-3.78,689.49,832.11,775.0,1.22,42.06,55.25,48.74,i.t,computers - software - medium / small,21.96,0.41,0.06,0.07,0.06,0.01,7.31,709.0,10.34,-9.31,4.14,9.16,7.73,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,TFCILTD,82.74,7.04,-2.85,76.19,85.43,86.5,3.17,29.98,31.85,46.71,financials,finance - term-lending institutions,16.12,-2.55,0.11,0.09,0.11,0.02,8.31,74.61,6.06,-10.03,4.65,8.47,5.71,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,SPORTKING,197.55,9.02,0.19,174.58,210.48,209.9,2.48,19.37,21.0,56.76,textiles,textiles - spinning - synthetic / blended,29.22,2.4,1.09,0.82,1.09,0.73,7.36,179.33,10.28,-10.44,5.3,8.22,6.08,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
