Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-02-05T10:34:16.537,RBLBANK,19.77,24.33,21.66,5.22,-0.046,-0.062,0.151,2026-02-05
2026-02-05T10:34:16.537,SHRIRAMFIN,19.59,17.17,7.05,1.36,-0.012,0.251,0.586,2026-02-05
2026-02-05T10:34:16.537,GOLDBETA,19.4,17.83,12.27,9.69,0.101,0.247,0.502,2026-02-05
2026-02-05T10:34:16.537,UJJIVANSFB,19.36,16.92,9.89,0.603,0.111,0.263,0.471,2026-02-05
2026-02-05T10:34:16.537,EGOLD,19.31,17.48,11.9,9.49,0.102,0.25,0.5,2026-02-05
2026-02-05T10:34:16.537,TATAGOLD,19.3,17.52,11.94,9.53,0.103,0.252,0.502,2026-02-05
2026-02-05T10:34:16.537,QGOLDHALF,19.26,17.74,12.12,9.65,0.096,0.243,0.496,2026-02-05
2026-02-05T10:34:16.537,GOLDCASE,19.26,17.55,12.01,9.59,0.103,0.25,0.501,2026-02-05
2026-02-05T10:34:16.537,BSLGOLDETF,19.25,17.81,12.1,9.68,0.1,0.245,0.495,2026-02-05
2026-02-05T10:34:16.537,HDFCGOLD,19.24,17.58,12.1,9.42,0.1,0.244,0.496,2026-02-05
2026-02-05T10:34:16.537,SHREERAMA,19.23,11.77,23.4,10.94,0.023,0.146,0.552,2026-02-05
2026-02-05T10:34:16.537,GROWWGOLD,19.23,17.39,11.84,NaN,0.105,0.249,0.497,2026-02-05
2026-02-05T10:34:16.537,GOLD1,19.2,17.41,12.11,9.67,0.101,0.244,0.494,2026-02-05
2026-02-05T10:34:16.537,GOLDETF,19.16,17.54,12.24,9.54,0.098,0.238,0.495,2026-02-05
2026-02-05T10:34:16.537,SETFGOLD,19.15,17.49,12.05,9.55,0.1,0.244,0.494,2026-02-05
2026-02-05T10:34:16.537,GOLDIETF,19.15,17.65,12.05,9.59,0.099,0.246,0.497,2026-02-05
2026-02-05T10:34:16.537,GOLDADD,19.12,17.76,12.08,9.71,0.096,0.242,0.492,2026-02-05
2026-02-05T10:34:16.537,GOLDBEES,19.08,17.46,11.99,9.52,0.098,0.242,0.493,2026-02-05
2026-02-05T10:34:16.537,AXISGOLD,18.97,17.61,12.02,9.64,0.092,0.24,0.486,2026-02-05
2026-02-05T10:34:16.537,JKTYRE,17.84,9.93,4.9,-5.73,0.061,0.21,0.64,2026-02-05
2026-02-05T10:34:16.537,CUB,16.93,17.61,11.49,6.43,0.002,0.158,0.36,2026-02-05
2026-02-05T10:34:16.537,ACUTAAS,16.71,15.98,19.43,21.26,0.12,0.113,0.488,2026-02-05
2026-02-05T10:34:16.537,CHENNPETRO,16.52,6.88,14.27,-6.75,0.117,-0.076,0.389,2026-02-05
2026-02-05T10:34:16.537,FIEMIND,16.43,13.65,9.63,10.0,-0.013,0.102,0.184,2026-02-05
2026-02-05T10:34:16.537,BLACKBUCK,16.34,13.06,NaN,NaN,-0.086,-0.063,0.331,2026-02-05
2026-02-05T10:34:16.537,KARURVYSYA,15.86,11.7,7.48,3.66,0.146,0.277,0.434,2026-02-05
2026-02-05T10:34:16.537,INDIACEM,15.79,6.99,3.61,0.189,-0.006,0.165,0.254,2026-02-05
2026-02-05T10:34:16.537,PRECWIRE,15.71,13.69,6.08,1.65,-0.004,0.114,0.44,2026-02-05
2026-02-05T10:34:16.537,ANANDRATHI,15.66,14.94,15.4,10.03,-0.059,-0.046,0.118,2026-02-05
2026-02-05T10:34:16.537,CANBK,15.44,13.76,9.55,-0.847,-0.032,0.069,0.382,2026-02-05
2026-02-05T10:34:16.537,SANDUMA,15.33,20.28,10.44,-4.14,-0.169,0.075,0.433,2026-02-05
2026-02-05T10:34:16.537,DCBBANK,15.24,12.9,8.88,1.51,0.064,0.197,0.465,2026-02-05
