Timestamp,Symbol,Sl,Ts,%_change,Close,Scan_Date
2026-02-09T13:05:36.766,CNXNIFTYJUNIOR,67856.79,66132.47,0.784,69599.75,2026-02-09
2026-02-09T13:05:36.766,CNXMIDCAP,58620.75,57016.4,1.25,60246.7,2026-02-09
2026-02-09T13:05:36.766,NIFTYAUTO,26897.56,26421.07,0.774,27732.45,2026-02-09
2026-02-09T13:05:36.766,NIFTY100,26000.22,25753.32,0.598,26454.6,2026-02-09
2026-02-09T13:05:36.766,NIFTY,25416.69,25248.58,0.559,25837.25,2026-02-09
2026-02-09T13:05:36.766,NIFTYM150QLTY50,23282.69,22833.08,0.714,23780.2,2026-02-09
2026-02-09T13:05:36.766,NIFTY500,23175.77,22833.46,0.872,23638.25,2026-02-09
2026-02-09T13:05:36.766,NIFTYMIDCAP150,21617.9,21018.11,1.23,22195.8,2026-02-09
2026-02-09T13:05:36.766,NIFTY50TR2XLEV,20717.73,20399.65,1.12,21393.3,2026-02-09
2026-02-09T13:05:36.766,NIFTYMIDSMALLCAP400,19393.07,18878.8,1.54,19971.65,2026-02-09
2026-02-09T13:05:36.766,PTCIL,16772.08,16731.23,4.52,18230.0,2026-02-09
2026-02-09T13:05:36.766,NIFTYLARGEMID250,16402.81,16085.68,0.912,16750.25,2026-02-09
2026-02-09T13:05:36.766,NIFTY500MULTICAP,15908.72,15626.85,1.14,16280.2,2026-02-09
2026-02-09T13:05:36.766,NIFTYMULTIMFG,15386.87,15023.82,1.47,15857.4,2026-02-09
2026-02-09T13:05:36.766,NIFTY200,14160.26,13969.77,0.717,14418.6,2026-02-09
2026-02-09T13:05:36.766,NIFTYMULTIINFRA,13917.44,13533.48,1.2,14287.3,2026-02-09
2026-02-09T13:05:36.766,NIFTY50PR2XLEV,13818.32,13617.4,1.09,14268.9,2026-02-09
2026-02-09T13:05:36.766,NIFTYTOTALMKT,12993.06,12793.74,0.923,13259.7,2026-02-09
2026-02-09T13:05:36.766,NIFTYSMALLCAP50,8115.29,7974.88,2.11,8440.45,2026-02-09
2026-02-09T13:05:36.766,ALKEM,5531.05,5516.65,1.6,5775.0,2026-02-09
2026-02-09T13:05:36.766,NIFTY100ESG,5074.55,5033.79,0.534,5166.4,2026-02-09
2026-02-09T13:05:36.766,NIFTY100ESGSECLDR,4232.22,4219.52,0.296,4303.3,2026-02-09
2026-02-09T13:05:36.766,TORNTPHARM,3834.87,3803.2,1.37,3993.0,2026-02-09
2026-02-09T13:05:36.766,THANGAMAYL,3061.64,3323.83,7.34,3649.9,2026-02-09
2026-02-09T13:05:36.766,QNIFTY,2789.1,2737.32,0.346,2828.9,2026-02-09
2026-02-09T13:05:36.766,FIEMIND,2203.41,2087.94,1.43,2329.5,2026-02-09
2026-02-09T13:05:36.766,COROMANDEL,2183.83,2162.98,0.863,2289.9,2026-02-09
2026-02-09T13:05:36.766,CENTUM,2181.19,2208.37,1.81,2358.8,2026-02-09
2026-02-09T13:05:36.766,JBCHEPHARM,1802.96,1798.67,1.83,1883.4,2026-02-09
