Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-10T03:24:00.27,CUB,229.09,4.09,213.2,212.0,257.76,186.08,0.02,11.83,12.81,85.59,bank,banks - private sector,72.87,-11.12,8345.59,70.53,96.97,208.41,194.81,2479.41,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,ATHERENERG,1218.4,1.53,1167.67,1116.2,1103.12,1391.32,1.22,-116.26,-87.34,75.29,auto,automobiles - scooters and 3 - wheelers,51.35,10.45,80.57,0.62,0.54,1115.25,1062.39,58.53,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,KIRLOSENG,2424.8,6.49,2244.3,2220.0,2387.71,2480.44,1.24,55.56,61.36,67.15,industrials,engines,42.08,1.55,114.43,0.79,1.62,2157.81,1969.17,44.18,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,HFCL,214.68,-0.03,204.63,205.43,216.81,211.49,0.38,44.36,100.79,61.66,telecom,cables - telephone,45.98,-0.98,211.5,1.85,1.69,193.06,179.61,40.02,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,SYRMA,1441.0,5.47,1357.3,1332.2,1407.08,1491.89,2.18,68.1,85.52,67.25,consumer discretionary,electronics - components,48.99,2.41,93.91,0.77,0.75,1317.91,1233.59,33.67,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,ANANDRATHI,2095.6,1.74,2013.9,2009.8,2028.24,2196.64,0.64,42.05,43.78,75.51,financials,finance & investments,35.62,3.32,44.65,0.23,0.27,1956.78,1877.06,22.05,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,WELCORP,1601.9,4.75,1494.5,1408.5,1486.41,1775.14,2.84,28.52,26.16,68.84,industrials,steel - large,36.3,7.77,93.88,0.87,0.82,1468.56,1385.36,19.68,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,CEMPRO,1554.1,4.3,1463.34,1400.3,1413.52,1764.97,0.31,27.55,44.65,78.45,realty,construction,58.74,9.95,89.42,0.9,0.88,1385.87,1270.1,19.41,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,GRANULES,882.05,2.62,840.4,826.05,819.25,976.24,1.1,26.79,36.09,76.23,healthcare,pharmaceuticals - indian - bulk drugs & formln,32.56,7.67,57.41,0.33,0.5,825.99,799.35,19.35,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,AEGISLOG,1264.1,1.5,1171.3,1195.2,1317.34,1184.24,1.12,27.03,49.4,67.71,services,trading,69.3,-4.04,70.72,0.56,0.52,1065.12,950.98,17.55,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,BHARATFORG,2130.6,1.43,2043.69,2083.0,2142.05,2113.43,0.42,109.6,94.36,60.72,industrials,castings & forgings,28.24,-0.53,51.56,0.33,0.66,2008.88,1927.19,16.66,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,NEULANDLAB,19542.0,3.46,18531.8,18520.0,18631.35,20907.98,1.51,29.47,68.88,78.12,healthcare,pharmaceuticals - indian - bulk drugs,33.01,4.89,15.72,0.24,0.16,18152.03,17656.55,14.65,2026-07-10,,,,,,,,,,,
2026-07-10T03:24:00.27,NYKAA,324.05,1.92,313.45,305.6,316.74,335.02,0.91,300.05,469.64,75.43,i.t,trading,42.82,2.31,27.47,0.11,0.22,306.26,294.76,13.15,2026-07-10,,,,,,,,,,,
