Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float
2026-06-25T14:51:20.997,ATHERENERG,998.9,0.89,968.44,954.0,988.73,1014.15,0.33,-95.31,-70.97,54.57,auto,automobiles - scooters and 3 - wheelers,36.61,1.03,48.6,0.3,0.51,924.29,883.44,45.22,2026-06-25,,,,
2026-06-25T14:51:20.997,HFCL,215.0,5.0,205.32,195.0,196.67,242.49,0.38,44.42,96.14,72.07,telecom,cables - telephone,52.8,9.32,202.36,1.99,1.84,192.61,175.81,42.16,2026-06-25,,,,
2026-06-25T14:51:20.997,SYRMA,1443.4,1.31,1399.44,1312.5,1359.92,1568.61,1.7,68.21,84.55,82.96,consumer discretionary,electronics - components,56.97,6.14,76.3,0.81,0.65,1321.03,1303.54,39.1,2026-06-25,,,,
2026-06-25T14:51:20.997,RRKABEL,2493.3,2.27,2352.1,2261.1,2302.37,2779.7,0.99,41.97,56.01,82.37,industrials,cables - power,45.31,8.29,85.04,0.51,0.92,2306.3,2191.64,22.45,2026-06-25,,,,
2026-06-25T14:51:20.997,BHARATFORG,2144.4,1.02,2080.44,2019.9,2034.7,2308.95,0.82,110.31,94.01,71.16,industrials,castings & forgings,20.96,5.39,51.9,0.35,0.74,2035.51,1975.45,16.31,2026-06-25,,,,
2026-06-25T14:51:20.997,WELCORP,1444.8,2.76,1381.9,1386.1,1391.38,1524.93,1.05,25.73,22.96,64.09,industrials,steel - large,33.94,3.84,70.21,0.64,0.63,1368.12,1310.81,15.04,2026-06-25,,,,
2026-06-25T14:51:20.997,SHRIRAMFIN,1033.75,1.45,1009.4,980.55,975.7,1120.83,1.19,16.09,19.12,66.12,financials,finance & investments,19.99,5.95,24.87,-0.01,0.5,974.45,948.23,14.04,2026-06-25,,,,
2026-06-25T14:51:20.997,LTF,299.8,1.1,293.02,282.4,280.72,328.42,1.32,23.28,24.88,63.31,financials,finance & investments,17.78,6.8,2.73,-0.09,0.13,281.72,276.17,12.75,2026-06-25,,,,
2026-06-25T14:51:20.997,CARTRADE,2676.4,2.79,2545.35,2538.0,2597.75,2794.37,0.7,49.56,55.65,75.25,consumer discretionary,miscellaneous,52.57,3.03,-12.63,-0.12,0.04,2401.94,2255.7,12.32,2026-06-25,,,,
2026-06-25T14:51:20.997,MOTHERSON,151.81,5.0,141.14,141.76,144.47,162.81,2.69,26.73,37.07,66.16,auto,auto ancillaries,35.37,5.08,39.37,0.16,0.44,141.52,137.24,12.31,2026-06-25,,,,
2026-06-25T14:51:20.997,AEGISLOG,1128.5,6.17,1036.06,994.05,1035.19,1268.46,2.17,24.13,41.54,87.49,services,trading,58.44,9.01,48.15,0.42,0.35,1030.08,965.46,11.48,2026-06-25,,,,
2026-06-25T14:51:20.997,AUROPHARMA,1556.5,1.69,1501.36,1446.4,1446.73,1721.15,1.2,24.54,25.37,67.21,healthcare,pharmaceuticals - indian - bulk drugs & formln,19.08,7.59,30.4,0.18,0.41,1481.46,1433.68,10.14,2026-06-25,,,,
2026-06-25T14:51:20.997,VIJAYA,1358.4,3.49,1295.56,1280.1,1285.89,1467.17,1.52,72.88,77.99,59.87,healthcare,healthcare,38.7,5.64,32.07,0.23,0.33,1246.75,1179.91,10.06,2026-06-25,,,,
2026-06-25T14:51:20.997,RADICO,3805.8,1.28,3682.84,3686.0,3626.06,4075.4,0.58,70.95,83.21,70.19,fmcg,breweries & distilleries,32.69,4.96,16.89,0.07,0.23,3642.86,3547.05,10.02,2026-06-25,,,,
2026-06-25T14:51:20.997,TORNTPHARM,4516.1,0.26,4382.95,4377.0,4422.16,4657.01,0.28,98.09,70.37,56.88,healthcare,pharmaceuticals - indian - formulations,18.12,2.12,21.46,0.09,0.22,4330.02,4224.15,9.26,2026-06-25,,,,
2026-06-25T14:51:20.997,ASHOKLEY,160.24,3.44,153.38,150.3,149.91,175.73,1.99,18.21,22.29,55.99,auto,automobiles - lcvs / hcvs,16.27,6.89,11.07,-0.17,0.11,149.87,144.06,8.01,2026-06-25,,,,
2026-06-25T14:51:20.997,STARHEALTH,576.8,0.44,557.67,558.55,549.85,617.23,0.52,76.3,60.64,71.34,financials,finance & investments,41.87,4.9,16.1,0.15,0.16,537.37,514.9,7.85,2026-06-25,,,,
2026-06-25T14:51:20.997,JBCHEPHARM,2244.0,0.49,2176.29,2163.1,2191.74,2322.4,0.4,88.35,49.34,61.59,healthcare,pharmaceuticals - indian - bulk drugs & formln,25.4,2.38,27.78,0.15,0.29,2149.55,2093.71,7.6,2026-06-25,,,,
2026-06-25T14:51:20.997,SBIN,1045.5,1.05,1017.78,1020.5,1027.96,1071.82,0.82,12.28,11.38,62.29,bank,banks - public sector,16.12,1.71,7.73,-0.01,0.18,1007.13,988.25,7.34,2026-06-25,,,,
2026-06-25T14:51:20.997,MINDACORP,674.0,0.81,656.6,642.95,663.31,690.04,1.05,31.85,43.67,71.25,auto,auto ancillaries,37.72,1.61,15.01,0.04,0.12,631.76,617.09,6.34,2026-06-25,,,,
2026-06-25T14:51:20.997,NUVAMA,1748.9,0.73,1690.5,1688.0,1687.55,1840.92,0.74,29.56,10.05,71.68,financials,finance & investments,37.31,3.64,24.03,0.11,0.21,1639.46,1588.37,5.87,2026-06-25,,,,
2026-06-25T14:51:20.997,TVSMOTOR,3575.0,3.91,3382.96,3375.7,3377.59,3871.12,1.61,55.03,54.16,61.31,auto,automobiles - motorcycles / mopeds,14.31,5.84,3.89,-0.11,-0.01,3396.46,3289.85,5.85,2026-06-25,,,,
2026-06-25T14:51:20.997,APOLLOHOSP,8590.0,0.19,8364.79,8400.0,8457.33,8789.01,0.7,58.32,63.48,67.42,healthcare,healthcare,18.21,1.57,16.81,0.12,0.08,8334.29,8246.01,5.38,2026-06-25,,,,
2026-06-25T14:51:20.997,BOSCHLTD,40510.0,0.36,39645.9,39840.0,39575.44,41911.84,1.2,52.41,42.93,70.18,auto,auto ancillaries,28.77,2.36,11.91,0.03,0.02,38935.32,38629.32,5.3,2026-06-25,,,,
2026-06-25T14:51:20.997,M&MFIN,324.15,4.28,304.49,288.7,284.51,383.61,2.19,12.01,14.94,66.21,financials,finance & investments,14.88,13.93,-9.23,-0.23,0.13,302.0,286.24,4.86,2026-06-25,,,,
2026-06-25T14:51:20.997,MARICO,825.25,0.71,801.88,805.4,801.04,861.56,0.72,67.87,60.12,56.38,fmcg,solvent extraction,19.91,3.02,12.23,0.03,0.12,791.46,773.77,4.69,2026-06-25,,,,
2026-06-25T14:51:20.997,OFSS,10997.5,5.05,10202.78,9127.5,9462.39,13300.16,2.52,28.43,34.49,74.38,i.t,computers - software - large,24.65,16.22,35.0,0.3,0.16,10173.77,9593.47,4.16,2026-06-25,,,,
2026-06-25T14:51:20.997,LT,4220.8,0.94,4103.36,4161.6,4122.92,4367.62,0.93,27.26,35.77,65.05,realty,engineering - turnkey services,21.43,2.37,5.18,-0.04,0.09,4074.22,4015.79,4.13,2026-06-25,,,,
2026-06-25T14:51:20.997,LALPATHLAB,1685.3,1.52,1626.8,1622.4,1605.76,1804.61,0.3,53.6,35.16,64.02,healthcare,healthcare,29.0,4.95,8.01,0.1,0.06,1584.47,1522.14,3.55,2026-06-25,,,,
2026-06-25T14:51:20.997,AADHARHFC,517.65,2.24,498.04,482.05,482.23,570.78,5.33,18.07,20.0,64.02,financials,finance - housing,21.38,7.34,6.8,-0.01,-0.03,474.27,466.09,3.48,2026-06-25,,,,
2026-06-25T14:51:20.997,MOTILALOFS,946.3,1.19,914.73,928.1,922.43,982.11,0.66,-64.11,30.01,63.85,financials,finance & investments,30.5,2.59,0.0,-0.01,-0.01,898.78,871.84,3.42,2026-06-25,,,,
2026-06-25T14:51:20.997,TBOTEK,1460.8,1.49,1406.3,1421.0,1430.98,1505.53,0.44,64.98,62.94,68.28,i.t,travel agencies,37.93,2.08,-15.54,-0.21,-0.09,1351.86,1281.16,2.85,2026-06-25,,,,
2026-06-25T14:51:20.997,PIDILITIND,1596.9,1.13,1564.08,1555.0,1562.68,1648.23,1.0,70.16,51.48,73.63,chemicals,chemicals,34.66,2.19,9.16,0.01,0.03,1533.78,1510.24,1.83,2026-06-25,,,,
2026-06-25T14:51:20.997,HONAUT,39420.0,1.04,38220.0,36955.0,37441.61,42387.58,0.34,54.57,65.71,74.41,consumer discretionary,electronics - components,47.06,5.28,8.7,0.09,0.05,37325.67,35984.92,1.39,2026-06-25,,,,
2026-06-25T14:51:20.997,HDFCAMC,2656.9,1.21,2586.02,2621.0,2563.17,2797.49,0.64,45.68,25.98,52.43,financials,finance & investments,17.05,3.66,-1.04,-0.1,-0.06,2522.03,2455.77,1.18,2026-06-25,,,,
2026-06-25T14:51:20.997,POONAWALLA,439.05,2.55,419.59,400.7,401.99,494.64,0.87,34.85,63.24,68.13,financials,finance & investments,22.61,9.22,-3.72,-0.14,-0.19,411.56,392.89,0.91,2026-06-25,,,,
2026-06-25T14:51:20.997,UNOMINDA,1135.0,2.85,1082.31,1089.0,1076.79,1222.32,1.4,50.22,53.08,57.17,auto,auto ancillaries,12.52,5.41,-11.25,-0.19,-0.16,1066.04,1033.22,0.79,2026-06-25,,,,
2026-06-25T14:51:20.997,DRREDDY,1349.0,1.55,1305.26,1261.0,1260.35,1481.97,0.52,127.26,26.36,69.08,healthcare,pharmaceuticals - indian - bulk drugs & formln,17.97,7.03,10.03,-0.03,0.06,1290.31,1260.28,0.71,2026-06-25,,,,
2026-06-25T14:51:20.997,INDIGO,5440.5,4.48,5159.7,4945.9,4942.6,6187.35,3.64,-20.73,-84.15,78.22,transportation,transport - airlines,32.37,10.07,-6.29,-0.03,-0.07,5120.8,4898.52,0.57,2026-06-25,,,,
2026-06-25T14:51:20.997,CHOICEIN,724.4,2.11,700.75,705.0,696.14,766.78,1.62,59.38,62.95,62.66,financials,finance & investments,17.7,4.06,-7.41,-0.17,-0.12,684.55,670.22,0.45,2026-06-25,,,,
2026-06-25T14:51:20.997,M&M,3190.1,4.1,3024.28,3025.0,3020.02,3445.22,1.33,19.09,20.02,59.42,auto,automobiles - passenger cars,14.69,5.63,-13.55,-0.19,-0.1,3026.71,2922.57,0.42,2026-06-25,,,,
2026-06-25T14:51:20.997,ULTRACEMCO,11526.0,0.84,11241.58,11266.0,11079.7,12195.45,0.79,28.41,41.17,55.92,building materials,cement - north india,15.27,4.03,-0.5,-0.09,-0.07,11125.52,10973.15,-0.14,2026-06-25,,,,
2026-06-25T14:51:20.997,ICICIBANK,1385.3,0.85,1352.5,1331.5,1340.41,1452.64,0.74,16.8,18.1,70.37,bank,banks - private sector,28.64,3.35,1.24,-0.06,-0.02,1329.88,1307.02,-0.43,2026-06-25,,,,
2026-06-25T14:51:20.997,BERGEPAINT,537.1,1.23,522.59,504.8,516.81,567.54,0.71,46.79,54.87,59.1,building materials,paints / varnishes,26.83,3.93,-7.25,-0.09,-0.01,496.16,480.0,-0.62,2026-06-25,,,,
