Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date,From52wh,3d range,5d,Sector,Industry,Free float
2026-08-19T10:04:16.82,CUPID,166.41,172.72,128.74,106.05,0.32,1.33,2.25,2026-08-19,,,,,,
2026-08-19T10:04:16.82,STLTECH,97.33,100.74,110.43,14.12,0.18,0.54,3.02,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MTARTECH,81.4,61.21,95.98,32.11,0.25,-0.07,0.96,2026-08-19,,,,,,
2026-08-19T10:04:16.82,BHAGYANGR,76.44,83.7,68.61,22.5,0.04,0.36,1.45,2026-08-19,,,,,,
2026-08-19T10:04:16.82,BLISSGVS,57.3,50.65,32.16,10.56,0.22,0.97,1.62,2026-08-19,,,,,,
2026-08-19T10:04:16.82,ATHERENERG,55.7,62.87,44.84,NaN,0.14,0.61,1.02,2026-08-19,,,,,,
2026-08-19T10:04:16.82,INDSWFTLAB,55.13,31.54,16.37,9.45,0.41,1.46,1.47,2026-08-19,,,,,,
2026-08-19T10:04:16.82,KMEW,51.9,44.47,40.92,19.73,0.12,0.33,0.59,2026-08-19,,,,,,
2026-08-19T10:04:16.82,HFCL,51.76,43.5,17.13,-6.62,0.04,0.63,2.16,2026-08-19,,,,,,
2026-08-19T10:04:16.82,E2E,49.57,18.29,6.54,1.91,0.43,0.92,1.51,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SANSERA,49.2,34.68,24.85,19.19,0.19,0.58,0.76,2026-08-19,,,,,,
2026-08-19T10:04:16.82,RPTECH,48.44,35.43,20.59,3.36,0.14,0.56,1.28,2026-08-19,,,,,,
2026-08-19T10:04:16.82,TDPOWERSYS,46.7,30.42,38.24,27.69,0.37,0.26,0.83,2026-08-19,,,,,,
2026-08-19T10:04:16.82,CPPLUS,46.45,NaN,NaN,NaN,-0.06,0.36,1.11,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SKYGOLD,44.76,26.13,11.15,-0.09,0.2,0.68,1.13,2026-08-19,,,,,,
2026-08-19T10:04:16.82,YASHO,43.76,16.79,3.94,-9.02,0.52,1.32,2.46,2026-08-19,,,,,,
2026-08-19T10:04:16.82,AEROFLEX,39.62,28.54,32.6,-4.68,0.15,0.22,1.47,2026-08-19,,,,,,
2026-08-19T10:04:16.82,ACUTAAS,36.33,51.08,35.52,15.71,-0.1,0.16,0.59,2026-08-19,,,,,,
2026-08-19T10:04:16.82,RPEL,33.54,20.68,7.61,3.55,0.21,0.69,1.05,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MACPOWER,33.27,9.18,7.33,-5.99,0.43,0.66,1.16,2026-08-19,,,,,,
2026-08-19T10:04:16.82,PRECWIRE,33.07,21.35,37.03,18.96,0.21,0.1,0.56,2026-08-19,,,,,,
2026-08-19T10:04:16.82,HAPPYFORGE,31.92,17.95,15.04,7.79,0.4,0.63,0.75,2026-08-19,,,,,,
2026-08-19T10:04:16.82,PARAS,31.9,13.8,1.53,5.56,0.23,0.98,1.31,2026-08-19,,,,,,
2026-08-19T10:04:16.82,UNIVCABLES,31.52,14.13,18.05,2.04,0.4,0.68,1.41,2026-08-19,,,,,,
2026-08-19T10:04:16.82,WELCORP,31.32,20.6,16.67,2.93,0.21,0.5,1.37,2026-08-19,,,,,,
2026-08-19T10:04:16.82,AVALON,31.28,23.42,17.98,12.24,0.19,0.42,0.92,2026-08-19,,,,,,
2026-08-19T10:04:16.82,PAISALO,30.73,31.69,11.55,-4.03,-0.05,0.4,0.97,2026-08-19,,,,,,
2026-08-19T10:04:16.82,RRKABEL,30.57,19.28,12.88,3.86,0.19,0.42,0.96,2026-08-19,,,,,,
2026-08-19T10:04:16.82,KIRLOSENG,30.53,35.48,29.04,15.05,-0.05,0.27,0.58,2026-08-19,,,,,,
2026-08-19T10:04:16.82,TFCILTD,30.27,10.0,16.63,35.96,0.55,0.75,0.74,2026-08-19,,,,,,
2026-08-19T10:04:16.82,NETWEB,30.12,24.38,27.72,20.33,0.2,0.33,0.6,2026-08-19,,,,,,
2026-08-19T10:04:16.82,RISHABH,30.08,27.89,21.54,12.85,0.03,0.3,0.54,2026-08-19,,,,,,
2026-08-19T10:04:16.82,HINDCOPPER,29.7,19.17,33.66,39.43,0.14,0.01,-0.1,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MMFL,29.53,14.26,7.98,4.37,0.21,0.49,0.42,2026-08-19,,,,,,
2026-08-19T10:04:16.82,AETHER,29.43,21.44,11.27,4.38,0.12,0.5,0.68,2026-08-19,,,,,,
2026-08-19T10:04:16.82,LAURUSLABS,27.37,24.15,27.87,15.19,0.13,0.33,0.77,2026-08-19,,,,,,
2026-08-19T10:04:16.82,CHENNPETRO,26.47,17.88,14.46,15.68,0.16,0.44,0.62,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MARINE,26.03,7.34,2.53,-2.76,0.42,0.65,0.97,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SBC,25.2,35.67,36.33,30.07,-0.07,0.1,0.28,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SYRMA,25.06,24.04,19.92,16.14,0.09,0.49,0.71,2026-08-19,,,,,,
2026-08-19T10:04:16.82,BAJAJCON,24.72,29.68,52.31,26.19,-0.09,-0.13,0.27,2026-08-19,,,,,,
2026-08-19T10:04:16.82,IDEA,24.06,20.15,23.44,7.47,0.04,0.03,0.22,2026-08-19,,,,,,
2026-08-19T10:04:16.82,APOLLO,23.64,24.94,38.49,21.12,-0.01,0.09,0.61,2026-08-19,,,,,,
2026-08-19T10:04:16.82,FCL,22.68,13.11,9.0,-5.12,0.12,0.32,0.88,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MBAPL,22.66,17.7,19.08,14.1,0.13,0.49,0.73,2026-08-19,,,,,,
2026-08-19T10:04:16.82,AEGISLOG,22.64,18.93,-2.63,-2.63,0.04,0.93,0.93,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SHILPAMED,22.62,12.67,8.11,-3.06,0.26,0.69,1.49,2026-08-19,,,,,,
2026-08-19T10:04:16.82,APARINDS,22.53,15.13,18.86,7.68,0.21,0.32,0.75,2026-08-19,,,,,,
2026-08-19T10:04:16.82,TMB,22.41,20.78,13.76,12.34,0.03,0.22,0.28,2026-08-19,,,,,,
2026-08-19T10:04:16.82,NATIONALUM,22.38,18.18,31.51,22.48,0.11,-0.05,0.03,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MOREPENLAB,22.05,-0.72,-6.26,-9.87,0.54,1.05,1.24,2026-08-19,,,,,,
2026-08-19T10:04:16.82,ADANIENSOL,21.98,24.1,13.38,7.2,-0.1,0.16,0.53,2026-08-19,,,,,,
2026-08-19T10:04:16.82,GNA,21.88,14.58,2.85,6.92,0.13,0.57,0.3,2026-08-19,,,,,,
2026-08-19T10:04:16.82,AZAD,21.61,12.25,4.49,1.58,0.18,0.4,0.75,2026-08-19,,,,,,
2026-08-19T10:04:16.82,PREMIERPOL,21.16,10.14,-0.68,-4.3,0.21,0.56,0.64,2026-08-19,,,,,,
2026-08-19T10:04:16.82,KTKBANK,20.96,12.51,8.03,2.3,0.14,0.21,0.59,2026-08-19,,,,,,
2026-08-19T10:04:16.82,IDEAFORGE,20.71,14.12,11.12,-2.69,-0.01,0.12,0.99,2026-08-19,,,,,,
2026-08-19T10:04:16.82,KRN,20.55,10.84,7.56,-3.94,0.25,0.49,1.13,2026-08-19,,,,,,
2026-08-19T10:04:16.82,DATAPATTNS,20.51,12.62,12.65,7.91,0.11,0.23,0.7,2026-08-19,,,,,,
2026-08-19T10:04:16.82,PRICOLLTD,20.45,7.33,4.25,5.62,0.32,0.49,0.3,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MCX,20.4,17.25,40.92,24.44,0.08,-0.12,0.24,2026-08-19,,,,,,
2026-08-19T10:04:16.82,AVADHSUGAR,20.21,3.66,-2.54,-5.77,0.37,0.59,1.19,2026-08-19,,,,,,
2026-08-19T10:04:16.82,MOTHERSON,20.19,10.75,10.1,11.2,0.18,0.29,0.29,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SONACOMS,20.07,16.07,3.76,0.91,0.12,0.39,0.54,2026-08-19,,,,,,
2026-08-19T10:04:16.82,BHEL,19.94,15.52,18.04,5.41,0.01,0.02,0.6,2026-08-19,,,,,,
2026-08-19T10:04:16.82,RATNAVEER,19.9,4.98,7.31,-1.59,0.43,0.38,0.66,2026-08-19,,,,,,
2026-08-19T10:04:16.82,EBGNG,19.59,NaN,NaN,NaN,0.05,0.34,0.73,2026-08-19,,,,,,
2026-08-19T10:04:16.82,PFOCUS,19.47,19.61,35.42,34.99,-0.04,0.09,0.06,2026-08-19,,,,,,
2026-08-19T10:04:16.82,SGFIN,19.26,NaN,NaN,NaN,0.02,0.23,0.66,2026-08-19,,,,,,
2026-08-19T10:04:16.82,ROSSTECH,19.21,23.17,36.97,21.59,0.07,0.19,0.51,2026-08-19,,,,,,
2026-08-19T10:04:16.82,NRBBEARING,19.08,10.72,10.78,3.79,0.21,0.37,0.69,2026-08-19,,,,,,
2026-08-19T10:04:16.82,NITINSPIN,18.98,11.87,6.84,-4.22,0.08,0.19,0.79,2026-08-19,,,,,,
2026-08-19T10:04:16.82,HONASA,18.83,13.57,9.46,7.49,0.05,0.33,0.59,2026-08-19,,,,,,
2026-08-19T10:04:16.82,ICIL,18.79,10.16,-1.26,-0.3,0.08,0.4,0.41,2026-08-19,,,,,,
2026-08-19T10:04:16.82,FEDERALBNK,18.64,17.43,11.33,13.46,0.0,0.23,0.24,2026-08-19,,,,,,
2026-08-19T10:04:16.82,ASTRAMICRO,18.37,18.43,5.96,5.82,-0.01,0.5,0.9,2026-08-19,,,,,,
2026-08-19T10:04:16.82,IOLCP,18.33,16.2,15.67,-0.1,0.04,0.32,1.11,2026-08-19,,,,,,
2026-08-19T10:04:16.82,CYIENTDLM,18.24,7.62,-2.3,-5.49,0.17,0.77,1.0,2026-08-19,,,,,,
2026-08-19T10:04:16.82,APEX,18.12,16.92,25.7,21.74,0.01,-0.09,-0.09,2026-08-19,,,,,,
2026-08-19T10:04:16.82,BHARATFORG,17.77,19.9,13.1,11.86,-0.06,0.1,0.2,2026-08-19,,,,,,
2026-08-14T13:28:23.745,UNIVASTU,,,,,,,,2026-08-14,0.0,14.37,25.52,realty,construction,188.19
2026-08-14T13:28:23.745,GALAXYSURF,,,,,,,,2026-08-14,0.0,25.42,25.42,chemicals,chemicals,2587.71
2026-08-14T13:28:23.745,ARROWGREEN,,,,,,,,2026-08-14,0.0,7.92,8.82,plastic products,plastics products,425.76
