Timestamp,Symbol,F_pe,Pe,Eps[a],Eps[a1],Eps,Eps[1],Eps[3],Sales[a],Sales[a1],Sales,Sales[2],Sales[3],Roce,Fii,Fii[1],Fii[2],Fii[a],Fii[a1],Scan_Date
2026-02-17T04:11:02.848,BBTC,9.94,11.35,30.89,0.406,45.34,34.64,34.5,2.6,4.95,4979.09,4852.85,4623.77,45.22,9.42,9.3,9.33,1.3,-0.358,2026-02-17
2026-02-17T04:11:02.848,M&M,20.97,24.92,27.2,-10.06,41.85,32.9,36.58,12.41,0.989,51579.95,45885.4,45435.88,14.11,36.88,37.43,37.92,-1.46,-1.29,2026-02-17
2026-02-17T04:11:02.848,POLYCAB,46.22,43.76,-9.31,15.7,41.3,45.54,39.36,17.89,9.67,7636.13,6477.21,5905.98,30.77,14.82,13.97,11.44,6.13,22.05,2026-02-17
2026-02-17T04:11:02.848,ECLERX,22.23,25.5,4.64,29.31,40.81,39.0,30.16,6.52,7.52,1070.33,1004.85,934.56,28.33,11.43,10.95,10.16,4.45,7.75,2026-02-17
2026-02-17T04:11:02.848,ICRA,35.66,29.96,-18.8,12.63,40.34,49.68,44.11,19.78,9.71,163.59,136.58,124.49,22.37,7.25,8.66,8.78,-16.34,-1.32,2026-02-17
2026-02-17T04:11:02.848,SEAMECLTD,8.85,18.46,462.44,-136.28,39.18,-10.81,29.8,225.45,-53.81,317.05,97.42,210.92,8.49,3.35,3.61,3.25,-7.23,11.34,2026-02-17
2026-02-17T04:11:02.848,CEATLTD,25.03,28.21,-16.07,65.4,38.59,45.98,27.8,10.19,6.89,4157.05,3772.65,3529.41,14.68,16.92,16.21,17.38,4.4,-6.76,2026-02-17
2026-02-17T04:11:02.848,UNICHEMLAB,2.45,8.78,2321.3,-13.42,37.54,-1.69,-1.49,-9.98,9.94,521.17,578.96,526.6,6.19,0.992,0.996,0.981,-0.371,1.56,2026-02-17
2026-02-17T04:11:02.848,WAAREEENER,21.09,27.38,25.98,13.07,36.95,29.33,25.94,24.72,37.05,7565.05,6065.64,4425.83,30.54,6.91,6.35,2.68,8.77,136.92,2026-02-17
2026-02-17T04:11:02.848,VSTTILLERS,40.37,39.61,21.83,-43.51,35.21,28.9,51.16,-0.27,11.58,314.3,315.15,282.45,12.1,1.61,1.76,1.41,-8.44,25.12,2026-02-17
2026-02-17T04:11:02.848,MASTEK,12.24,13.98,11.09,5.82,34.97,31.48,29.75,-3.69,2.81,905.68,940.37,914.7,17.16,10.26,11.24,11.04,-8.66,1.77,2026-02-17
2026-02-17T04:11:02.848,APOLLOHOSP,54.51,60.78,5.27,10.27,34.94,33.19,30.1,2.76,7.9,6477.4,6303.5,5842.1,17.49,43.54,44.2,43.49,-1.5,1.64,2026-02-17
2026-02-17T04:11:02.848,SWARAJENG,25.66,23.09,-15.24,-0.608,34.66,40.89,41.14,-6.12,4.12,473.2,504.04,484.1,55.47,3.15,3.93,3.72,-19.83,5.59,2026-02-17
2026-02-17T04:11:02.848,THANGAMAYL,27.62,48.11,79.12,27.94,33.71,18.82,14.71,40.87,9.6,2401.21,1704.6,1555.32,13.74,4.7,4.49,4.41,4.72,1.62,2026-02-17
2026-02-17T04:11:02.848,KINGFA,31.22,31.75,9.82,-7.61,33.34,30.36,32.86,5.1,0.814,489.46,465.69,461.93,30.5,7.73,7.78,6.34,-0.57,22.68,2026-02-17
2026-02-17T04:11:02.848,CHOLAHLDNG,13.03,13.77,13.8,-4.97,33.32,29.28,30.81,5.15,1.78,9948.79,9461.41,9296.32,11.41,16.47,17.39,18.32,-5.3,-5.09,2026-02-17
2026-02-17T04:11:02.848,CRISIL,34.74,43.8,25.03,12.57,33.02,26.41,23.46,18.69,8.09,1081.57,911.24,843.02,35.63,7.67,7.82,8.07,-1.84,-3.18,2026-02-17
2026-02-17T04:11:02.848,LTIM,39.07,31.9,-30.73,11.69,32.75,47.28,42.33,3.72,5.63,10781.0,10394.3,9840.6,27.57,6.51,6.4,6.62,1.72,-3.42,2026-02-17
2026-02-17T04:11:02.848,ESCORTS,27.03,16.19,12.62,-77.23,32.57,28.92,127.01,17.51,11.66,3280.49,2791.56,2500.05,14.73,5.25,5.27,5.22,-0.504,1.01,2026-02-17
2026-02-17T04:11:02.848,DPABHUSHAN,9.58,15.09,42.71,40.45,32.21,22.57,16.07,26.32,79.07,1222.38,967.65,540.37,33.54,0.22,0.223,0.217,-1.43,2.67,2026-02-17
2026-02-17T04:11:02.848,NEULANDLAB,104.73,94.88,-58.11,597.05,31.62,75.49,10.83,-14.5,75.67,439.71,514.27,292.75,18.58,20.9,20.6,21.69,1.43,-5.01,2026-02-17
2026-02-17T04:11:02.848,INDIAMART,17.58,21.87,127.81,-46.19,31.37,13.77,25.59,2.71,5.08,401.6,391.0,372.1,27.3,18.27,21.53,19.22,-15.14,12.06,2026-02-17
2026-02-17T04:11:02.848,POWERMECH,17.64,18.23,-5.98,90.37,29.73,31.62,16.61,14.68,-4.29,1419.56,1237.87,1293.41,20.75,6.55,7.01,0.233,-6.51,2903.9,2026-02-17
2026-02-17T04:11:02.848,TCS,22.98,20.52,-11.75,-5.39,29.45,33.37,35.27,1.96,3.72,67087.0,65799.0,63437.0,64.41,10.37,10.33,11.47,0.421,-9.96,2026-02-17
2026-02-17T04:11:02.848,CHEVIOT,9.21,9.05,15.87,-48.32,29.43,25.4,49.15,-6.31,23.8,138.86,148.21,119.72,10.0,0.285,0.291,0.333,-2.27,-12.47,2026-02-17
2026-02-17T04:11:02.848,V2RETAIL,17.01,46.05,489.29,-30.57,29.17,4.95,7.13,31.12,12.09,929.18,708.64,632.22,10.23,2.1,1.9,1.31,10.75,45.49,2026-02-17
2026-02-17T04:11:02.848,CIGNITITEC,11.73,12.48,-2.8,25.27,29.15,29.99,23.94,2.13,6.2,579.4,567.3,534.2,33.39,11.6,11.88,11.33,-2.38,4.86,2026-02-17
2026-02-17T04:11:02.848,BLUEDART,50.66,54.57,-16.06,66.67,28.79,34.3,20.58,4.31,7.45,1616.16,1549.33,1441.92,17.14,4.13,5.04,5.53,-18.02,-8.75,2026-02-17
2026-02-17T04:11:02.848,LTTS,30.8,29.62,-7.93,4.06,28.56,31.02,29.81,-1.88,3.96,2923.5,2979.5,2866.0,28.32,4.23,4.67,4.84,-9.53,-3.49,2026-02-17
2026-02-17T04:11:02.848,SHARDAMOTR,8.21,7.86,8.92,-25.27,28.34,26.02,34.82,11.98,4.09,881.55,787.21,756.25,39.15,2.23,2.46,2.25,-9.54,9.72,2026-02-17
2026-02-17T04:11:02.848,BRITANNIA,54.07,60.9,3.9,25.67,28.23,27.17,21.62,2.8,4.79,4885.23,4752.17,4534.86,51.91,14.88,15.02,15.58,-0.923,-3.61,2026-02-17
2026-02-17T04:11:02.848,PERSISTENT,49.57,50.05,-7.13,10.5,28.15,30.31,27.43,5.52,7.41,3778.21,3580.72,3333.59,31.1,22.8,21.23,24.19,7.35,-12.2,2026-02-17
2026-02-17T04:11:02.848,HINDUNILVR,20.62,37.55,146.02,-2.56,28.12,11.43,11.73,3.13,-3.56,16235.0,15742.0,16323.0,25.51,10.71,10.79,0.291,-0.758,3613.18,2026-02-17
2026-02-17T04:11:02.848,ESABINDIA,48.72,39.8,-45.71,93.46,27.94,51.46,26.6,-0.713,8.39,378.83,381.55,352.02,68.79,1.51,1.53,1.56,-1.35,-1.84,2026-02-17
2026-02-17T04:11:02.848,SHRIPISTON,27.15,24.6,-12.06,4.65,27.93,31.76,30.35,0.659,5.52,1023.2,1016.5,963.3,26.57,6.62,6.0,5.88,10.48,2.04,2026-02-17
2026-02-17T04:11:02.848,HAL,37.85,31.77,11.82,20.64,27.91,24.96,20.69,16.14,37.55,7698.8,6628.61,4819.01,20.93,11.9,12.08,12.26,-1.45,-1.48,2026-02-17
2026-02-17T04:11:02.848,LGBBROSLTD,17.33,18.41,-5.55,39.81,27.73,29.36,21.0,3.75,19.78,816.56,787.02,657.05,20.93,7.0,5.85,5.97,19.61,-1.87,2026-02-17
2026-02-17T04:11:02.848,STYLAMIND,20.42,26.6,22.51,33.8,27.16,22.17,16.57,-7.33,3.33,270.96,292.4,282.98,27.03,2.04,2.77,2.79,-26.14,-0.906,2026-02-17
2026-02-17T04:11:02.848,PIXTRANS,14.34,18.51,49.77,-15.5,25.88,17.28,20.45,8.96,14.19,151.22,138.79,121.54,25.46,0.978,0.94,1.03,4.03,-8.37,2026-02-17
2026-02-17T04:11:02.848,FOSECOIND,44.65,37.15,-23.46,-0.619,25.81,33.72,33.93,-4.15,5.89,150.72,157.25,148.51,31.16,0.098,0.116,0.152,-15.41,-24.26,2026-02-17
2026-02-17T04:11:02.848,LUPIN,21.58,21.84,-20.46,21.2,25.74,32.36,26.7,3.94,10.83,7100.45,6831.43,6163.75,20.88,21.49,20.49,21.25,4.88,-3.57,2026-02-17
2026-02-17T04:11:02.848,VEEDOL,14.0,12.58,6.39,-17.58,25.63,24.09,29.23,5.6,-0.855,537.73,509.23,513.62,21.99,1.17,1.37,1.14,-14.67,20.02,2026-02-17
