Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-10T16:44:06.746,ATHERENERG,1225.8,0.61,1172.18,1118.6,1124.84,1377.24,0.51,-116.97,-87.34,75.87,auto,automobiles - scooters and 3 - wheelers,53.15,8.98,80.74,0.63,0.62,1129.08,1060.74,57.84,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,KIRLOSENG,2491.9,2.77,2386.3,2239.7,2400.45,2629.08,0.7,57.1,61.36,69.77,industrials,engines,42.54,3.81,127.28,0.88,1.69,2245.02,2070.95,46.58,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,SYRMA,1451.9,0.76,1384.84,1332.2,1409.33,1515.76,0.78,68.62,85.52,68.18,consumer discretionary,electronics - components,48.25,3.02,99.19,0.79,0.83,1335.22,1252.82,32.29,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,LAURUSLABS,1537.8,2.02,1474.02,1448.2,1498.74,1596.39,0.83,74.36,91.52,64.7,healthcare,pharmaceuticals - indian - bulk drugs & formln,38.51,2.61,53.18,0.26,0.59,1439.01,1375.12,24.14,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,ANANDRATHI,2146.8,2.44,2020.17,2024.4,2050.03,2291.96,2.4,43.07,43.78,78.72,financials,finance & investments,36.88,4.72,51.28,0.25,0.34,1991.47,1904.37,23.22,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,ADANIENSOL,1654.0,2.19,1588.78,1571.0,1552.0,1807.0,0.47,72.67,85.18,67.46,power & utilities,power generation and supply,28.22,6.57,72.25,0.47,0.68,1525.36,1458.68,21.65,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,GRANULES,889.85,0.88,860.98,834.5,831.62,977.2,0.99,27.03,36.09,77.36,healthcare,pharmaceuticals - indian - bulk drugs & formln,34.39,7.0,63.61,0.34,0.54,835.53,806.74,19.3,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,J&KBANK,192.65,14.39,165.7,162.2,162.92,237.25,4.53,6.64,7.86,83.13,bank,banks - private sector,36.61,18.25,92.95,0.7,0.74,171.69,165.07,18.08,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,CHENNPETRO,1180.7,5.26,1107.99,1080.0,1089.05,1318.18,1.65,3.09,5.38,59.16,energy,refineries,12.51,8.42,27.11,0.33,0.53,1094.69,1036.39,16.34,2026-07-10,,,,,,,
2026-07-10T16:44:06.746,NAVINFLUOR,7712.0,0.3,7497.98,7289.0,7580.54,7909.19,0.41,46.47,58.98,58.87,chemicals,chemicals,26.95,1.73,38.63,0.22,0.48,7228.09,6914.16,14.62,2026-07-10,,,,,,,
