Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-05-20T00:55:23.055,SWANDEF,16420.82,19314.3,12227.86,522.24,0.0,0.3,27.02,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,WAAREEINDO,2163.66,3495.81,4489.72,5414.36,-0.27,-0.16,-0.25,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,CUPID,123.61,167.27,109.77,57.14,0.11,0.32,1.05,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,STLTECH,105.92,56.31,11.49,-0.78,0.52,1.79,2.55,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,MTARTECH,86.94,66.16,32.42,15.75,0.4,0.92,1.61,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SIGMAADV,75.22,55.09,37.19,41.83,0.54,0.55,0.51,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,BHAGYANGR,67.93,47.42,23.5,9.44,0.35,0.73,1.07,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,BAJAJCON,49.14,42.81,27.51,7.27,0.12,0.35,0.9,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,VENUSREM,48.95,55.17,37.78,18.64,-0.03,0.33,0.87,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,ATHERENERG,45.14,NaN,NaN,NaN,0.07,0.27,0.45,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,MIRCELECTR,43.26,32.92,19.92,5.07,0.24,0.17,0.49,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,MCX,43.15,38.39,25.01,11.83,0.2,0.44,0.81,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,TDPOWERSYS,41.35,35.23,31.5,23.12,0.26,0.44,0.53,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,KMEW,41.25,37.61,21.06,NaN,0.14,0.15,0.47,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,KESORAMIND,41.23,40.05,4.52,-12.02,0.16,0.25,1.44,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVERADD,39.81,40.27,42.34,16.14,0.07,0.03,0.69,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVERIETF,39.79,40.36,42.26,15.98,0.07,0.03,0.69,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,TATSILV,39.7,40.02,42.05,16.08,0.06,0.03,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVERCASE,39.69,39.84,NaN,NaN,0.07,0.03,0.69,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVER,39.68,40.02,42.11,16.14,0.06,0.03,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVERBEES,39.62,40.09,42.04,15.96,0.06,0.02,0.69,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,AXISILVER,39.55,39.88,41.98,16.05,0.07,0.03,0.69,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVERAG,39.53,40.05,42.06,16.17,0.07,0.03,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVERBETA,39.49,39.69,41.85,15.93,0.06,0.03,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SBISILVER,39.43,39.93,42.14,16.08,0.06,0.03,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SILVER1,39.41,40.3,42.29,15.93,0.06,0.02,0.69,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,HDFCSILVER,39.17,39.78,41.8,16.03,0.06,0.02,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,PRECWIRE,38.19,44.06,16.88,6.47,0.01,0.44,0.65,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,GVPIL,38.05,25.35,6.09,-4.45,0.27,0.9,1.13,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,ROSSTECH,37.79,52.74,22.61,NaN,-0.07,0.24,0.35,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,HINDCOPPER,37.41,44.3,38.99,5.01,0.0,-0.06,0.68,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,LUMAXTECH,37.13,53.65,51.72,42.48,-0.09,-0.06,0.14,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SAKAR,35.91,33.91,16.21,6.85,0.29,0.63,0.92,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,SBC,35.48,37.2,29.84,10.49,0.03,0.11,0.36,2026-05-20,,,,,,,,,,,,,,,,,,,,
2026-05-20T00:55:23.055,QPOWER,35.38,67.28,NaN,NaN,-0.16,0.33,0.13,2026-05-20,,,,,,,,,,,,,,,,,,,,
