Timestamp,Symbol,Cmp,%ch7,Lch5,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date
2026-02-05T23:37:31.227,PFC,415.0,9.75,-3.41,365.61,400.49,420.4,5.96,5.53,61.81,financials,finance - term-lending institutions,21.27,-0.947,-0.141,-0.114,-0.184,-0.162,5.77,362.15,4.77,-4.01,2.99,7.43,7.74,2026-02-05
2026-02-05T23:37:31.227,COALINDIA,431.85,3.94,-6.99,426.97,461.13,461.55,15.27,8.59,67.75,metals & mining,mining / minerals / metals,39.25,-1.26,0.066,0.06,0.022,0.011,5.32,421.6,4.0,-3.49,2.75,6.9,9.59,2026-02-05
2026-02-05T23:37:31.227,PETRONET,298.85,4.03,-3.6,278.1,303.2,302.35,13.49,12.2,60.26,energy,miscellaneous,18.21,-0.719,-0.086,-0.124,-0.158,-0.162,5.27,276.1,4.51,-3.62,2.84,6.54,5.8,2026-02-05
2026-02-05T23:37:31.227,UNIONBANK,177.92,0.775,-9.25,175.38,188.48,183.34,6.69,7.1,70.84,bank,banks - public sector,35.87,-0.074,0.263,0.322,0.201,0.275,3.81,175.25,3.74,-3.22,3.3,5.93,12.94,2026-02-05
2026-02-05T23:37:31.227,TMB,643.6,15.6,-0.516,561.73,581.37,660.7,8.02,8.13,62.86,bank,banks - private sector,28.97,-0.139,0.174,0.233,0.138,0.203,1.89,560.95,1.75,-2.31,3.33,4.86,9.7,2026-02-05
2026-02-05T23:37:31.227,CANBK,148.29,1.93,-12.51,151.86,163.62,160.79,6.4,7.28,60.56,bank,banks - public sector,17.45,0.298,0.32,0.415,0.281,0.39,3.57,152.31,3.87,-3.0,2.89,4.52,4.22,2026-02-05
2026-02-05T23:37:31.227,MUTHOOTFIN,3578.8,4.9,-13.78,3871.19,4039.81,4149.5,14.84,20.37,59.53,financials,finance & investments,18.36,0.744,0.392,0.816,0.336,0.779,1.42,3900.0,2.18,-1.67,2.61,4.18,3.66,2026-02-05
2026-02-05T23:37:31.227,BANKBARODA,290.45,0.996,-11.66,302.17,310.23,309.25,6.9,7.73,56.92,bank,banks - public sector,19.08,-0.57,0.164,0.249,0.149,0.234,1.91,300.45,1.33,-2.21,2.54,3.94,5.48,2026-02-05
2026-02-05T23:37:31.227,SBIN,1073.5,2.47,-7.07,1039.23,1087.77,1089.8,11.77,11.92,69.35,bank,banks - public sector,44.44,0.474,0.226,0.298,0.208,0.287,1.85,1044.15,2.34,-1.69,1.85,3.7,6.31,2026-02-05
2026-02-05T23:37:31.227,NTPC,367.0,6.51,-3.03,342.66,353.44,370.7,16.21,14.73,60.01,power & utilities,power generation and supply,26.39,0.594,-0.042,-0.02,-0.053,-0.028,0.972,344.7,1.57,-0.814,2.27,3.56,6.73,2026-02-05
