Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-15T11:24:11.266,ATHERENERG,1285.0,6.92,1200.5,1158.0,1178.4,1444.89,2.02,-122.61,-86.15,75.09,auto,automobiles - scooters and 3 - wheelers,54.33,9.05,98.85,0.85,0.69,1153.99,1084.53,62.9,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,ACUTAAS,3536.4,2.22,3414.32,3363.6,3504.18,3584.73,0.14,54.95,79.52,60.42,healthcare,pharmaceuticals - indian - bulk drugs,35.43,0.92,113.11,0.94,0.99,3272.39,3095.99,49.66,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,KIRLOSENG,2423.0,2.57,2323.58,2290.1,2419.47,2428.29,0.14,55.52,59.77,62.37,industrials,engines,42.73,0.15,117.08,0.98,1.33,2197.44,2039.97,45.14,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,HFCL,223.37,4.98,210.01,206.1,218.19,231.14,0.47,46.15,99.9,64.81,telecom,cables - telephone,41.47,2.37,234.89,2.26,1.85,203.91,189.36,43.88,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,SYRMA,1421.9,0.01,1387.09,1385.0,1416.95,1429.32,0.19,67.2,84.38,62.79,consumer discretionary,electronics - components,45.44,0.35,93.98,0.87,0.71,1326.08,1280.32,29.51,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,BELRISE,238.27,2.55,228.54,226.53,228.31,253.22,0.82,38.93,38.03,55.94,auto,auto ancillaries,16.13,4.36,49.46,0.23,0.55,221.44,210.25,28.7,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,ANANDRATHI,2099.1,0.88,2029.58,2055.0,2103.41,2092.63,0.15,53.44,44.86,67.76,financials,finance & investments,38.73,-0.21,45.55,0.24,0.27,1974.09,1890.22,22.02,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,WELCORP,1694.6,0.67,1636.8,1525.0,1571.86,1878.71,0.28,30.17,27.49,75.09,industrials,steel - large,40.48,7.81,112.96,1.11,0.85,1583.31,1503.25,21.66,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,AEGISLOG,1297.4,6.13,1206.48,1164.4,1334.98,1241.03,0.41,27.75,47.77,64.83,services,trading,60.6,-2.82,76.65,0.61,0.56,1099.76,962.43,17.48,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,J&KBANK,184.8,4.17,175.41,166.3,169.82,207.26,1.15,6.37,8.28,67.46,bank,banks - private sector,41.52,8.82,81.17,0.7,0.65,164.97,153.69,17.09,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,BHARATFORG,2129.3,0.45,2080.44,2085.4,2135.5,2120.0,0.1,109.53,93.88,58.36,industrials,castings & forgings,26.96,-0.29,51.3,0.35,0.57,2023.61,1967.45,16.01,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,NAVINFLUOR,7639.5,0.71,7428.4,7401.5,7592.74,7709.64,0.21,46.03,58.19,56.05,chemicals,chemicals,22.98,0.62,26.43,0.22,0.48,7257.57,7012.62,14.27,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,NEULANDLAB,19198.0,1.05,18565.12,18629.0,19150.99,19268.52,0.12,28.95,66.97,67.17,healthcare,pharmaceuticals - indian - bulk drugs,32.98,0.25,18.68,0.2,0.18,18053.53,17295.17,13.75,2026-07-15,,,,,,,
2026-07-15T11:24:11.266,SHRIRAMFIN,1041.6,2.73,1004.7,1007.0,1049.0,1030.49,0.59,16.21,19.03,56.39,financials,finance & investments,20.77,-0.71,23.02,-0.01,0.39,976.81,935.61,13.33,2026-07-15,,,,,,,
