Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low,Max2,R_vol,Rsi,W rsi,Adx,Adr p - adr%,%ch7,Lch7,Lc
2026-03-23T23:59:08.404,BLACKBUCK,609.05,,587.0,-4.68,545.27,553.24,654.52,84.34,19.62,transportation,miscellaneous,7.5,-0.09,0.3,-0.04,0.36,9.11,9.11,9.11,5.25,5.16,-7.88,30.81,,,,,,,,,93.47,,,2026-03-23,558.2,609.05,1.29,48.96,48.65,17.7,4.39,,,
2026-03-23T23:59:08.404,GMBREW,1016.7,,991.55,-1.44,927.17,950.48,1073.68,13.48,14.08,fmcg,breweries & distilleries,6.04,0.27,0.28,0.27,0.31,4.19,4.19,4.19,4.39,1.61,-11.45,43.55,,,,,,,,,36.17,,,2026-03-23,975.8,1016.7,0.98,48.46,51.09,13.76,3.86,,,
2026-03-17T08:19:15.767,CREATIVEYE,7.89,,6.77,1.8,5.75,6.21,7.89,-0.92,-2.81,media,entertainment / electronic media software,6.08,-0.2,-0.32,-0.24,-0.33,22.9,22.9,22.9,11.86,5.45,-0.05,0.8,,,,,,,,,43.59,,,2026-03-17,6.42,7.89,0.83,50.49,45.89,41.97,10.19,,,
2026-03-17T08:19:15.767,UNITEDPOLY,27.0,,25.01,-3.66,22.58,23.36,28.31,29.77,10.0,textiles,textiles - products,14.27,-0.39,0.17,-0.36,0.22,8.43,8.43,8.43,6.49,0.44,-1.82,1.62,,,,,,,,,6.77,,,2026-03-17,24.9,27.0,1.25,46.67,42.41,18.99,6.02,,,
2026-03-17T08:19:15.767,KINGFA,4330.0,,4192.4,2.37,3921.4,4031.37,4514.47,31.44,31.96,plastic products,plastics products,-1.05,-0.15,0.18,-0.16,0.15,7.98,7.98,6.89,4.18,4.55,-66.46,175.39,,,,,,,,,80.62,,,2026-03-17,4051.0,4330.0,1.69,49.33,50.77,15.83,4.38,,,
2026-03-17T08:19:15.767,CGCL,173.0,,171.57,0.87,161.76,156.61,201.49,16.13,18.43,financials,finance & investments,6.21,-0.16,-0.01,-0.18,-0.01,4.85,4.85,2.98,4.07,4.94,-1.27,6.99,,,,,,,,,51.1,,,2026-03-17,168.0,173.0,1.14,53.64,45.55,20.3,3.76,,,
2026-03-17T08:19:15.767,DCMSHRIRAM,1059.9,,1051.0,3.22,991.21,951.97,1249.06,16.53,23.47,miscellaneous,diversified - mega,3.36,-0.21,-0.18,-0.24,-0.2,7.06,7.06,6.22,4.09,8.56,-64.88,42.98,,,,,,,,,123.78,,,2026-03-17,997.8,1059.9,2.84,47.68,40.08,36.73,3.69,,,
2026-03-17T08:19:15.767,ESABINDIA,5550.0,,5525.0,2.62,5275.31,5222.24,6130.52,49.44,40.38,industrials,electrodes - welding equipment,-0.71,-0.0,0.04,-0.03,0.01,6.69,6.69,5.83,3.21,6.21,-68.06,177.11,,,,,,,,,158.37,,,2026-03-17,5244.5,5550.0,1.38,53.11,50.94,11.92,2.59,,,
2026-03-17T08:19:15.767,MAFANG,161.49,,160.89,-0.88,157.74,158.14,166.38,NaN,0.0,indices,indices,3.78,-0.11,0.08,-0.11,0.09,1.44,1.44,1.44,1.42,1.06,-0.35,2.28,,,,,,,,,74.11,,,2026-03-17,159.2,161.49,0.74,53.87,49.14,16.95,0.5,,,
2026-03-16T23:24:41.85,CREATIVEYE,7.89,,6.77,1.8,5.75,6.21,7.89,-0.92,-2.76,media,entertainment / electronic media software,6.08,-0.2,-0.32,-0.24,-0.33,22.9,22.9,22.9,11.86,5.45,-0.05,0.8,,,,,,,,,43.59,,,2026-03-16,6.42,7.89,0.83,50.49,45.89,41.97,10.19,,,
2026-03-16T23:24:41.85,UNITEDPOLY,27.0,,25.01,-3.66,22.58,23.36,28.31,29.77,10.38,textiles,textiles - products,14.27,-0.39,0.17,-0.36,0.22,8.43,8.43,8.43,6.49,0.44,-1.82,1.62,,,,,,,,,6.77,,,2026-03-16,24.9,27.0,1.25,46.67,42.41,18.99,6.02,,,
2026-03-16T23:24:41.85,KINGFA,4330.0,,4192.4,2.37,3921.4,4031.37,4514.47,31.44,31.22,plastic products,plastics products,-1.05,-0.15,0.18,-0.16,0.15,7.98,7.98,6.89,4.18,4.55,-66.46,175.39,,,,,,,,,80.62,,,2026-03-16,4051.0,4330.0,1.69,49.33,50.77,15.83,4.38,,,
2026-03-16T23:24:41.85,CGCL,173.0,,171.57,0.87,161.76,156.61,201.49,16.13,18.27,financials,finance & investments,6.21,-0.16,-0.01,-0.18,-0.01,4.85,4.85,2.98,4.07,4.94,-1.27,6.99,,,,,,,,,51.1,,,2026-03-16,168.0,173.0,1.14,53.64,45.55,20.3,3.76,,,
2026-03-16T23:24:41.85,DCMSHRIRAM,1059.9,,1051.0,3.22,991.21,951.97,1249.06,16.53,22.74,miscellaneous,diversified - mega,3.36,-0.21,-0.18,-0.24,-0.2,7.06,7.06,6.22,4.09,8.56,-64.88,42.98,,,,,,,,,123.78,,,2026-03-16,997.8,1059.9,2.84,47.68,40.08,36.73,3.69,,,
2026-03-16T23:24:41.85,ESABINDIA,5550.0,,5525.0,2.62,5275.31,5222.24,6130.52,49.44,39.35,industrials,electrodes - welding equipment,-0.71,-0.0,0.04,-0.03,0.01,6.69,6.69,5.83,3.21,6.21,-68.06,177.11,,,,,,,,,158.37,,,2026-03-16,5244.5,5550.0,1.38,53.11,50.94,11.92,2.59,,,
2026-03-16T23:24:41.85,MAFANG,161.49,,160.89,-0.88,157.74,158.14,166.38,NaN,0.0,indices,indices,3.78,-0.11,0.08,-0.11,0.09,1.44,1.44,1.44,1.42,1.06,-0.35,2.28,,,,,,,,,74.11,,,2026-03-16,159.2,161.49,0.74,53.87,49.14,16.95,0.5,,,
2026-03-15T23:30:33.091,KIRLOSENG,1500.5,,1451.3,-1.2,1356.89,1449.73,1454.45,47.37,38.56,industrials,engines,-3.23,0.5,0.64,0.52,0.66,6.8,6.8,5.11,4.7,3.3,172.19,68.14,,,,,,,,,34.93,,,2026-03-15,1427.5,1500.5,0.99,61.74,68.09,21.45,4.41,,,
2026-03-15T23:30:33.091,GODIGIT,344.0,,334.65,-2.86,318.04,329.81,344.32,55.04,60.52,financials,finance & investments,0.23,-0.13,-0.05,-0.12,-0.02,4.24,4.24,3.68,3.63,1.41,4.3,12.16,,,,,,,,,23.44,,,2026-03-15,331.8,344.0,0.32,51.97,48.31,22.76,3.43,,,
