Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,Column26,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Max2,W rsi,Adr p - adr%
2026-09-17T19:19:04.628,TEGA,1920.0,11.82,1665.02,1630.4,1601.54,2397.7,13.31,-41.85,453.06,71.53,industrials,engineering,18.6,19.88,18.66,0.04,-0.05,1693.86,1548.25,-1.4,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-17T19:19:04.628,JUBLPHARMA,1012.1,0.96,977.11,977.5,976.46,1065.57,0.31,70.88,45.1,67.24,healthcare,pharmaceuticals - indian - bulk drugs,27.51,3.65,13.19,0.09,-0.08,946.7,911.45,-2.36,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-17T19:19:04.628,HBLENGINE,756.75,7.39,693.55,692.0,693.36,851.83,5.65,47.9,25.01,64.36,auto,auto ancillaries,26.25,9.14,2.57,0.02,-0.2,695.02,651.07,-2.67,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-17T19:19:04.628,TATACHEM,779.3,6.49,710.25,600.0,624.88,1010.92,10.64,-290.78,-8.61,77.11,chemicals,chemicals,21.18,24.71,12.72,0.1,0.0,666.38,634.39,-3.22,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-17T19:19:04.628,LENSKART,679.95,0.61,658.71,667.25,687.98,667.91,0.58,132.8,176.46,65.16,fmcg,personal care - indian,54.8,-1.17,36.22,0.23,0.5,641.66,624.6,NaN,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-17T19:19:04.628,PWL,127.8,0.21,124.47,125.27,123.59,134.11,0.25,-118.33,1062.75,53.09,services,miscellaneous,19.0,3.41,22.93,0.36,-0.07,116.44,110.11,NaN,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,HEG,659.25,-1.99,,,630.14,717.47,,26.0,36.18,,industrials,electrodes - graphites,,4.12,,0.07,0.24,,,,2026-07-30,683.0,656.0,620.52,4.75,0.08,0.26,7.36,7.36,4.52,3.63,96.14,29.78,4.9,4.9,3.23,118.81,12980.63,-0.33,-3.13,3.78,10.91,84368660,192977530,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,SAGILITY,45.98,2.47,,,41.79,54.35,,24.99,21.17,,i.t,computers - software - medium / small,,4.85,,-0.14,-0.12,,,,2026-07-30,46.24,44.1,43.65,3.61,-0.21,-0.14,8.47,8.47,3.91,7.86,4.98,1.8,3.77,3.77,2.77,244.76,21005.12,0.01,-1.46,3.11,104.45,2296199262,4681328413,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,UNIONBANK,170.4,-0.4,,,167.26,176.69,,5.76,6.32,,bank,banks - public sector,,1.89,,-0.13,0.08,,,,2026-07-30,171.08,167.9,162.87,1.2,-0.14,0.09,1.89,1.89,2.84,1.61,1.73,4.83,3.28,3.28,0.36,57.96,130595.72,0.17,-1.57,0.36,51.73,1926944757,7633605607,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,BELRISE,232.79,1.01,,,225.24,247.89,,38.04,37.72,,auto,auto ancillaries,,2.2,,0.34,0.37,,,,2026-07-30,233.38,228.35,221.64,1.66,0.32,0.36,2.2,2.2,2.82,2.65,3.65,6.57,3.28,3.28,0.56,46.09,22289.95,0.66,0.19,0.56,67.61,298495928,889879192,,,,,,,,,,,,,,,,,,,,,
