Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-04-02T14:46:09.735,WAAREEINDO,2534.4,3133.68,4264.07,32.46,0.11,-0.26,84.94,2026-04-02
2026-04-02T14:46:09.735,CUPID,127.31,109.68,143.64,39.25,0.07,-0.14,1.03,2026-04-02
2026-04-02T14:46:09.735,PFOCUS,56.08,33.49,22.55,8.86,0.32,0.39,0.83,2026-04-02
2026-04-02T14:46:09.735,VENUSREM,47.0,26.08,35.01,7.69,0.35,0.22,1.06,2026-04-02
2026-04-02T14:46:09.735,LUMAXTECH,38.59,49.68,35.4,30.29,-0.1,0.04,0.22,2026-04-02
2026-04-02T14:46:09.735,MTARTECH,38.18,38.43,11.66,2.36,-0.06,0.51,0.9,2026-04-02
2026-04-02T14:46:09.735,SMLMAH,35.37,68.23,40.98,19.24,-0.14,0.04,0.29,2026-04-02
2026-04-02T14:46:09.735,SBC,34.04,36.22,17.29,-0.17,-0.05,0.08,0.42,2026-04-02
2026-04-02T14:46:09.735,JAYNECOIND,33.86,27.49,34.72,11.13,0.04,-0.14,0.16,2026-04-02
2026-04-02T14:46:09.735,TATSILV,30.79,41.44,38.04,13.88,-0.15,-0.02,0.63,2026-04-02
2026-04-02T14:46:09.735,SILVERAG,30.78,41.48,37.51,13.89,-0.14,-0.01,0.63,2026-04-02
2026-04-02T14:46:09.735,SILVERIETF,30.68,41.61,37.6,13.91,-0.15,-0.01,0.62,2026-04-02
2026-04-02T14:46:09.735,SILVER,30.67,41.26,38.82,13.89,-0.15,-0.03,0.62,2026-04-02
2026-04-02T14:46:09.735,AXISILVER,30.57,41.45,38.02,14.02,-0.15,-0.02,0.62,2026-04-02
2026-04-02T14:46:09.735,SBISILVER,30.55,41.39,38.01,13.89,-0.15,-0.02,0.62,2026-04-02
2026-04-02T14:46:09.735,SILVERBEES,30.54,41.35,37.51,13.83,-0.15,-0.01,0.62,2026-04-02
2026-04-02T14:46:09.735,SILVER1,30.52,41.66,37.91,13.82,-0.15,-0.02,0.62,2026-04-02
2026-04-02T14:46:09.735,SILVERADD,30.47,41.78,38.2,13.9,-0.15,-0.02,0.62,2026-04-02
2026-04-02T14:46:09.735,GVT&D,30.46,37.21,14.08,19.69,-0.01,0.21,0.31,2026-04-02
2026-04-02T14:46:09.735,SILVERBETA,30.41,41.06,37.35,14.16,-0.15,-0.01,0.6,2026-04-02
2026-04-02T14:46:09.735,HDFCSILVER,30.27,41.26,37.61,13.9,-0.15,-0.02,0.61,2026-04-02
2026-04-02T14:46:09.735,FORCEMOT,29.73,55.62,45.05,35.73,-0.14,0.05,0.2,2026-04-02
2026-04-02T14:46:09.735,NATIONALUM,29.68,21.31,13.4,2.12,0.13,0.27,1.0,2026-04-02
2026-04-02T14:46:09.735,MCX,29.15,26.97,19.09,8.36,-0.0,0.12,0.54,2026-04-02
2026-04-02T14:46:09.735,SAKAR,27.77,24.64,10.1,3.42,0.05,0.27,0.46,2026-04-02
2026-04-02T14:46:09.735,BAJAJCON,27.46,34.26,7.85,-0.64,-0.09,0.41,0.55,2026-04-02
2026-04-02T14:46:09.735,GLOBAL,26.61,19.42,9.4,-3.3,-0.01,0.09,0.54,2026-04-02
2026-04-02T14:46:09.735,PRECWIRE,26.51,27.37,11.33,-0.13,-0.05,0.24,0.64,2026-04-02
2026-04-02T14:46:09.735,HINDCOPPER,26.49,36.87,24.3,-0.36,-0.13,-0.08,0.58,2026-04-02
2026-04-02T14:46:09.735,STLTECH,25.85,18.95,-1.94,-1.52,0.12,0.74,0.52,2026-04-02
2026-04-02T14:46:09.735,MIRCELECTR,25.85,18.14,8.69,0.9,-0.01,0.0,0.14,2026-04-02
2026-04-02T14:46:09.735,GMDCLTD,25.33,24.61,21.48,16.7,0.02,-0.03,-0.01,2026-04-02
2026-04-02T14:46:09.735,BHAGYANGR,25.32,22.52,20.72,-1.0,0.02,-0.09,0.59,2026-04-02
2026-04-02T14:46:09.735,TDPOWERSYS,25.04,37.95,13.44,10.33,-0.03,0.24,0.52,2026-04-02
2026-04-02T14:46:09.735,KMEW,23.93,23.3,20.68,NaN,-0.02,-0.16,0.25,2026-04-02
2026-04-02T14:46:09.735,THANGAMAYL,23.08,31.21,16.52,-2.51,-0.11,0.1,0.75,2026-04-02
2026-04-02T14:46:09.735,SOUTHWEST,22.42,11.77,9.65,-0.33,0.2,0.11,0.67,2026-04-02
2026-04-02T14:46:09.735,IMFA,22.23,23.81,20.1,15.48,-0.01,-0.15,0.11,2026-04-02
2026-04-02T14:46:09.735,NETWEB,21.97,32.0,7.17,11.11,-0.19,0.02,-0.15,2026-04-02
2026-04-02T14:46:09.735,BLISSGVS,19.96,14.18,1.61,1.03,0.1,0.43,0.61,2026-04-02
2026-04-02T14:46:09.735,GODAVARIB,19.86,14.61,0.66,NaN,0.06,0.11,0.17,2026-04-02
2026-04-02T14:46:09.735,PRIVISCL,19.69,20.31,21.82,13.77,-0.03,-0.08,0.24,2026-04-02
2026-04-02T14:46:09.735,KIRLOSENG,19.36,29.66,7.12,-5.44,-0.02,0.12,0.5,2026-04-02
2026-04-02T14:46:09.735,ACUTAAS,18.71,21.64,10.69,13.16,-0.02,0.28,0.56,2026-04-02
2026-04-02T14:46:09.735,CCL,18.31,14.92,8.31,5.32,0.05,0.13,0.2,2026-04-02
2026-04-02T14:46:09.735,MBAPL,18.15,12.24,21.07,21.3,0.13,0.24,0.29,2026-04-02
