Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap,From52wh,3d range,5d,Free float,Low,Max2,W rsi,Lod dist,Adr p - adr%
2026-05-18T18:24:18.163,ADANIPORTS,1787.7,-0.41,1710.1,1683.2,1769.91,1814.39,0.72,30.93,30.83,68.3,transportation,miscellaneous,28.4,1.01,25.12,0.09,0.32,1675.91,1597.37,7.78,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,AJANTPHARM,3214.1,1.16,3087.0,3042.5,3066.66,3435.26,1.15,37.64,37.59,67.98,healthcare,pharmaceuticals - indian - formulations,24.93,4.81,34.41,0.17,0.25,3010.61,2872.9,7.04,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,WOCKPHARMA,1571.5,1.66,1492.15,1505.0,1572.82,1569.52,0.98,38.4,117.83,60.28,healthcare,pharmaceuticals - indian - bulk drugs & formln,40.81,-0.08,14.91,0.08,0.06,1415.27,1315.6,5.05,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,IPCALAB,1646.3,2.57,1553.3,1494.0,1538.26,1808.36,2.39,32.0,44.76,70.76,healthcare,pharmaceuticals - indian - bulk drugs & formln,30.51,7.02,26.11,0.03,0.15,1526.54,1448.42,4.98,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,LALPATHLAB,1646.3,2.71,1549.77,1568.0,1583.96,1739.81,0.9,52.36,33.95,66.34,healthcare,healthcare,38.32,3.94,3.72,-0.04,-0.04,1512.77,1415.81,3.66,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,DIVISLAB,6835.0,1.1,6524.84,6636.0,6774.32,6926.02,1.15,77.74,72.41,66.76,healthcare,pharmaceuticals - indian - bulk drugs,40.35,0.9,4.18,-0.03,0.08,6499.9,6281.57,3.54,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,SUNPHARMA,1905.8,1.47,1827.7,1820.0,1852.83,1985.26,0.81,34.03,41.28,67.81,healthcare,pharmaceuticals - indian - bulk drugs & formln,25.92,2.86,15.23,-0.0,0.16,1823.17,1766.4,3.5,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,INDUSTOWER,430.9,0.17,413.46,399.65,399.77,477.6,2.03,15.84,15.88,59.07,telecom,transmisson line towers / equipment,18.98,7.79,27.47,-0.04,0.23,404.55,388.44,2.88,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,JUBLPHARMA,1007.8,1.78,959.91,971.55,984.74,1042.39,0.78,71.58,36.26,68.6,healthcare,pharmaceuticals - indian - bulk drugs,27.62,2.34,-6.49,-0.18,-0.05,944.43,903.11,2.53,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,ASIANPAINT,2614.0,0.32,2504.88,2500.0,2550.19,2709.72,0.68,59.09,64.95,63.65,building materials,paints / varnishes,28.4,2.5,12.77,-0.17,0.0,2478.58,2382.42,2.37,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,TATACONSUM,1231.0,-0.24,1190.8,1215.1,1213.16,1257.76,0.74,72.58,79.15,64.38,fmcg,tea,32.41,1.47,10.1,-0.02,0.12,1163.45,1115.19,2.24,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,OFSS,9408.5,4.36,8770.51,8646.5,9621.1,9089.6,1.16,24.32,29.7,66.9,i.t,computers - software - large,41.93,-2.21,5.13,0.05,0.1,8790.16,8382.4,2.19,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,GRASIM,2943.8,0.34,2827.5,2885.2,2930.83,2963.25,0.76,48.16,44.07,63.43,textiles,textiles - manmade,23.9,0.44,6.05,-0.03,0.03,2817.62,2734.69,1.8,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,TATACOMM,1668.4,-0.69,1604.55,1530.4,1588.01,1788.98,0.32,45.14,47.8,64.33,telecom-service,telecommunications - service provider,16.46,5.06,-10.89,-0.18,0.04,1558.81,1486.21,1.2,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,GODREJIND,1156.25,1.87,1102.74,1066.6,1115.44,1217.46,2.13,21.92,30.82,64.29,chemicals,chemicals,42.65,3.66,8.84,0.0,-0.09,996.59,935.39,0.87,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,BHARTIARTL,1938.1,1.72,1852.59,1740.5,1798.09,2148.11,1.31,38.67,41.47,63.01,telecom-service,telecommunications - service provider,24.63,7.79,-0.41,-0.15,-0.01,1829.68,1764.07,0.7,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
