Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date
2026-04-16T03:31:24.739,MCX,2851.1,3.09,2755.96,2570.0,2500.47,3377.05,1.04,9.06,15.51,69.98,financials,miscellaneous,14.14,14.02,88.37,0.47,0.78,2623.1,2490.0,40.11,2026-04-16
2026-04-16T03:31:24.739,NETWEB,3563.7,7.68,3296.13,3233.3,3130.71,4213.18,1.52,68.85,113.35,64.08,i.t,computers - hardware,13.18,13.83,18.8,-0.16,0.89,3239.24,3078.19,31.32,2026-04-16
2026-04-16T03:31:24.739,KIRLOSENG,1597.0,7.54,1470.0,1414.0,1370.57,1936.64,2.77,52.12,42.43,70.04,industrials,engines,16.9,16.52,81.18,0.66,0.71,1440.63,1339.56,28.59,2026-04-16
2026-04-16T03:31:24.739,ANANDRATHI,3654.5,1.73,3541.72,3320.6,3296.09,4192.12,1.81,73.32,76.34,83.95,financials,finance & investments,34.02,10.87,23.98,0.15,0.34,3392.79,3237.01,24.02,2026-04-16
2026-04-16T03:31:24.739,SYRMA,895.05,3.89,856.52,825.0,817.33,1011.63,1.05,41.98,58.77,66.53,consumer discretionary,electronics - components,15.44,9.51,7.18,-0.01,0.16,824.61,784.72,22.42,2026-04-16
2026-04-16T03:31:24.739,DATAPATTNS,3451.2,3.23,3332.0,3186.0,3097.72,3981.42,0.91,82.8,78.19,61.68,aerospace & defence,electronics - components,18.64,11.41,33.96,0.17,0.3,3107.41,2912.46,21.96,2026-04-16
2026-04-16T03:31:24.739,VEDL,766.05,1.79,726.28,717.3,687.82,883.39,1.41,13.1,21.1,69.16,metals & mining,mining / minerals / metals,15.98,11.37,75.17,0.47,0.69,718.98,685.63,21.46,2026-04-16
2026-04-16T03:31:24.739,GALLANTT,790.15,16.4,657.09,636.6,609.77,1060.72,10.92,47.48,39.91,83.86,metals & mining,steel - medium / small,26.82,29.58,11.26,0.11,0.14,666.74,598.62,18.87,2026-04-16
2026-04-16T03:31:24.739,BSE,3390.7,2.64,3283.49,3031.8,3019.21,3947.94,0.82,58.02,43.89,70.3,financials,miscellaneous,18.33,12.3,56.78,0.26,0.34,3122.07,2951.9,18.84,2026-04-16
2026-04-16T03:31:24.739,LTF,281.01,2.54,272.73,266.21,251.06,325.94,0.74,23.81,24.98,57.55,financials,finance & investments,18.57,11.93,20.56,-0.03,0.35,258.59,244.76,18.01,2026-04-16
2026-04-16T03:31:24.739,BHARATFORG,1831.6,1.68,1775.27,1716.5,1656.76,2093.86,1.0,82.8,77.48,59.56,industrials,castings & forgings,19.2,10.55,51.16,0.38,0.49,1694.84,1609.97,17.93,2026-04-16
2026-04-16T03:31:24.739,ABCAPITAL,343.7,1.85,335.36,321.0,308.24,396.89,0.61,23.74,25.63,58.98,financials,finance & investments,22.49,11.5,18.62,0.06,0.31,314.81,300.19,17.59,2026-04-16
2026-04-16T03:31:24.739,KEI,4598.5,3.14,4444.3,4301.0,4066.74,5396.14,0.66,46.79,51.05,59.01,industrials,cables - power,18.63,13.08,12.61,-0.02,0.14,4220.66,3978.78,15.73,2026-04-16
2026-04-16T03:31:24.739,NAM-INDIA,951.55,3.94,907.48,860.0,848.74,1105.76,2.1,37.52,41.9,59.36,financials,finance & investments,18.07,12.11,16.38,-0.01,0.16,856.84,808.25,14.66,2026-04-16
2026-04-16T03:31:24.739,GABRIEL,964.4,3.96,916.3,896.6,861.0,1119.51,0.97,63.28,55.39,61.19,auto,auto ancillaries,14.01,12.01,-22.44,-0.29,-0.05,881.05,829.05,14.41,2026-04-16
