Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date
2026-09-11T01:22:15.889,DIGJAMLMTD,0.0,20.8,27.9,textiles,textiles - products,30.92,2026-09-11
2026-09-11T01:22:15.889,KANORICHEM,0.0,14.62,15.21,chemicals,chemicals,195.92,2026-09-11
2026-09-11T01:22:15.889,LOTUSDEV,0.0,7.71,13.87,realty,construction,1842.13,2026-09-11
2026-09-11T01:22:15.889,BHAGYANGR,0.02,13.74,18.88,power & utilities,power generation and supply,485.27,2026-09-11
2026-09-11T01:22:15.889,GCSL,0.34,3.8,6.79,financials,finance & investments,569.78,2026-09-11
2026-09-11T01:22:15.889,NRBBEARING,0.4,9.05,16.77,industrials,bearings,2764.02,2026-09-11
2026-09-11T01:22:15.889,PAISALO,0.54,8.85,19.2,financials,finance & investments,4024.89,2026-09-11
2026-09-11T01:22:15.889,WSTCSTPAPR,0.66,7.65,11.15,building materials,paper,2036.55,2026-09-11
2026-09-11T01:22:15.889,MAHSEAMLES,0.7,8.27,11.13,metals & mining,steel - medium / small,2863.34,2026-09-11
2026-09-11T01:22:15.889,JINDALSAW,0.78,7.62,7.62,industrials,steel - large,7462.76,2026-09-11
2026-09-11T01:22:15.889,VALIANTLAB,0.81,18.7,20.86,healthcare,pharmaceuticals - indian - bulk drugs & formln,169.87,2026-09-11
2026-09-11T01:22:15.889,SIGMAADV,1.02,9.81,9.81,aerospace & defence,electronics - components,4021.55,2026-09-11
2026-09-11T01:22:15.889,STAR,1.14,5.86,17.6,healthcare,pharmaceuticals - indian - bulk drugs & formln,8086.17,2026-09-11
2026-09-11T01:22:15.889,VARROC,1.29,9.09,10.14,auto,auto ancillaries,3378.11,2026-09-11
2026-09-11T01:22:15.889,KABRAEXTRU,1.32,12.71,27.96,industrials,engineering,978.84,2026-09-11
2026-09-11T01:22:15.889,STLNETWORK,1.53,14.3,25.49,telecom-service,telecommunications - service provider,950.4,2026-09-11
2026-09-11T01:22:15.889,RGL,1.58,9.29,14.58,consumer discretionary,diamond cutting / jewellery,639.23,2026-09-11
