Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-06-18T03:18:58.272,BHAGYANGR,0.0,10.65,20.03,power & utilities,power generation and supply,404.42,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,GAYAPROJ,0.12,11.21,22.06,realty,construction,454.21,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,BLISSGVS,0.45,11.71,12.5,healthcare,pharmaceuticals - indian - formulations,3247.25,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,RATEGAIN,0.52,11.19,16.55,i.t,computers - software - medium / small,5364.41,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,BLUSPRING,0.75,23.8,32.73,miscellaneous,diversified - large,682.17,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,MUFIN,0.86,5.98,10.82,financials,finance & investments,1344.07,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,GRWRHITECH,0.86,7.42,8.11,industrials,packaging,5918.94,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,KERNEX,0.97,9.25,13.21,consumer discretionary,electronics - components,2514.69,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,AEROENTER,0.99,10.16,13.95,metals & mining,steel - medium / small,633.18,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,GOLDIAM,0.99,9.0,20.6,consumer discretionary,diamond cutting / jewellery,2342.29,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18T03:18:58.272,RISHABH,1.09,5.62,10.8,industrials,electric equipment,670.27,2026-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
