Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low3,Initial_atr1.5sl,0d_high,W rsi,%ch_2low,Adr p - adr%,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Bollinger bandwidth,Column27,Change,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-08-20T18:46:02.211,KROSS,209.61,,,201.02,226.79,,0.29,25.44,22.13,57.61,auto,auto ancillaries,27.78,-2.16,-0.14,0.22,-0.18,0.16,,,4.27,,4.19,6.4,,2026-08-20,5.72,197.0,197.07,214.89,57.31,6.4,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T18:46:02.211,IOLCP,163.95,,,158.05,175.75,,0.13,18.72,27.43,56.97,healthcare,pharmaceuticals - indian - bulk drugs & formln,19.8,-1.06,1.04,0.83,0.92,0.75,,,3.73,,5.01,5.73,,2026-08-20,4.48,155.06,151.14,164.41,70.11,5.73,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T18:46:02.211,EDELWEISS,126.45,,,118.66,142.02,,0.96,22.26,16.22,62.65,financials,finance & investments,21.01,2.63,-0.09,0.13,-0.08,0.1,,,6.56,,3.68,5.14,,2026-08-20,3.42,120.27,119.75,130.4,59.16,5.14,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T18:46:02.211,BCLIND,37.37,,,36.09,39.93,,0.14,8.57,9.07,56.67,fmcg,breweries & distilleries,28.15,-1.06,0.18,0.11,0.12,0.07,,,3.55,,3.78,4.5,,2026-08-20,4.33,35.76,35.19,37.38,56.78,4.5,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T18:46:02.211,EQUITASBNK,77.05,,,72.82,85.51,,0.37,11.96,16.71,53.45,bank,banks - private sector,16.16,2.27,0.04,0.2,-0.01,0.16,,,5.81,,3.08,3.76,,2026-08-20,3.16,74.26,73.25,78.53,58.82,3.67,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T18:46:02.211,MUFIN,139.0,,,135.43,146.14,,0.4,48.94,64.96,65.54,financials,finance & investments,19.84,0.05,0.08,0.24,0.06,0.21,,,2.63,,2.86,3.3,,2026-08-20,2.88,134.56,133.11,140.46,65.6,3.3,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T18:46:02.211,IDFCFIRSTB,85.93,,,85.59,86.62,,0.2,16.15,32.88,60.7,bank,banks - private sector,36.83,-0.84,-0.07,0.04,-0.06,0.04,,,0.4,,1.47,1.57,,2026-08-20,0.52,84.6,83.61,86.5,68.2,1.09,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,ORIENTHOT,139.11,,,120.97,175.4,,6.1,115.92,32.5,60.15,services,hotels,18.92,-3.17,0.25,0.21,0.09,0.05,,,15.0,,5.17,16.78,,2026-08-19,14.77,119.12,128.82,142.73,62.6,16.78,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,BLUSPRING,119.01,,,111.0,135.04,,0.27,-991.75,-150.28,57.51,miscellaneous,diversified - large,26.27,-3.57,0.82,0.67,0.69,0.56,,,7.22,,5.83,10.95,,2026-08-19,7.01,107.26,108.46,120.76,68.56,10.95,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,VIYASH,269.9,,,255.28,299.13,,0.95,44.69,52.24,54.15,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.44,-1.47,0.13,0.23,0.1,0.16,,,5.73,,4.65,10.03,,2026-08-19,5.86,245.3,252.74,275.45,58.67,7.02,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,IMAGICAA,48.78,,,47.2,51.94,,0.6,11.96,184.56,54.32,media,recreation / amusement parks,14.13,-3.22,-0.04,-0.03,-0.1,-0.08,,,3.35,,4.78,7.33,,2026-08-19,5.72,45.45,45.47,49.99,52.91,7.33,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,ARIHANTCAP,77.68,,,73.72,85.61,,0.35,9.91,19.62,57.86,financials,finance & investments,28.13,-2.23,-0.06,-0.24,-0.1,-0.27,,,5.38,,3.1,6.38,,2026-08-19,5.3,73.02,73.53,77.68,53.05,6.28,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,SIMPLEXINF,261.0,,,241.62,299.75,,0.15,49.43,44.31,60.01,realty,construction,17.94,5.16,0.09,-0.08,0.08,-0.09,,,8.02,,3.94,6.14,,2026-08-19,0.52,245.9,245.07,263.17,55.72,5.11,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
