Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%
2026-05-27T22:25:39.944,ELGIEQUIP,577.9,4.2,-1.42,529.23,601.27,589.0,2.75,48.0,43.98,50.46,industrials,compressors / drilling equipment,20.57,-5.04,0.03,0.1,0.03,0.06,6.84,529.05,6.81,-8.32,3.71,11.27,10.55,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,GVT&D,5097.7,10.77,0.44,4413.98,4944.82,5183.5,3.74,92.75,100.65,55.61,industrials,electric equipment,36.74,-4.9,0.44,0.64,0.44,0.54,6.01,4414.3,6.01,-8.89,4.84,10.06,14.59,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,PAISALO,49.36,4.32,-1.44,47.54,51.1,51.45,1.39,15.43,18.77,56.47,financials,finance & investments,41.55,-5.95,0.33,0.54,0.33,0.48,5.5,46.75,3.75,-9.33,4.46,8.97,21.5,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,MMP,279.27,3.21,-5.13,280.74,294.8,297.0,0.69,9.86,22.91,56.6,metals & mining,aluminium and aluminium products,29.59,-5.28,0.01,0.01,0.01,-0.03,5.8,272.0,2.5,-10.56,5.26,8.51,20.12,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,ASTRAMICRO,1397.4,24.08,-0.36,1104.95,1203.25,1432.0,1.61,31.3,66.78,50.56,aerospace & defence,telecommunications - equipment,12.47,-3.89,0.07,0.08,0.07,0.02,7.85,1070.1,4.45,-9.53,3.9,7.85,13.72,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,SBC,39.89,13.23,0.56,33.77,37.15,40.15,1.51,41.55,61.24,55.39,textiles,textiles - products,17.15,-2.37,0.28,0.73,0.28,0.66,3.47,34.27,5.01,-5.68,2.65,7.45,7.51,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,SANDHAR,710.3,38.38,0.31,508.76,551.94,733.9,1.12,16.75,20.95,54.22,auto,auto ancillaries,15.85,-2.57,-0.12,0.13,-0.12,0.1,6.06,500.05,4.24,-8.84,4.33,7.14,8.71,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,APARINDS,13426.0,7.13,-2.08,12590.43,12761.57,13580.0,0.65,64.54,51.73,53.21,industrials,electric equipment,37.78,-5.93,0.25,0.56,0.25,0.52,4.41,12141.0,0.68,-8.35,4.13,6.84,16.33,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,CGPOWER,934.8,9.93,0.45,841.54,864.96,938.0,1.06,100.73,114.03,50.89,industrials,electric equipment,22.82,-5.3,0.07,0.12,0.07,0.07,5.0,812.6,1.39,-7.48,3.46,6.05,15.53,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,GAEL,160.47,1.92,-3.02,161.64,168.32,168.15,0.82,13.6,24.46,59.92,fmcg,miscellaneous,24.12,-2.43,0.4,0.52,0.4,0.48,3.89,158.8,2.07,-7.87,3.98,5.05,10.26,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,CUMMINSIND,6027.5,12.95,-1.19,5287.68,5511.32,6099.0,0.62,85.96,67.0,56.93,industrials,engines,17.92,-1.33,0.17,0.36,0.17,0.33,4.18,5183.0,2.11,-6.2,2.72,4.18,9.74,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,BAJAJ-AUTO,10808.5,3.55,-0.3,10390.16,10534.84,10834.0,0.93,20.61,27.53,55.05,auto,automobiles - scooters and 3 - wheelers,27.83,-2.1,0.08,0.12,0.08,0.09,3.81,10078.5,0.7,-5.82,2.59,3.81,10.75,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27T22:25:39.944,FLAIR,306.65,1.33,-14.04,326.18,348.82,342.0,1.03,22.55,22.77,58.82,miscellaneous,printing & stationery,24.54,0.75,0.0,0.06,0.0,0.04,3.05,327.5,3.47,-6.01,3.41,3.05,8.81,2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,VEDL,305.05,,,292.49,323.89,,0.95,4.45,6.85,63.38,metals & mining,mining / minerals / metals,28.22,,0.5,0.83,,,,,4.29,,,,,2026-05-13,2.23,292.14,294.2,78.94,279.03,264.37,25.58,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,RRKABEL,1938.8,,,1790.02,2161.97,,1.92,32.64,44.54,79.3,industrials,cables - power,32.29,,0.33,0.54,,,,,8.31,,,,,2026-05-13,0.87,1876.7,1768.0,54.24,1751.03,1668.31,14.16,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,VTL,613.75,,,605.7,625.83,,1.1,23.64,23.43,61.1,textiles,textiles - cotton/blended,28.61,,0.3,0.43,,,,,1.33,,,,,2026-05-13,1.34,588.05,562.3,54.67,554.55,514.4,9.43,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,PTCIL,17142.0,,,16400.32,18254.52,,1.09,349.84,387.92,60.44,industrials,castings & forgings,14.92,,-0.09,0.2,,,,,4.52,,,,,2026-05-13,0.49,16377.76,16450.0,7.35,16040.83,15360.96,8.4,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,AUROPHARMA,1488.2,,,1445.7,1551.95,,0.86,23.74,24.79,70.73,healthcare,pharmaceuticals - indian - bulk drugs & formln,24.04,,0.19,0.37,,,,,2.94,,,,,2026-05-13,0.11,1449.03,1426.1,39.04,1417.3,1379.93,6.42,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,ONGC,294.5,,,285.07,308.65,,2.24,9.25,9.77,58.31,energy,oil drilling / allied services,26.13,,0.08,0.21,,,,,3.31,,,,,2026-05-13,4.8,281.11,277.65,21.92,276.58,268.54,5.99,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,AJANTPHARM,3091.7,,,2908.87,3365.95,,1.99,36.2,36.58,66.7,healthcare,pharmaceuticals - indian - formulations,18.7,,0.13,0.13,,,,,6.29,,,,,2026-05-13,0.9,2981.65,2924.9,28.25,2907.2,2816.92,5.49,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,BIOCON,402.45,,,368.59,453.24,,2.79,127.36,144.25,72.04,healthcare,pharmaceuticals - indian - bulk drugs & formln,23.84,,-0.03,0.08,,,,,9.19,,,,,2026-05-13,3.07,384.4,371.05,15.47,374.15,357.07,3.85,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,ONESOURCE,1830.2,,,1814.75,1853.38,,0.62,-59.12,1034.01,68.5,healthcare,pharmaceuticals - indian - bulk drugs & formln,33.7,,-0.06,-0.05,,,,,0.85,,,,,2026-05-13,1.49,1742.73,1721.9,-1.67,1680.55,1608.1,2.6,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,CARBORUNIV,1008.65,,,1001.79,1018.95,,0.87,62.73,77.77,65.84,industrials,abrasives and grinding wheels,44.62,,0.02,0.05,,,,,0.69,,,,,2026-05-13,-2.92,982.7,970.85,9.91,942.0,912.07,0.93,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,PIDILITIND,1453.0,,,1410.25,1517.13,,1.8,63.84,47.38,60.44,chemicals,chemicals,19.31,,-0.08,-0.09,,,,,3.03,,,,,2026-05-13,1.1,1399.05,1373.0,-2.68,1368.01,1331.26,-0.59,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,BALRAMCHIN,534.15,,,522.63,551.43,,0.9,23.76,24.07,61.94,fmcg,sugar,17.16,,0.07,-0.12,,,,,2.2,,,,,2026-05-13,1.67,511.02,511.95,11.47,501.49,479.29,-0.7,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,DABUR,473.25,,,463.58,487.76,,1.0,56.88,44.27,58.89,fmcg,personal care - indian,27.69,,-0.15,-0.11,,,,,2.09,,,,,2026-05-13,-0.04,460.16,458.6,-1.25,447.68,431.51,-0.85,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,POLYMED,1671.1,,,1597.09,1782.11,,0.94,59.68,48.91,70.51,healthcare,healthcare,33.33,,-0.17,-0.22,,,,,4.63,,,,,2026-05-13,1.23,1582.8,1615.1,-12.51,1553.59,1504.35,-8.64,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,COHANCE,484.65,,,480.95,490.2,,1.33,126.21,66.03,67.84,healthcare,pharmaceuticals - indian - bulk drugs & formln,49.61,,-0.37,-0.47,,,,,0.77,,,,,2026-05-13,1.19,454.23,459.0,-43.66,420.92,393.47,-13.54,,,,,,,,,,,,,,,,,,,,,
2026-05-13T05:45:59.255,ANTHEM,799.05,,,776.35,833.1,,2.01,121.07,92.38,72.19,healthcare,pharmaceuticals - indian - bulk drugs & formln,40.45,,0.04,-0.06,,,,,2.92,,,,,2026-05-13,1.89,760.33,760.75,3.63,750.33,724.74,NaN,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,VEDL,305.05,,,292.49,323.89,,0.95,4.45,6.7,63.38,metals & mining,mining / minerals / metals,28.22,,0.5,0.83,,,,,4.29,,,,,2026-05-12,2.23,292.14,294.2,78.94,279.03,264.37,25.58,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,RRKABEL,1938.8,,,1790.02,2161.97,,1.92,32.64,44.15,79.3,industrials,cables - power,32.29,,0.33,0.54,,,,,8.31,,,,,2026-05-12,0.87,1876.7,1768.0,54.24,1751.03,1668.31,14.16,,,,,,,,,,,,,,,,,,,,,
