Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-03-24T13:39:45.19,WAAREEINDO,3184.79,3490.17,3276.41,21.29,0.05,0.01,114.52,2026-03-24
2026-03-24T13:39:45.19,CUPID,122.61,110.54,122.62,39.53,-0.05,-0.12,0.88,2026-03-24
2026-03-24T13:39:45.19,SMLMAH,55.18,68.8,40.88,25.79,-0.18,0.04,0.08,2026-03-24
2026-03-24T13:39:45.19,BGRENERGY,53.41,44.69,86.65,109.31,-0.18,-0.17,0.02,2026-03-24
2026-03-24T13:39:45.19,PFOCUS,48.83,35.3,20.53,8.02,0.19,0.39,0.67,2026-03-24
2026-03-24T13:39:45.19,SIGMAADV,44.49,38.51,38.34,40.61,-0.08,-0.1,0.06,2026-03-24
2026-03-24T13:39:45.19,VENUSREM,44.01,32.71,37.03,6.07,0.14,0.08,1.01,2026-03-24
2026-03-24T13:39:45.19,LUMAXTECH,42.19,48.79,37.93,23.07,-0.07,0.01,0.43,2026-03-24
2026-03-24T13:39:45.19,MTARTECH,41.01,37.74,15.33,1.36,-0.04,0.42,0.94,2026-03-24
2026-03-24T13:39:45.19,ROSSTECH,40.24,25.38,11.94,NaN,0.05,0.1,-0.06,2026-03-24
2026-03-24T13:39:45.19,FORCEMOT,39.6,57.92,40.2,40.88,-0.13,0.17,0.15,2026-03-24
2026-03-24T13:39:45.19,SBC,33.6,38.11,16.01,-1.29,-0.03,0.1,0.45,2026-03-24
2026-03-24T13:39:45.19,JAYNECOIND,31.03,28.33,24.98,11.17,-0.09,-0.08,0.04,2026-03-24
2026-03-24T13:39:45.19,TDPOWERSYS,31.0,35.11,16.64,7.32,-0.03,0.15,0.54,2026-03-24
2026-03-24T13:39:45.19,BAJAJCON,30.37,28.36,8.01,1.12,-0.05,0.39,0.43,2026-03-24
2026-03-24T13:39:45.19,PRECWIRE,29.94,22.16,9.35,-1.54,0.09,0.31,0.7,2026-03-24
2026-03-24T13:39:45.19,MCX,28.92,26.66,16.9,10.02,-0.01,0.1,0.48,2026-03-24
2026-03-24T13:39:45.19,ACUTAAS,28.88,20.22,15.22,19.88,0.17,0.46,0.68,2026-03-24
2026-03-24T13:39:45.19,STLTECH,28.76,16.85,-1.15,-0.37,0.14,0.71,0.47,2026-03-24
2026-03-24T13:39:45.19,SILVERAG,28.73,38.04,31.68,10.93,-0.1,0.07,0.72,2026-03-24
2026-03-24T13:39:45.19,SILVERBETA,28.65,37.98,31.53,10.83,-0.1,0.07,0.72,2026-03-24
2026-03-24T13:39:45.19,TATSILV,28.65,38.35,31.73,10.8,-0.1,0.06,0.72,2026-03-24
2026-03-24T13:39:45.19,AXISILVER,28.59,38.26,31.42,10.85,-0.1,0.07,0.72,2026-03-24
2026-03-24T13:39:45.19,SBISILVER,28.57,38.32,31.79,10.94,-0.1,0.06,0.72,2026-03-24
2026-03-24T13:39:45.19,SILVERADD,28.55,38.49,31.76,10.89,-0.1,0.06,0.72,2026-03-24
2026-03-24T13:39:45.19,SILVER1,28.52,38.33,31.56,10.76,-0.1,0.06,0.72,2026-03-24
