Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date
2026-02-05T14:55:41.847,LUPIN,2212.1,0.77,2152.96,2078.2,2129.15,2336.52,1.11,17.09,23.17,62.97,healthcare,pharmaceuticals - indian - bulk drugs & formln,15.95,3.9,15.57,0.048,0.085,2095.41,2040.29,1.88,2026-02-05
2026-02-05T14:55:41.847,SHYAMMETL,856.25,-0.076,823.35,827.65,821.77,907.96,0.325,30.15,24.6,57.49,metals & mining,steel - large,17.17,4.2,-0.349,-0.186,-0.052,806.03,771.61,1.78,2026-02-05
2026-02-05T14:55:41.847,ONGC,268.35,0.524,260.68,247.6,258.38,283.31,0.985,7.82,9.19,63.85,energy,oil drilling / allied services,30.59,3.86,10.27,0.057,0.061,248.09,235.0,1.54,2026-02-05
2026-02-05T14:55:41.847,J&KBANK,104.1,-1.21,101.25,98.61,102.45,106.58,0.452,4.93,5.42,52.78,bank,banks - private sector,12.3,1.61,-7.12,-0.065,0.003,97.83,94.38,1.53,2026-02-05
2026-02-05T14:55:41.847,DRREDDY,1247.0,0.548,1212.26,1167.1,1181.4,1345.4,0.49,21.46,18.55,56.39,healthcare,pharmaceuticals - indian - bulk drugs & formln,23.74,5.55,-1.73,-0.043,-0.031,1177.39,1131.79,1.2,2026-02-05
2026-02-05T14:55:41.847,BANDHANBNK,157.73,0.248,153.46,145.52,148.77,171.17,0.543,30.81,25.17,63.64,bank,banks - private sector,20.76,6.02,-11.23,-0.125,-0.098,148.69,142.48,1.19,2026-02-05
2026-02-05T14:55:41.847,AARTIIND,451.9,2.03,430.27,360.85,368.85,576.47,2.05,30.78,42.55,81.78,chemicals,chemicals,26.88,22.51,-1.09,0.1,-0.087,410.77,380.27,0.743,2026-02-05
2026-02-05T14:55:41.847,ABB,5783.0,0.486,5549.74,5255.5,5186.94,6677.09,0.692,74.87,69.13,71.21,industrials,electric equipment,30.26,11.49,-1.95,0.041,-0.071,5296.26,4988.7,0.651,2026-02-05
2026-02-05T14:55:41.847,SUPREMEIND,3746.1,0.136,3620.51,3378.9,3499.71,4115.69,0.457,77.59,58.35,68.74,plastic products,plastics products,14.72,7.04,-10.68,-0.174,-0.138,3533.07,3386.4,0.084,2026-02-05
2026-02-05T14:55:41.847,TORNTPOWER,1424.2,1.19,1357.79,1266.8,1318.11,1583.34,1.67,24.79,23.59,61.0,power & utilities,power generation and supply,13.7,8.05,-0.14,-0.034,-0.034,1324.56,1252.33,-0.502,2026-02-05
2026-02-05T14:55:41.847,BALKRISIND,2690.0,0.995,2518.99,2226.1,2382.87,3150.69,2.11,34.02,39.24,74.66,auto,tyres,27.54,12.89,2.67,0.022,0.049,2379.91,2202.24,-0.578,2026-02-05
2026-02-05T14:55:41.847,BSOFT,459.5,4.35,426.3,408.0,407.17,538.0,1.48,26.84,26.48,64.42,i.t,computers - software - medium / small,17.27,12.85,7.22,0.108,0.069,416.63,386.47,-1.76,2026-02-05
2026-02-05T14:55:41.847,BALRAMCHIN,444.1,0.555,428.06,411.5,406.86,499.96,0.268,41.58,22.02,61.04,fmcg,sugar,25.58,9.15,-26.1,-0.256,-0.231,415.97,395.66,-2.11,2026-02-05
2026-02-05T14:55:41.847,BLUEDART,5887.5,3.17,5499.27,5384.5,5397.3,6622.81,1.18,51.12,53.38,69.77,transportation,couriers,21.09,9.08,-11.25,-0.066,-0.165,5516.52,5252.79,-2.25,2026-02-05
2026-02-05T14:55:41.847,AKUMS,449.95,-0.056,433.55,424.2,426.37,485.32,0.221,42.29,21.74,59.62,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.96,5.53,-19.76,-0.155,-0.247,421.19,402.58,-4.45,2026-02-05
2026-02-05T14:55:41.847,IRB,42.16,0.285,40.92,39.75,39.87,45.59,0.679,45.83,3.86,55.79,realty,construction,14.69,5.74,-12.37,-0.133,-0.203,39.61,37.85,-4.62,2026-02-05
2026-02-05T14:55:41.847,RKFORGE,561.6,0.125,538.95,486.7,506.7,643.95,0.617,187.2,47.09,67.94,industrials,castings & forgings,18.63,10.83,-15.23,-0.105,-0.111,512.17,480.04,-5.32,2026-02-05
2026-02-05T14:55:41.847,HFCL,70.73,2.73,66.26,63.45,63.37,81.77,1.1,26.39,191.25,60.41,telecom,cables - telephone,18.14,11.62,-13.33,-0.119,-0.217,62.61,58.5,-5.56,2026-02-05
