Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-01T02:01:49.567,SETL,0.0,27.21,27.21,industrials,engineering,2024.85,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,INDOTECH,0.0,11.58,18.91,industrials,electric equipment,859.13,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,BHAGYANGR,0.1,21.02,21.02,power & utilities,power generation and supply,485.81,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,RATEGAIN,0.27,8.43,8.43,i.t,computers - software - medium / small,5442.8,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MEGASTAR,0.51,6.07,10.06,fmcg,food - processing - indian,158.48,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,NITINSPIN,0.52,6.19,6.19,textiles,textiles - cotton/blended,1392.13,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MINDACORP,0.6,6.37,7.47,auto,auto ancillaries,5857.0,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,VIYASH,0.77,4.79,6.01,healthcare,pharmaceuticals - indian - bulk drugs & formln,4677.36,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ZYDUSWELL,0.79,15.34,15.34,fmcg,food - processing - indian,5558.92,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ADOR,0.82,4.89,5.57,industrials,electrodes - welding equipment,1021.42,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MUFIN,0.84,6.87,6.87,financials,finance & investments,1397.85,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,SATIN,0.93,9.46,9.46,financials,finance & investments,1733.85,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,THANGAMAYL,1.0,18.58,20.89,consumer discretionary,diamond cutting / jewellery,7635.26,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,GANDHAR,1.1,7.64,7.64,energy,refineries,602.07,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,SANGHVIMOV,1.12,8.98,8.98,miscellaneous,miscellaneous,2002.16,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,CEMPRO,1.27,9.16,9.16,realty,construction,7259.04,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,PRIVISCL,1.29,4.44,5.35,chemicals,chemicals,5651.78,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,IOLCP,1.3,11.52,13.91,healthcare,pharmaceuticals - indian - bulk drugs & formln,2020.47,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MANCREDIT,1.33,13.53,15.38,financials,finance & investments,229.33,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,HONASA,1.46,11.83,15.51,services,trading,9603.14,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MARKSANS,1.51,9.23,9.23,healthcare,pharmaceuticals - indian - formulations,6938.7,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,WELENT,1.54,7.99,8.77,realty,construction,3651.98,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,KERNEX,1.55,10.13,14.14,consumer discretionary,electronics - components,2582.12,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,CGCL,1.6,7.48,7.52,financials,finance & investments,8779.54,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MUTHOOTMF,1.66,5.27,8.58,financials,finance & investments,1627.63,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ALIVUS,1.73,6.71,8.47,healthcare,pharmaceuticals - indian - bulk drugs & formln,3566.65,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MAYURUNIQ,1.74,12.15,12.44,consumer discretionary,leather / leather products,1542.05,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ICIL,1.75,9.77,16.14,textiles,textiles - cotton/blended,3580.83,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,VENUSPIPES,1.78,6.16,7.07,metals & mining,steel - medium / small,1849.3,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,CAPLIPOINT,1.83,8.08,8.86,healthcare,pharmaceuticals - indian - formulations,5874.19,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,RML,2.05,14.0,14.0,auto,auto ancillaries,943.87,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ARVIND,2.15,11.07,17.95,textiles,textiles - cotton/blended,9305.13,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ASHIANA,2.23,6.06,8.72,realty,construction,1548.09,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MACPOWER,2.26,19.82,21.39,industrials,engineering,361.49,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,SPECTRUM,2.32,9.47,9.97,industrials,electric equipment,797.6,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MSTCLTD,2.38,15.81,15.81,i.t,trading,1760.67,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,AETHER,2.4,6.43,14.41,chemicals,chemicals,4517.99,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,BLISSGVS,2.42,20.7,21.43,healthcare,pharmaceuticals - indian - formulations,3690.04,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,RPEL,2.43,6.09,6.62,building materials,refractories / intermediates,2050.33,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,SHILPAMED,2.7,10.42,12.19,healthcare,pharmaceuticals - indian - formulations,7006.38,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,DIVGIITTS,2.7,21.3,23.33,auto,auto ancillaries,1191.18,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,DIFFNKG,2.75,14.47,15.95,industrials,electrodes - welding equipment,480.16,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,JNKINDIA,2.76,10.63,10.63,realty,engineering - turnkey services,909.65,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,PSPPROJECT,2.83,4.8,5.85,realty,construction,1237.17,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,IRISDOREME,2.84,11.37,11.37,consumer discretionary,textiles - products,307.94,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,TRIVENI,2.86,4.24,4.38,fmcg,sugar,3608.86,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ADFFOODS,2.91,5.97,6.72,fmcg,food - processing - indian,2180.03,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,IBULLSLTD,2.93,12.3,13.69,miscellaneous,diversified - medium / small,4338.33,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,VADILALIND,2.96,4.33,4.33,fmcg,food - processing - indian,1594.57,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,AMBIKCO,3.11,5.92,10.11,textiles,textiles - cotton/blended,500.25,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,PAISALO,3.11,4.97,4.97,financials,finance & investments,3131.21,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,NEOGEN,3.11,10.99,10.99,chemicals,chemicals,2605.43,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,STYLAMIND,3.25,3.86,7.29,building materials,miscellaneous,2526.56,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,CENTUM,3.37,12.32,12.32,consumer discretionary,electronics - components,2963.06,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,CEIGALL,3.41,8.23,9.77,realty,construction,1224.85,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,YATHARTH,3.52,4.98,5.02,healthcare,healthcare,3656.92,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,GHCLTEXTIL,3.62,10.53,10.53,textiles,textiles - spinning - synthetic / blended,769.46,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,SBCL,3.72,7.61,7.61,metals & mining,mining / minerals / metals,2918.89,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,MBAPL,3.93,4.84,7.33,chemicals,fertilizers,1243.13,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,SPAL,3.95,17.27,24.12,consumer discretionary,textiles - products,1092.63,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,RPTECH,4.03,9.49,11.74,services,trading,1835.25,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,TIRUPATIFL,4.09,39.17,39.75,industrials,castings & forgings,413.66,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,HONAUT,4.14,2.89,4.72,consumer discretionary,electronics - components,8782.95,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,ABDL,4.15,9.23,10.7,fmcg,breweries & distilleries,3565.92,2026-07-01,,,,,,,
2026-07-01T02:01:49.567,HIRECT,4.36,10.14,10.14,consumer discretionary,electronics - components,2233.77,2026-07-01,,,,,,,
