Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-07-13T13:01:09.684,IBULLSLTD,0.0,9.16,11.11,miscellaneous,diversified - medium / small,4853.12,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,HESTERBIO,0.0,22.41,23.11,healthcare,pharmaceuticals - indian - formulations,1001.69,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,JAYBARMARU,0.0,13.43,13.43,auto,auto ancillaries,867.59,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,VIPULLTD,0.17,18.8,27.56,realty,construction,205.01,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,INDNIPPON,0.33,21.16,24.6,auto,auto ancillaries,817.53,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,BAJAJCON,0.41,11.86,12.69,fmcg,personal care - indian,5103.91,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,CEMPRO,0.51,6.62,10.52,realty,construction,8883.35,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,AUTOIND,0.54,13.75,24.24,auto,auto ancillaries,311.79,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,SURYODAY,0.54,9.21,11.33,bank,banks - private sector,1572.06,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,CCL,0.89,5.09,6.44,fmcg,tea,8858.76,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,THELEELA,0.94,5.82,7.54,services,hotels,4072.87,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,SATIN,1.08,9.21,10.1,financials,finance & investments,1889.39,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,KSL,1.17,10.4,15.32,metals & mining,steel - medium / small,1498.28,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,ARMANFIN,1.18,14.98,15.88,financials,finance & investments,1585.08,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,HAPPYFORGE,1.31,5.85,8.21,industrials,castings & forgings,3207.04,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,MMFL,1.41,5.26,8.37,industrials,castings & forgings,1095.31,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,INDOBORAX,1.42,13.43,18.83,chemicals,chemicals,1036.21,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,MANGLMCEM,1.43,5.85,6.2,building materials,cement - north india,1585.43,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,GANDHAR,1.44,10.85,14.02,energy,refineries,678.64,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,WELSPUNLIV,1.5,5.95,6.74,textiles,textiles - products,5530.56,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,ZYDUSWELL,1.66,7.5,8.67,fmcg,food - processing - indian,5766.15,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,SKMEGGPROD,1.67,26.7,27.48,fmcg,food - processing - indian,819.25,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,TRIVENI,1.68,7.96,8.71,fmcg,sugar,4077.75,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,AURUM,1.69,8.2,10.33,i.t,computers - software - medium / small,939.36,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,SHYAMMETL,1.75,11.71,13.31,metals & mining,steel - large,7234.52,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,GNA,1.76,13.65,15.25,auto,auto ancillaries,690.66,2026-07-13,,,,,,,,,,,,,,,,,,
2026-07-13T13:01:09.684,CGCL,2.03,10.68,13.0,financials,finance & investments,9994.32,2026-07-13,,,,,,,,,,,,,,,,,,
