Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date
2026-08-24T15:29:43.087,GULFPETRO,0.0,11.92,18.98,chemicals,chemicals,226.32,2026-08-24
2026-08-24T15:29:43.087,NAHARINDUS,0.0,28.82,28.82,textiles,textiles - cotton/blended,187.27,2026-08-24
2026-08-24T15:29:43.087,PVP,0.2,24.05,34.48,realty,construction,492.32,2026-08-24
2026-08-24T15:29:43.087,ACMESOLAR,0.22,8.08,13.68,realty,engineering - turnkey services,8295.84,2026-08-24
2026-08-24T15:29:43.087,TIIL,0.23,12.68,12.68,metals & mining,steel - medium / small,1975.46,2026-08-24
2026-08-24T15:29:43.087,SOMANYCERA,0.52,9.47,9.47,building materials,ceramics - tiles / sanitaryware,1017.79,2026-08-24
2026-08-24T15:29:43.087,KENNAMET,0.78,17.78,22.41,industrials,castings & forgings,2322.55,2026-08-24
2026-08-24T15:29:43.087,UFBL,0.92,9.07,12.32,consumer discretionary,hotels,2152.52,2026-08-24
2026-08-24T15:29:43.087,SETL,0.95,7.71,7.71,industrials,engineering,2465.12,2026-08-24
2026-08-24T15:29:43.087,ARCHIDPLY,1.06,19.02,19.4,building materials,miscellaneous,66.87,2026-08-24
2026-08-24T15:29:43.087,WELENT,1.06,13.71,15.66,realty,construction,3927.04,2026-08-24
2026-08-24T15:29:43.087,PVRINOX,1.1,5.33,5.33,media,entertainment / electronic media software,8796.1,2026-08-24
2026-08-24T15:29:43.087,SJS,1.27,3.87,6.96,auto,plastics products,6535.53,2026-08-24
2026-08-24T15:29:43.087,YATHARTH,1.29,8.64,9.42,healthcare,healthcare,3865.83,2026-08-24
2026-08-24T15:29:43.087,AKUMS,1.39,5.95,5.95,healthcare,pharmaceuticals - indian - bulk drugs & formln,2998.27,2026-08-24
2026-08-24T15:29:43.087,AETHER,1.5,6.27,6.8,chemicals,chemicals,5545.99,2026-08-24
2026-08-24T15:29:43.087,ALBERTDAVD,1.55,6.42,13.12,healthcare,pharmaceuticals - indian - bulk drugs & formln,191.6,2026-08-24
2026-08-24T15:29:43.087,ARVSMART,1.72,8.64,8.72,realty,construction,1473.42,2026-08-24
2026-08-24T15:29:43.087,KANPRPLA,1.83,16.2,17.02,industrials,packaging,216.22,2026-08-24
2026-08-24T15:29:43.087,MSTCLTD,1.83,7.65,13.28,i.t,trading,1812.42,2026-08-24
2026-08-24T15:29:43.087,CLSEL,1.87,15.76,15.93,fmcg,food - processing - indian,406.5,2026-08-24
2026-08-24T15:29:43.087,PITTIENG,1.87,7.46,8.43,industrials,engineering,1887.46,2026-08-24
2026-08-24T15:29:43.087,MAXESTATES,1.99,14.12,19.56,realty,construction,4910.53,2026-08-24
2026-08-24T15:29:43.087,FINEORG,2.0,8.06,8.06,chemicals,chemicals,4062.01,2026-08-24
2026-08-24T15:29:43.087,MACPOWER,2.02,8.78,12.2,industrials,engineering,525.0,2026-08-24
2026-08-24T15:29:43.087,RPEL,2.15,6.92,20.03,building materials,refractories / intermediates,2834.49,2026-08-24
2026-08-24T15:29:43.087,MUFIN,2.21,4.73,5.16,financials,finance & investments,1444.95,2026-08-24
2026-08-24T15:29:43.087,ACE,2.26,4.1,7.07,industrials,engineering,4813.37,2026-08-24
2026-08-24T15:29:43.087,INGERRAND,2.38,2.7,6.05,industrials,compressors / drilling equipment,3673.73,2026-08-24
2026-08-24T15:29:43.087,KABRAEXTRU,2.46,23.52,26.55,industrials,engineering,843.61,2026-08-24
2026-08-24T15:29:43.087,GAEL,2.48,7.2,7.74,fmcg,miscellaneous,2991.62,2026-08-24
2026-08-24T15:29:43.087,INDIAGLYCO,2.54,8.92,11.48,fmcg,breweries & distilleries,3222.72,2026-08-24
2026-08-24T15:29:43.087,GEOJITFSL,2.68,7.81,7.81,financials,finance & investments,1427.03,2026-08-24
2026-08-24T15:29:43.087,BLUSPRING,2.77,16.92,27.42,miscellaneous,diversified - large,833.06,2026-08-24
2026-08-24T15:29:43.087,ARIES,2.84,9.71,12.83,chemicals,fertilizers,284.12,2026-08-24
2026-08-24T15:29:43.087,MODISONLTD,2.85,10.26,14.84,industrials,electric equipment,619.0,2026-08-24
2026-08-24T15:29:43.087,ORIENTBELL,2.86,15.51,15.51,building materials,ceramics - tiles / sanitaryware,188.98,2026-08-24
2026-08-24T15:29:43.087,COMSYN,2.92,8.35,8.35,industrials,packaging,476.36,2026-08-24
2026-08-24T15:29:43.087,ENTERO,2.98,13.43,14.08,healthcare,trading,3165.32,2026-08-24
2026-08-24T15:29:43.087,TBZ,3.01,17.34,20.52,consumer discretionary,diamond cutting / jewellery,495.33,2026-08-24
2026-08-24T15:29:43.087,MARINE,3.01,7.03,8.15,industrials,electric equipment,1705.09,2026-08-24
2026-08-24T15:29:43.087,DCBBANK,3.07,12.57,14.44,bank,banks - private sector,5387.47,2026-08-24
2026-08-24T15:29:43.087,STOVEKRAFT,3.26,8.3,11.36,consumer discretionary,domestic appliances,1203.41,2026-08-24
2026-08-24T15:29:43.087,ESAFSFB,3.36,7.32,17.45,bank,banks - private sector,819.14,2026-08-24
2026-08-24T15:29:43.087,SKIPPER,3.49,7.01,11.23,industrials,engineering,2164.63,2026-08-24
2026-08-24T15:29:43.087,VMART,3.52,8.4,10.23,consumer discretionary,trading,3806.06,2026-08-24
2026-08-24T15:29:43.087,FILATEX,3.54,4.81,7.61,textiles,textiles - manmade,1290.68,2026-08-24
2026-08-24T15:29:43.087,ALIVUS,3.6,5.36,6.42,healthcare,pharmaceuticals - indian - bulk drugs & formln,4215.84,2026-08-24
2026-08-24T15:29:43.087,NILKAMAL,3.6,5.35,18.52,plastic products,plastics products,1073.75,2026-08-24
2026-08-24T15:29:43.087,HEG,3.62,4.58,7.61,industrials,electrodes - graphites,6090.57,2026-08-24
2026-08-24T15:29:43.087,MOREPENLAB,3.64,11.3,14.28,healthcare,pharmaceuticals - indian - bulk drugs & formln,3338.95,2026-08-24
2026-08-24T15:29:43.087,RANASUG,3.65,18.69,27.52,fmcg,sugar,188.3,2026-08-24
2026-08-24T15:29:43.087,LANCORHOL,3.67,23.12,24.4,realty,construction,116.61,2026-08-24
2026-08-24T15:29:43.087,CYIENTDLM,3.73,6.15,8.87,aerospace & defence,electronics - components,2799.18,2026-08-24
2026-08-24T15:29:43.087,MANGLMCEM,3.8,20.06,25.97,building materials,cement - north india,1721.95,2026-08-24
2026-08-24T15:29:43.087,SEAMECLTD,3.8,5.31,10.22,miscellaneous,miscellaneous,1147.64,2026-08-24
2026-08-24T15:29:43.087,FCL,3.81,18.91,21.75,chemicals,chemicals,2169.59,2026-08-24
2026-08-24T15:29:43.087,JINDALSAW,3.89,10.95,12.18,industrials,steel - large,6741.16,2026-08-24
2026-08-24T15:29:43.087,BLSE,3.93,4.89,6.34,i.t,computers - software - medium / small,805.52,2026-08-24
2026-08-24T15:29:43.087,RATNAVEER,3.98,12.92,16.62,metals & mining,steel - medium / small,1057.95,2026-08-24
2026-08-24T15:29:43.087,RITCO,4.05,4.98,13.7,transportation,miscellaneous,335.64,2026-08-24
2026-08-24T15:29:43.087,EPL,4.07,9.18,12.96,industrials,packaging,6198.47,2026-08-24
2026-08-24T15:29:43.087,ENGINERSIN,4.09,8.88,8.88,realty,engineering - turnkey services,7005.66,2026-08-24
2026-08-24T15:29:43.087,GNFC,4.12,4.35,6.54,chemicals,chemicals,5118.76,2026-08-24
2026-08-24T15:29:43.087,JAYSREETEA,4.16,14.89,24.0,fmcg,tea,147.41,2026-08-24
2026-08-24T15:29:43.087,PRICOLLTD,4.19,7.29,7.29,auto,auto ancillaries,5909.54,2026-08-24
