Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date
2026-03-11T13:26:02.755,VENUSREM,0.0,27.66,29.75,healthcare,pharmaceuticals - indian - formulations,670.83,2026-03-11
2026-03-11T13:26:02.755,KTKBANK,0.86,14.6,16.35,bank,banks - private sector,8735.04,2026-03-11
2026-03-11T13:26:02.755,J&KBANK,1.1,15.69,15.69,bank,banks - private sector,5560.39,2026-03-11
2026-03-11T13:26:02.755,EMCURE,2.25,13.67,13.67,healthcare,pharmaceuticals - indian - bulk drugs & formln,6500.95,2026-03-11
2026-03-11T13:26:02.755,CCL,2.94,7.51,7.51,fmcg,tea,7503.79,2026-03-11
2026-03-11T13:26:02.755,AEROFLEX,2.99,14.99,14.99,metals & mining,steel - medium / small,993.29,2026-03-11
2026-03-11T13:26:02.755,AGIIL,3.12,11.25,12.2,realty,construction,1027.95,2026-03-11
2026-03-11T13:26:02.755,SAKAR,3.19,10.22,10.22,healthcare,pharmaceuticals - indian - bulk drugs & formln,578.72,2026-03-11
2026-03-11T13:26:02.755,STLTECH,3.54,17.58,17.58,industrials,cables - telephone,5074.1,2026-03-11
2026-03-11T13:26:02.755,PRECWIRE,3.57,12.23,12.23,metals & mining,mining / minerals / metals,2723.55,2026-03-11
2026-03-11T13:26:02.755,NATCOPHARM,3.71,5.95,9.82,healthcare,pharmaceuticals - indian - bulk drugs & formln,9226.22,2026-03-11
2026-03-11T13:26:02.755,SMSPHARMA,4.13,19.94,19.94,healthcare,pharmaceuticals - indian - bulk drugs,1244.13,2026-03-11
2026-03-11T13:26:02.755,INDSWFTLAB,4.4,16.71,16.71,healthcare,pharmaceuticals - indian - bulk drugs & formln,717.45,2026-03-11
2026-03-11T13:26:02.755,ABSLAMC,4.45,20.95,20.95,financials,finance & investments,7270.38,2026-03-11
2026-03-11T13:26:02.755,LGBBROSLTD,4.79,15.34,15.34,auto,bearings,4053.63,2026-03-11
2026-03-11T13:26:02.755,AETHER,5.8,8.21,14.25,chemicals,chemicals,3384.09,2026-03-11
2026-03-11T13:26:02.755,GLOBAL,5.98,18.09,18.09,services,miscellaneous,147.86,2026-03-11
2026-03-11T13:26:02.755,GRANULES,6.95,7.66,7.66,healthcare,pharmaceuticals - indian - bulk drugs & formln,8661.46,2026-03-11
2026-03-11T13:26:02.755,JPOLYINVST,7.03,45.21,45.21,financials,finance & investments,368.91,2026-03-11
2026-03-11T13:26:02.755,ANURAS,7.38,12.18,12.18,chemicals,chemicals,6072.3,2026-03-11
2026-03-11T13:26:02.755,DYNAMATECH,8.03,6.98,8.96,industrials,engineering,3976.23,2026-03-11
2026-03-11T13:26:02.755,MTARTECH,8.04,9.14,10.68,aerospace & defence,engineering,7696.17,2026-03-11
2026-03-11T13:26:02.755,DIVGIITTS,9.15,12.43,13.22,auto,auto ancillaries,879.86,2026-03-11
2026-03-11T13:26:02.755,DBOL,9.54,12.56,12.95,fmcg,sugar,341.54,2026-03-11
2026-03-11T13:26:02.755,CIEINDIA,9.86,7.96,7.96,industrials,castings & forgings,6169.8,2026-03-11
2026-03-11T13:26:02.755,SHRIPISTON,10.12,12.6,12.6,auto,auto ancillaries,7587.37,2026-03-11
2026-03-11T13:26:02.755,MRPL,10.37,13.04,13.83,energy,refineries,3807.73,2026-03-11
2026-03-11T13:26:02.755,BLISSGVS,10.82,13.32,13.32,healthcare,pharmaceuticals - indian - formulations,1487.43,2026-03-11
2026-03-11T13:26:02.755,MANGLMCEM,11.04,5.66,7.81,building materials,cement - north india,1380.03,2026-03-11
2026-03-11T13:26:02.755,BAJAJCON,11.07,7.42,7.42,fmcg,personal care - indian,2707.46,2026-03-11
2026-03-11T13:26:02.755,HONASA,11.89,7.25,9.64,services,trading,6175.25,2026-03-11
2026-03-11T13:26:02.755,SOUTHWEST,12.24,21.79,25.67,metals & mining,mining / minerals / metals,197.34,2026-03-11
2026-03-11T13:26:02.755,GRAPHITE,12.36,8.04,11.79,industrials,electrodes - graphites,4433.02,2026-03-11
2026-03-11T13:26:02.755,STAR,13.36,9.51,9.51,healthcare,pharmaceuticals - indian - bulk drugs & formln,5904.77,2026-03-11
2026-03-11T13:26:02.755,TDPOWERSYS,14.26,8.24,13.83,industrials,electric equipment,9138.32,2026-03-11
2026-03-11T13:26:02.755,USHAMART,14.3,8.07,8.07,metals & mining,steel - medium / small,7802.11,2026-03-11
2026-03-11T13:26:02.755,ROSSTECH,14.59,9.47,9.62,aerospace & defence,engineering,681.45,2026-03-11
2026-03-11T13:26:02.755,GODAVARIB,14.65,13.86,13.86,fmcg,sugar,558.77,2026-03-11
2026-03-11T13:26:02.755,MANOMAY,14.73,9.35,9.35,textiles,textiles - products,170.76,2026-03-11
2026-03-11T13:26:02.755,GVPIL,14.84,11.02,11.02,realty,engineering - turnkey services,993.1,2026-03-11
2026-03-11T13:26:02.755,PRIVISCL,15.12,6.03,6.03,chemicals,chemicals,4494.4,2026-03-11
2026-03-11T13:26:02.755,AVANTIFEED,17.42,14.05,14.05,fmcg,food - processing - indian,9511.01,2026-03-11
2026-03-11T13:26:02.755,PREMIERPOL,17.81,17.2,17.2,plastic products,plastics products,202.75,2026-03-11
2026-03-11T13:26:02.755,SHARDACROP,21.4,7.36,13.36,chemicals,pesticides / agrochemicals - indian,2315.96,2026-03-11
2026-03-11T13:26:02.755,ICEMAKE,23.95,12.21,12.21,industrials,engineering,336.34,2026-03-11
2026-03-11T13:26:02.755,APEX,29.15,8.17,10.67,fmcg,aquaculture,295.78,2026-03-11
