Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-04-30T12:07:25.38,CUPID,154.76,128.51,109.85,52.0,0.4,0.49,1.51,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,MTARTECH,79.19,39.89,13.19,8.83,0.7,1.41,1.69,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,STLTECH,77.13,27.17,-3.44,0.5,0.56,2.37,1.42,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SIGMAADV,65.14,40.76,22.79,41.53,0.85,0.71,0.63,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,BHAGYANGR,60.53,22.25,21.77,-0.71,0.95,0.67,1.79,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,QPOWER,57.98,29.04,NaN,NaN,0.57,1.28,0.4,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,JAYNECOIND,48.39,30.2,20.81,19.3,0.5,0.55,0.41,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,PFOCUS,45.49,52.59,19.17,4.89,-0.06,0.43,0.73,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,PRECWIRE,44.18,27.22,10.04,1.04,0.38,0.85,1.07,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,GVT&D,43.74,30.89,12.12,14.77,0.21,0.65,0.56,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,ROSSTECH,42.65,32.49,11.24,NaN,0.41,0.51,0.48,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,VENUSREM,40.83,43.97,36.18,7.78,0.1,0.27,1.15,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,LUMAXTECH,39.01,41.99,33.76,26.4,-0.03,0.16,0.37,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,TDPOWERSYS,38.91,28.13,12.94,14.54,0.33,0.8,0.76,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,NETWEB,37.62,25.06,12.01,11.94,0.27,0.33,0.09,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,NATIONALUM,36.62,23.46,22.98,1.26,0.13,0.09,0.77,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,BAJAJCON,35.84,25.99,17.03,5.79,0.29,0.43,0.68,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,HINDCOPPER,32.83,26.77,31.81,3.21,0.1,-0.03,0.58,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,IMFA,32.81,20.33,9.22,12.78,0.27,0.38,0.45,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,TATSILV,32.4,29.07,64.56,13.52,0.07,-0.29,0.64,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVER,32.36,28.92,64.38,13.25,0.07,-0.29,0.65,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVERIETF,32.35,29.05,64.49,13.76,0.07,-0.29,0.63,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SBISILVER,32.34,29.32,63.97,13.13,0.06,-0.29,0.65,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVER1,32.27,29.06,64.21,13.48,0.07,-0.29,0.64,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,AXISILVER,32.24,28.98,63.91,13.24,0.07,-0.29,0.65,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVERAG,32.23,29.05,64.31,13.12,0.07,-0.3,0.65,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVERBEES,32.21,29.14,63.78,13.67,0.06,-0.29,0.63,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,GVPIL,32.2,13.5,-3.05,-4.1,0.48,1.18,0.93,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVERCASE,32.12,NaN,NaN,NaN,0.07,-0.29,0.62,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SBC,32.08,34.11,19.61,6.2,0.08,0.16,0.43,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,AGIIL,32.07,16.63,13.37,36.74,0.34,0.55,0.49,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVERBETA,32.06,28.36,64.32,13.31,0.08,-0.3,0.64,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,HDFCSILVER,32.06,28.61,64.85,13.65,0.07,-0.3,0.63,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,KMEW,31.95,22.09,19.6,NaN,0.15,0.06,0.55,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,MCX,31.37,26.81,24.37,9.81,0.24,0.23,0.65,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,ACUTAAS,30.25,28.9,16.61,25.5,-0.02,0.44,0.48,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,KIRLOSENG,29.29,19.86,5.63,-4.75,0.26,0.55,0.89,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SANSERA,28.43,18.2,6.75,-0.57,0.17,0.53,0.73,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,GMDCLTD,28.07,24.03,15.17,16.6,0.3,0.39,0.26,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,INFOBEAN,27.88,15.28,21.84,8.09,0.34,-0.04,0.33,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,AXISCADES,27.84,12.01,10.26,39.64,0.33,0.73,0.34,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,HARDWYN,27.51,14.94,-1.21,-10.73,0.35,0.7,0.91,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,APARINDS,26.81,18.75,-4.72,-2.86,0.16,0.71,0.41,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,MIRCELECTR,26.57,22.51,9.43,8.66,0.25,0.13,0.12,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,BHARATSE,26.32,NaN,NaN,NaN,0.18,0.31,-0.17,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SILVERTUC,26.26,16.02,27.16,0.13,0.47,0.12,1.23,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,BLISSGVS,26.04,18.37,0.64,1.73,0.23,0.6,0.75,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,APEX,25.92,15.18,5.9,-1.77,0.22,0.56,0.91,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,SAKAR,25.64,26.2,6.91,3.44,0.21,0.67,0.77,2026-04-30,,,,,,,,,,,,,,,,,,,,
2026-04-30T12:07:25.38,KRISHANA,24.74,18.85,27.17,33.63,0.26,0.29,0.16,2026-04-30,,,,,,,,,,,,,,,,,,,,
