Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,%ch5,Lch5,5d_high,R_vol,Column26,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-08-05T17:07:55.842,MOTHERSON,154.35,4.98,-3.43,140.85,157.09,156.39,27.17,38.72,61.37,auto,auto ancillaries,17.99,3.87,0.27,0.4,0.2,0.37,1.82,146.3,5.76,-2.51,2.58,4.76,3.52,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,EQUITASBNK,75.76,0.75,-10.62,78.34,79.66,80.29,11.76,17.09,53.57,bank,banks - private sector,17.94,0.34,0.02,0.28,0.02,0.27,0.5,78.61,0.84,0.5,3.68,4.29,5.95,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,SUNDRMFAST,1030.45,9.45,-0.87,957.71,958.89,1048.9,33.54,35.3,61.81,auto,auto ancillaries,22.55,-2.53,-0.03,-0.02,-0.08,-0.04,2.66,933.5,0.06,-2.48,2.19,3.31,9.81,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,MUKANDLTD,142.17,3.12,-1.63,139.58,141.56,144.96,0.93,3.4,54.69,metals & mining,steel - medium / small,22.98,-0.06,0.06,-0.01,0.04,-0.02,0.77,139.5,0.71,0.08,3.34,3.28,6.53,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,KOPRAN,195.5,0.64,-10.74,198.66,203.76,204.0,12.5,35.54,56.73,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.98,-0.34,0.41,0.21,0.33,0.2,1.63,197.99,1.28,0.97,4.15,3.18,9.01,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,NGLFINE,3400.0,6.87,-4.32,3103.81,3349.19,3448.2,38.94,41.89,57.15,healthcare,pharmaceuticals - indian - bulk drugs,12.77,2.37,0.95,1.09,0.85,1.08,1.54,3177.5,3.95,-2.14,4.75,3.01,8.39,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,MASFIN,306.7,3.74,-3.85,313.75,322.85,330.2,12.82,14.3,51.63,financials,finance & investments,13.04,0.45,-0.03,0.01,-0.07,-0.01,1.0,315.15,1.45,-1.61,2.99,2.98,4.91,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,STEELCAS,339.0,10.93,-4.06,300.88,322.02,345.5,36.22,37.88,56.83,industrials,castings & forgings,33.31,1.72,0.57,0.44,0.49,0.42,1.76,306.05,3.51,-2.51,3.58,2.94,5.95,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,RADICO,4550.0,10.62,-1.67,4130.1,4168.9,4590.3,66.33,84.67,65.99,fmcg,breweries & distilleries,42.17,-0.3,0.29,0.23,0.25,0.22,0.77,4117.7,0.47,-1.21,2.23,2.74,11.61,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,BAJAJFINSV,2086.0,10.74,-1.08,1881.07,1944.93,2118.5,26.61,33.1,61.16,financials,finance & investments,19.55,0.21,-0.1,-0.13,-0.14,-0.14,1.49,1885.0,1.7,-1.88,2.08,2.72,8.16,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
