Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low3,Initial_atr1.5sl,0d_high,W rsi,%ch_2low,Adr p - adr%,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Bollinger bandwidth,Column27,Max2,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-07-16T23:38:18.981,KDDL,3257.1,6.39,-0.56,3182.16,3190.44,3390.0,0.36,39.57,45.06,56.84,consumer discretionary,miscellaneous,47.63,-2.26,0.24,0.19,0.24,0.15,4.22,3057.2,0.13,-8.24,4.3,5.26,12.2,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T23:38:18.981,MANORAMA,1595.4,3.96,-0.37,1552.02,1606.38,1641.7,0.97,45.38,42.39,48.97,fmcg,food - processing - indian,21.64,-3.33,0.09,0.02,0.09,-0.02,4.58,1510.0,1.75,-8.29,4.03,5.2,8.41,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T23:38:18.981,LAURUSLABS,1557.6,4.76,-0.22,1492.6,1522.2,1579.1,0.83,75.32,94.37,57.49,healthcare,pharmaceuticals - indian - bulk drugs & formln,39.03,-0.82,0.24,0.58,0.24,0.54,3.25,1460.0,0.99,-5.88,3.24,4.09,8.12,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T23:38:18.981,MINDACORP,682.95,0.65,-5.04,690.33,720.57,711.5,0.6,32.28,44.11,64.26,auto,auto ancillaries,36.95,-0.76,0.09,0.18,0.09,0.15,3.13,684.05,2.19,-6.28,3.29,3.82,11.97,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,PLATIND,244.61,,,223.54,286.76,,10.03,22.24,23.85,64.8,chemicals,chemicals,15.0,1.11,-0.08,-0.16,-0.17,-0.22,,,9.43,,3.91,9.94,,2026-07-06,8.31,222.5,231.01,248.0,54.96,8.72,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,LLOYDSENGG,89.22,,,86.54,94.58,,1.38,65.6,55.59,65.23,industrials,engineering,34.65,-3.48,0.46,0.44,0.37,0.36,,,3.1,,5.08,8.34,,2026-07-06,6.29,82.35,82.74,89.98,74.35,7.99,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,ARTEMISMED,276.2,,,255.49,317.62,,3.76,36.34,39.61,61.08,healthcare,healthcare,13.91,1.69,-0.09,0.11,-0.12,0.05,,,8.11,,3.46,6.89,,2026-07-06,6.29,258.4,261.71,281.85,60.58,6.64,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,MOTISONS,15.0,,,14.39,16.22,,5.27,46.88,22.14,66.26,consumer discretionary,diamond cutting / jewellery,37.4,-2.27,-0.06,-0.16,-0.12,-0.21,,,4.25,,5.19,6.61,,2026-07-06,5.86,14.07,13.83,15.56,54.71,6.61,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,SHRIRAMPPS,92.5,,,87.52,102.45,,1.64,5.03,15.1,61.19,realty,construction,23.07,0.09,0.02,0.0,-0.04,-0.03,,,5.69,,3.37,6.02,,2026-07-06,3.68,87.25,87.43,93.84,57.85,6.02,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,DWARKESH,45.24,,,42.48,50.76,,0.92,3.65,26.57,57.61,fmcg,sugar,8.79,2.96,0.12,0.0,0.07,-0.02,,,6.49,,3.09,5.28,,2026-07-06,2.56,42.97,42.85,45.59,56.13,5.28,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,SOUTHBANK,46.87,,,46.24,48.13,,0.75,7.51,8.29,62.48,bank,banks - private sector,30.49,-2.84,0.14,0.38,0.1,0.35,,,1.37,,3.33,5.0,,2026-07-06,1.67,44.64,44.58,47.49,63.82,3.4,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,KARURVYSYA,302.6,,,292.13,323.54,,1.22,10.09,10.78,57.93,bank,banks - private sector,9.06,-0.59,0.04,0.29,0.01,0.25,,,3.58,,2.91,4.78,,2026-07-06,3.7,288.8,288.79,303.0,58.4,4.78,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,DHAMPURSUG,144.99,,,137.2,160.58,,1.12,5.12,14.16,57.31,fmcg,sugar,10.98,3.13,0.09,0.03,0.06,0.02,,,5.68,,2.77,3.51,,2026-07-06,1.49,140.08,138.27,147.45,56.93,2.76,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06T15:14:31.558,ARVSMART,610.45,,,596.3,638.75,,0.21,15.85,28.48,56.34,realty,construction,21.29,0.69,-0.06,-0.06,-0.06,-0.06,,,2.37,,2.39,2.56,,2026-07-06,0.03,595.2,584.3,615.6,53.62,2.17,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,SINDHUTRAD,27.66,,,24.42,34.13,,2.86,86.44,84.45,68.45,transportation,miscellaneous,21.09,4.51,0.29,0.06,0.2,0.0,,,13.25,,4.29,11.71,,2026-07-03,5.65,24.76,25.94,28.64,61.07,9.28,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,FILATEX,55.95,,,53.56,60.72,,3.76,15.54,12.69,68.37,textiles,textiles - manmade,33.27,-4.59,0.06,-0.05,-0.01,-0.11,,,4.46,,3.47,8.49,,2026-07-03,6.73,51.57,52.88,56.25,62.73,8.49,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,MOSCHIP,223.55,,,202.74,265.18,,4.7,136.31,113.33,61.41,i.t,computers - hardware,18.12,2.05,0.0,-0.19,-0.06,-0.24,,,10.27,,4.01,8.19,,2026-07-03,7.21,206.62,209.47,226.07,57.46,7.8,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,ZUARI,241.2,,,230.1,263.4,,2.26,-10.15,1.06,61.59,chemicals,fertilizers,26.3,-0.44,-0.33,-0.09,-0.37,-0.12,,,4.82,,4.06,6.98,,2026-07-03,3.99,225.46,226.86,248.24,51.84,5.79,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,PPLPHARMA,175.95,,,161.35,205.15,,3.82,-628.39,-68.13,61.2,healthcare,pharmaceuticals - indian - bulk drugs & formln,21.64,4.48,-0.06,-0.12,-0.1,-0.16,,,9.05,,3.74,5.51,,2026-07-03,4.55,166.76,166.28,179.25,55.69,5.51,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,HUDCO,215.56,,,206.07,234.53,,1.79,5.44,10.26,60.1,financials,finance - term-lending institutions,8.75,-0.86,-0.13,-0.09,-0.16,-0.13,,,4.6,,2.94,5.49,,2026-07-03,4.22,204.35,206.08,216.8,56.15,5.49,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,KOPRAN,193.31,,,185.93,208.07,,0.2,12.36,35.31,57.41,healthcare,pharmaceuticals - indian - bulk drugs & formln,28.14,0.2,0.18,0.11,0.14,0.08,,,3.97,,4.5,3.87,,2026-07-03,2.91,186.1,179.2,195.0,62.03,3.87,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,SPORTKING,179.34,,,173.98,190.05,,0.53,17.58,18.78,55.0,textiles,textiles - spinning - synthetic / blended,31.22,-0.89,0.9,0.81,0.87,0.78,,,3.08,,4.37,3.66,,2026-07-03,1.67,173.0,166.24,184.0,76.32,3.07,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,RKFORGE,577.35,,,565.94,600.16,,0.29,46.71,145.19,53.23,industrials,castings & forgings,10.25,-0.75,0.02,0.02,0.04,0.01,,,2.02,,2.76,3.18,,2026-07-03,0.42,559.55,550.9,587.5,53.22,2.66,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03T18:36:53.606,DWARKESH,44.11,,,42.46,47.41,,0.38,3.56,26.43,50.91,fmcg,sugar,9.18,1.48,0.08,-0.02,0.09,-0.02,,,3.89,,2.74,2.49,,2026-07-03,0.52,43.04,41.81,45.0,53.66,2.08,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02T22:45:06.116,KENNAMET,2958.4,,,2826.45,3450.76,,,31.63,47.73,63.27,industrials,castings & forgings,18.19,6.12,0.09,0.35,0.03,0.3,4.64,2999.3,11.04,-4.39,4.25,7.01,,2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,1.86,-6.35,3197.0,8.01,,,,,,,,
2026-07-02T22:45:06.116,VINCOFE,157.05,,,155.19,165.09,,,27.27,30.64,65.03,consumer discretionary,trading,24.69,-1.85,-0.06,0.06,-0.14,0.01,5.14,152.31,3.19,-4.35,4.46,6.76,,2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,2.79,-10.36,164.6,14.78,,,,,,,,
2026-07-02T22:45:06.116,VISHNU,628.15,,,585.91,676.89,,,24.2,28.52,64.21,chemicals,chemicals,16.62,1.38,0.15,0.26,0.07,0.2,6.3,594.0,7.76,-4.71,3.67,6.3,,2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,1.36,-5.57,640.0,4.69,,,,,,,,
2026-07-02T22:45:06.116,THERMAX,4917.0,,,4699.07,5028.73,,,56.7,80.07,60.66,industrials,electric equipment,46.78,-0.19,0.57,0.47,0.49,0.43,3.7,4690.2,3.51,-3.81,3.38,4.85,,2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,8.51,-3.76,5277.8,9.73,,,,,,,,
2026-07-02T22:45:06.116,AJANTPHARM,3345.3,,,2987.18,3392.22,,,39.17,39.6,63.35,healthcare,pharmaceuticals - indian - formulations,15.36,2.81,0.13,0.28,0.08,0.24,3.86,3071.2,6.78,-3.47,2.83,4.58,,2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,9.94,-0.91,3506.9,6.16,,,,,,,,
2026-07-02T22:45:06.116,IKS,1837.5,,,1639.69,1740.51,,,37.32,41.72,57.05,i.t,computers - software - medium / small,29.56,2.12,-0.06,0.08,-0.09,0.07,0.93,1674.5,3.07,-2.1,2.78,3.68,,2026-07-02,,,,,,,,,,,,,,,,,,,,,,,,,10.11,-1.49,1861.0,3.89,,,,,,,,
