Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-08-05T18:50:50.815,KECL,0.0,15.55,15.55,industrials,electric equipment,501.39,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,E2E,0.0,13.62,26.59,i.t,computers - software - medium / small,7451.25,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,GRWRHITECH,0.24,4.38,9.93,industrials,packaging,6762.22,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,BLSE,0.27,10.34,10.34,i.t,computers - software - medium / small,815.62,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,WSTCSTPAPR,0.27,5.13,6.13,building materials,paper,1693.25,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,SUPRAJIT,0.36,4.61,6.78,auto,auto ancillaries,3934.95,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,INDOTECH,0.49,8.17,9.85,industrials,electric equipment,1065.93,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,RKFORGE,0.5,10.53,13.91,industrials,castings & forgings,7285.29,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,ATALREAL,0.55,4.51,9.69,realty,construction,299.1,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,MPSLTD,0.56,9.28,10.72,i.t,computers - software - medium / small,1556.17,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,NGLFINE,0.58,7.75,7.75,healthcare,pharmaceuticals - indian - bulk drugs,582.58,2026-08-05,,,,,,,,,,,,,,,,,,
2026-08-05T18:50:50.815,HAPPYFORGE,0.66,12.85,12.85,industrials,castings & forgings,3694.18,2026-08-05,,,,,,,,,,,,,,,,,,
